move_id,move_name_en,source_text,target_text_th,description_status,line_1_width_px,line_2_width_px,max_width_px,width_margin_px,mixed_latin,abbreviations,risk_score,risk_reasons,visual_qa_recommended
MOVE_PERISH_SONG,PERISH SONG,"Any POKéMON hearing this
song faints in 3 turns.","โปเกมอนที่ได้ยินเพลงนี้
หมดสภาพใน 3 เทิร์น",translated_pending_qa,107,95,107,21,yes,,4,mixed_latin_or_number;numeric;status_or_ko_text,yes
MOVE_FAKE_OUT,FAKE OUT,"A 1st-turn, 1st-strike move
that causes flinching.","โจมตีก่อนในเทิร์นที่ 1
และทำให้คู่ต่อสู้ชะงัก",translated_pending_qa,98,90,98,30,yes,,4,mixed_latin_or_number;numeric;status_or_ko_text,yes
MOVE_OUTRAGE,OUTRAGE,"A rampage of 2 to 3 turns
that confuses the user.","อาละวาด 2 ถึง 3 เทิร์น
แล้วผู้ใช้ท่าสับสน",translated_pending_qa,94,75,94,34,yes,,4,mixed_latin_or_number;numeric;status_or_ko_text,yes
MOVE_PETAL_DANCE,PETAL DANCE,"A rampage of 2 to 3 turns
that confuses the user.","อาละวาด 2 ถึง 3 เทิร์น
แล้วผู้ใช้ท่าสับสน",translated_pending_qa,94,75,94,34,yes,,4,mixed_latin_or_number;numeric;status_or_ko_text,yes
MOVE_THRASH,THRASH,"A rampage of 2 to 3 turns
that confuses the user.","อาละวาด 2 ถึง 3 เทิร์น
แล้วผู้ใช้ท่าสับสน",translated_pending_qa,94,75,94,34,yes,,4,mixed_latin_or_number;numeric;status_or_ko_text,yes
MOVE_NATURE_POWER,NATURE POWER,"The type of attack varies
depending on the location.","ประเภทการโจมตีเปลี่ยนไป
ตามสถานที่",translated_pending_qa,119,49,119,9,no,,3,wide_line,yes
MOVE_BONEMERANG,BONEMERANG,"Throws a bone boomerang
that strikes twice.","ขว้างกระดูกแบบบูมเมอแรง
โจมตีสองครั้ง",translated_pending_qa,117,59,117,11,no,,3,wide_line,yes
MOVE_ROLE_PLAY,ROLE PLAY,"Mimics the target and
copies its special ability.","คัดลอกความสามารถพิเศษ
ของเป้าหมาย",translated_pending_qa,115,55,115,13,no,,3,wide_line,yes
MOVE_FUTURE_SIGHT,FUTURE SIGHT,"Heightens inner power to
strike 2 turns later.","เพิ่มพลังภายใน
เพื่อโจมตีอีก 2 เทิร์นต่อมา",translated_pending_qa,68,114,114,14,yes,,3,mixed_latin_or_number;numeric,yes
MOVE_UPROAR,UPROAR,"Causes an uproar for 2 to 5
turns and prevents sleep.","ส่งเสียงเอะอะ 2 ถึง 5 เทิร์น
และป้องกันการหลับ",translated_pending_qa,112,84,112,16,yes,,3,mixed_latin_or_number;numeric,yes
MOVE_RAIN_DANCE,RAIN DANCE,"Boosts the power of WATER-
type moves for 5 turns.","เพิ่มพลังท่าประเภท WATER
นาน 5 เทิร์น",translated_pending_qa,111,55,111,17,yes,,3,mixed_latin_or_number;numeric,yes
MOVE_GRUDGE,GRUDGE,"If the user faints, deletes
all PP of foe's last move.","หากผู้ใช้ท่าหมดสภาพ
PP ท่าล่าสุดคู่ต่อสู้จะหมด",translated_pending_qa,92,105,105,23,yes,PP,3,mixed_latin_or_number;status_or_ko_text,yes
MOVE_SUNNY_DAY,SUNNY DAY,"Boosts the power of FIRE-
type moves for 5 turns.","เพิ่มพลังท่าประเภท FIRE
นาน 5 เทิร์น",translated_pending_qa,105,55,105,23,yes,,3,mixed_latin_or_number;numeric,yes
MOVE_SAND_TOMB,SAND TOMB,"Traps and hurts the foe in
quicksand for 2 to 5 turns.","ขังและทำร้ายในทรายดูด
นาน 2 ถึง 5 เทิร์น",translated_pending_qa,104,76,104,24,yes,,3,mixed_latin_or_number;numeric,yes
MOVE_ENDURE,ENDURE,"Endures any attack for
1 turn, leaving at least 1HP.","ทนทุกการโจมตี 1 เทิร์น
เหลือ HP อย่างน้อย 1",translated_pending_qa,103,87,103,25,yes,HP,3,mixed_latin_or_number;numeric,yes
