item_id,item_name_en,name_status,description_symbol,description_status,source_file,source_line
ITEM_HYPER_POTION,HYPER POTION,keep_english,sHyperPotionDesc,translated_pending_qa,src/data/items.h,281
ITEM_SUPER_POTION,SUPER POTION,keep_english,sSuperPotionDesc,translated_pending_qa,src/data/items.h,295
ITEM_FULL_HEAL,FULL HEAL,keep_english,sFullHealDesc,translated_pending_qa,src/data/items.h,309
ITEM_REVIVE,REVIVE,keep_english,sReviveDesc,translated_pending_qa,src/data/items.h,322
ITEM_MAX_REVIVE,MAX REVIVE,keep_english,sMaxReviveDesc,translated_pending_qa,src/data/items.h,335
ITEM_FRESH_WATER,FRESH WATER,keep_english,sFreshWaterDesc,translated_pending_qa,src/data/items.h,348
ITEM_SODA_POP,SODA POP,keep_english,sSodaPopDesc,translated_pending_qa,src/data/items.h,362
ITEM_LEMONADE,LEMONADE,keep_english,sLemonadeDesc,translated_pending_qa,src/data/items.h,376
ITEM_MOOMOO_MILK,MOOMOO MILK,keep_english,sMoomooMilkDesc,translated_pending_qa,src/data/items.h,390
ITEM_ENERGY_POWDER,ENERGYPOWDER,keep_english,sEnergyPowderDesc,translated_pending_qa,src/data/items.h,404
ITEM_ENERGY_ROOT,ENERGY ROOT,keep_english,sEnergyRootDesc,translated_pending_qa,src/data/items.h,417
ITEM_HEAL_POWDER,HEAL POWDER,keep_english,sHealPowderDesc,translated_pending_qa,src/data/items.h,430
ITEM_REVIVAL_HERB,REVIVAL HERB,keep_english,sRevivalHerbDesc,translated_pending_qa,src/data/items.h,443
ITEM_ETHER,ETHER,keep_english,sEtherDesc,translated_pending_qa,src/data/items.h,456
ITEM_MAX_ETHER,MAX ETHER,keep_english,sMaxEtherDesc,translated_pending_qa,src/data/items.h,470
ITEM_ELIXIR,ELIXIR,keep_english,sElixirDesc,translated_pending_qa,src/data/items.h,484
ITEM_MAX_ELIXIR,MAX ELIXIR,keep_english,sMaxElixirDesc,translated_pending_qa,src/data/items.h,498
ITEM_LAVA_COOKIE,LAVA COOKIE,keep_english,sLavaCookieDesc,translated_pending_qa,src/data/items.h,512
ITEM_BLUE_FLUTE,BLUE FLUTE,keep_english,sBlueFluteDesc,translated_pending_qa,src/data/items.h,525
ITEM_YELLOW_FLUTE,YELLOW FLUTE,keep_english,sYellowFluteDesc,translated_pending_qa,src/data/items.h,538
ITEM_RED_FLUTE,RED FLUTE,keep_english,sRedFluteDesc,translated_pending_qa,src/data/items.h,551
ITEM_BLACK_FLUTE,BLACK FLUTE,keep_english,sBlackFluteDesc,translated_pending_qa,src/data/items.h,564
ITEM_WHITE_FLUTE,WHITE FLUTE,keep_english,sWhiteFluteDesc,translated_pending_qa,src/data/items.h,576
ITEM_BERRY_JUICE,BERRY JUICE,keep_english,sBerryJuiceDesc,translated_pending_qa,src/data/items.h,588
ITEM_SACRED_ASH,SACRED ASH,keep_english,sSacredAshDesc,translated_pending_qa,src/data/items.h,603
ITEM_SHOAL_SALT,SHOAL SALT,keep_english,sShoalSaltDesc,translated_pending_qa,src/data/items.h,616
ITEM_SHOAL_SHELL,SHOAL SHELL,keep_english,sShoalShellDesc,translated_pending_qa,src/data/items.h,627
ITEM_RED_SHARD,RED SHARD,keep_english,sRedShardDesc,translated_pending_qa,src/data/items.h,638
ITEM_BLUE_SHARD,BLUE SHARD,keep_english,sBlueShardDesc,translated_pending_qa,src/data/items.h,649
ITEM_YELLOW_SHARD,YELLOW SHARD,keep_english,sYellowShardDesc,translated_pending_qa,src/data/items.h,660
ITEM_GREEN_SHARD,GREEN SHARD,keep_english,sGreenShardDesc,translated_pending_qa,src/data/items.h,671
ITEM_034,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,682
ITEM_035,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,693
ITEM_036,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,704
ITEM_037,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,715
ITEM_038,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,726
ITEM_039,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,737
ITEM_03A,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,748
ITEM_03B,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,759
ITEM_03C,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,770
ITEM_03D,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,781
ITEM_03E,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,792
ITEM_HP_UP,HP UP,keep_english,sHPUpDesc,translated_pending_qa,src/data/items.h,805
ITEM_PROTEIN,PROTEIN,keep_english,sProteinDesc,translated_pending_qa,src/data/items.h,816
ITEM_IRON,IRON,keep_english,sIronDesc,translated_pending_qa,src/data/items.h,827
ITEM_CARBOS,CARBOS,keep_english,sCarbosDesc,translated_pending_qa,src/data/items.h,838
ITEM_CALCIUM,CALCIUM,keep_english,sCalciumDesc,translated_pending_qa,src/data/items.h,849
ITEM_RARE_CANDY,RARE CANDY,keep_english,sRareCandyDesc,translated_pending_qa,src/data/items.h,860
ITEM_PP_UP,PP UP,keep_english,sPPUpDesc,translated_pending_qa,src/data/items.h,871
ITEM_ZINC,ZINC,keep_english,sZincDesc,translated_pending_qa,src/data/items.h,882
ITEM_PP_MAX,PP MAX,keep_english,sPPMaxDesc,translated_pending_qa,src/data/items.h,893
ITEM_048,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,904
ITEM_GUARD_SPEC,GUARD SPEC.,keep_english,sGuardSpecDesc,translated_pending_qa,src/data/items.h,917
ITEM_DIRE_HIT,DIRE HIT,keep_english,sDireHitDesc,translated_pending_qa,src/data/items.h,930
ITEM_X_ATTACK,X ATTACK,keep_english,sXAttackDesc,translated_pending_qa,src/data/items.h,943
ITEM_X_DEFEND,X DEFEND,keep_english,sXDefendDesc,translated_pending_qa,src/data/items.h,956
ITEM_X_SPEED,X SPEED,keep_english,sXSpeedDesc,translated_pending_qa,src/data/items.h,969
ITEM_X_ACCURACY,X ACCURACY,keep_english,sXAccuracyDesc,translated_pending_qa,src/data/items.h,982
ITEM_X_SPECIAL,X SPECIAL,keep_english,sXSpecialDesc,translated_pending_qa,src/data/items.h,995
ITEM_POKE_DOLL,POKé DOLL,keep_english,sPokeDollDesc,translated_pending_qa,src/data/items.h,1008
ITEM_FLUFFY_TAIL,FLUFFY TAIL,keep_english,sFluffyTailDesc,translated_pending_qa,src/data/items.h,1021
ITEM_052,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,1034
ITEM_SUPER_REPEL,SUPER REPEL,keep_english,sSuperRepelDesc,translated_pending_qa,src/data/items.h,1047
ITEM_MAX_REPEL,MAX REPEL,keep_english,sMaxRepelDesc,translated_pending_qa,src/data/items.h,1059
ITEM_ESCAPE_ROPE,ESCAPE ROPE,keep_english,sEscapeRopeDesc,translated_pending_qa,src/data/items.h,1071
ITEM_REPEL,REPEL,keep_english,sRepelDesc,translated_pending_qa,src/data/items.h,1082
ITEM_057,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,1094
ITEM_058,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,1105
ITEM_059,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,1116
ITEM_05A,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,1127
ITEM_05B,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,1138
ITEM_05C,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,1149
ITEM_SUN_STONE,SUN STONE,keep_english,sSunStoneDesc,translated_pending_qa,src/data/items.h,1162
ITEM_MOON_STONE,MOON STONE,keep_english,sMoonStoneDesc,translated_pending_qa,src/data/items.h,1173
ITEM_FIRE_STONE,FIRE STONE,keep_english,sFireStoneDesc,translated_pending_qa,src/data/items.h,1184
ITEM_THUNDER_STONE,THUNDERSTONE,keep_english,sThunderStoneDesc,translated_pending_qa,src/data/items.h,1195
ITEM_WATER_STONE,WATER STONE,keep_english,sWaterStoneDesc,translated_pending_qa,src/data/items.h,1206
ITEM_LEAF_STONE,LEAF STONE,keep_english,sLeafStoneDesc,translated_pending_qa,src/data/items.h,1217
ITEM_063,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,1228
ITEM_064,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,1239
ITEM_065,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,1250
ITEM_066,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,1261
ITEM_TINY_MUSHROOM,TINYMUSHROOM,keep_english,sTinyMushroomDesc,translated_pending_qa,src/data/items.h,1274
ITEM_BIG_MUSHROOM,BIG MUSHROOM,keep_english,sBigMushroomDesc,translated_pending_qa,src/data/items.h,1285
ITEM_069,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,1296
ITEM_PEARL,PEARL,keep_english,sPearlDesc,translated_pending_qa,src/data/items.h,1307
ITEM_BIG_PEARL,BIG PEARL,keep_english,sBigPearlDesc,translated_pending_qa,src/data/items.h,1318
ITEM_STARDUST,STARDUST,keep_english,sStardustDesc,translated_pending_qa,src/data/items.h,1329
ITEM_STAR_PIECE,STAR PIECE,keep_english,sStarPieceDesc,translated_pending_qa,src/data/items.h,1340
ITEM_NUGGET,NUGGET,keep_english,sNuggetDesc,translated_pending_qa,src/data/items.h,1351
ITEM_HEART_SCALE,HEART SCALE,keep_english,sHeartScaleDesc,translated_pending_qa,src/data/items.h,1362
ITEM_070,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,1373
ITEM_071,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,1384
ITEM_072,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,1395
ITEM_073,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,1406
ITEM_074,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,1417
ITEM_075,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,1428
ITEM_076,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,1439
ITEM_077,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,1450
ITEM_078,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,1461
ITEM_ORANGE_MAIL,ORANGE MAIL,keep_english,sOrangeMailDesc,translated_pending_qa,src/data/items.h,1473
ITEM_HARBOR_MAIL,HARBOR MAIL,keep_english,sHarborMailDesc,translated_pending_qa,src/data/items.h,1485
ITEM_GLITTER_MAIL,GLITTER MAIL,keep_english,sGlitterMailDesc,translated_pending_qa,src/data/items.h,1497
ITEM_MECH_MAIL,MECH MAIL,keep_english,sMechMailDesc,translated_pending_qa,src/data/items.h,1509
ITEM_WOOD_MAIL,WOOD MAIL,keep_english,sWoodMailDesc,translated_pending_qa,src/data/items.h,1521
ITEM_WAVE_MAIL,WAVE MAIL,keep_english,sWaveMailDesc,translated_pending_qa,src/data/items.h,1533
ITEM_BEAD_MAIL,BEAD MAIL,keep_english,sBeadMailDesc,translated_pending_qa,src/data/items.h,1545
ITEM_SHADOW_MAIL,SHADOW MAIL,keep_english,sShadowMailDesc,translated_pending_qa,src/data/items.h,1557
ITEM_TROPIC_MAIL,TROPIC MAIL,keep_english,sTropicMailDesc,translated_pending_qa,src/data/items.h,1569
ITEM_DREAM_MAIL,DREAM MAIL,keep_english,sDreamMailDesc,translated_pending_qa,src/data/items.h,1581
ITEM_FAB_MAIL,FAB MAIL,keep_english,sFabMailDesc,translated_pending_qa,src/data/items.h,1593
ITEM_RETRO_MAIL,RETRO MAIL,keep_english,sRetroMailDesc,translated_pending_qa,src/data/items.h,1605
ITEM_CHERI_BERRY,CHERI BERRY,keep_english,sCheriBerryDesc,translated_pending_qa,src/data/items.h,1619
ITEM_CHESTO_BERRY,CHESTO BERRY,keep_english,sChestoBerryDesc,translated_pending_qa,src/data/items.h,1633
ITEM_PECHA_BERRY,PECHA BERRY,keep_english,sPechaBerryDesc,translated_pending_qa,src/data/items.h,1647
ITEM_RAWST_BERRY,RAWST BERRY,keep_english,sRawstBerryDesc,translated_pending_qa,src/data/items.h,1661
ITEM_ASPEAR_BERRY,ASPEAR BERRY,keep_english,sAspearBerryDesc,translated_pending_qa,src/data/items.h,1675
ITEM_LEPPA_BERRY,LEPPA BERRY,keep_english,sLeppaBerryDesc,translated_pending_qa,src/data/items.h,1689
ITEM_ORAN_BERRY,ORAN BERRY,keep_english,sOranBerryDesc,translated_pending_qa,src/data/items.h,1704
ITEM_PERSIM_BERRY,PERSIM BERRY,keep_english,sPersimBerryDesc,translated_pending_qa,src/data/items.h,1719
ITEM_LUM_BERRY,LUM BERRY,keep_english,sLumBerryDesc,translated_pending_qa,src/data/items.h,1733
ITEM_SITRUS_BERRY,SITRUS BERRY,keep_english,sSitrusBerryDesc,translated_pending_qa,src/data/items.h,1747
ITEM_FIGY_BERRY,FIGY BERRY,keep_english,sFigyBerryDesc,translated_pending_qa,src/data/items.h,1762
ITEM_WIKI_BERRY,WIKI BERRY,keep_english,sWikiBerryDesc,translated_pending_qa,src/data/items.h,1775
ITEM_MAGO_BERRY,MAGO BERRY,keep_english,sMagoBerryDesc,translated_pending_qa,src/data/items.h,1788
ITEM_AGUAV_BERRY,AGUAV BERRY,keep_english,sAguavBerryDesc,translated_pending_qa,src/data/items.h,1801
ITEM_IAPAPA_BERRY,IAPAPA BERRY,keep_english,sIapapaBerryDesc,translated_pending_qa,src/data/items.h,1814
ITEM_RAZZ_BERRY,RAZZ BERRY,keep_english,sRazzBerryDesc,translated_pending_qa,src/data/items.h,1827
ITEM_BLUK_BERRY,BLUK BERRY,keep_english,sBlukBerryDesc,translated_pending_qa,src/data/items.h,1838
ITEM_NANAB_BERRY,NANAB BERRY,keep_english,sNanabBerryDesc,translated_pending_qa,src/data/items.h,1849
ITEM_WEPEAR_BERRY,WEPEAR BERRY,keep_english,sWepearBerryDesc,translated_pending_qa,src/data/items.h,1860
ITEM_PINAP_BERRY,PINAP BERRY,keep_english,sPinapBerryDesc,translated_pending_qa,src/data/items.h,1871
ITEM_POMEG_BERRY,POMEG BERRY,keep_english,sPomegBerryDesc,translated_pending_qa,src/data/items.h,1882
ITEM_KELPSY_BERRY,KELPSY BERRY,keep_english,sKelpsyBerryDesc,translated_pending_qa,src/data/items.h,1893
ITEM_QUALOT_BERRY,QUALOT BERRY,keep_english,sQualotBerryDesc,translated_pending_qa,src/data/items.h,1904
ITEM_HONDEW_BERRY,HONDEW BERRY,keep_english,sHondewBerryDesc,translated_pending_qa,src/data/items.h,1915
ITEM_GREPA_BERRY,GREPA BERRY,keep_english,sGrepaBerryDesc,translated_pending_qa,src/data/items.h,1926
ITEM_TAMATO_BERRY,TAMATO BERRY,keep_english,sTamatoBerryDesc,translated_pending_qa,src/data/items.h,1937
ITEM_CORNN_BERRY,CORNN BERRY,keep_english,sCornnBerryDesc,translated_pending_qa,src/data/items.h,1948
ITEM_MAGOST_BERRY,MAGOST BERRY,keep_english,sMagostBerryDesc,translated_pending_qa,src/data/items.h,1959
ITEM_RABUTA_BERRY,RABUTA BERRY,keep_english,sRabutaBerryDesc,translated_pending_qa,src/data/items.h,1970
ITEM_NOMEL_BERRY,NOMEL BERRY,keep_english,sNomelBerryDesc,translated_pending_qa,src/data/items.h,1981
ITEM_SPELON_BERRY,SPELON BERRY,keep_english,sSpelonBerryDesc,translated_pending_qa,src/data/items.h,1992
ITEM_PAMTRE_BERRY,PAMTRE BERRY,keep_english,sPamtreBerryDesc,translated_pending_qa,src/data/items.h,2003
ITEM_WATMEL_BERRY,WATMEL BERRY,keep_english,sWatmelBerryDesc,translated_pending_qa,src/data/items.h,2014
ITEM_DURIN_BERRY,DURIN BERRY,keep_english,sDurinBerryDesc,translated_pending_qa,src/data/items.h,2025
ITEM_BELUE_BERRY,BELUE BERRY,keep_english,sBelueBerryDesc,translated_pending_qa,src/data/items.h,2036
ITEM_LIECHI_BERRY,LIECHI BERRY,keep_english,sLiechiBerryDesc,translated_pending_qa,src/data/items.h,2047
ITEM_GANLON_BERRY,GANLON BERRY,keep_english,sGanlonBerryDesc,translated_pending_qa,src/data/items.h,2060
ITEM_SALAC_BERRY,SALAC BERRY,keep_english,sSalacBerryDesc,translated_pending_qa,src/data/items.h,2073
ITEM_PETAYA_BERRY,PETAYA BERRY,keep_english,sPetayaBerryDesc,translated_pending_qa,src/data/items.h,2086
ITEM_APICOT_BERRY,APICOT BERRY,keep_english,sApicotBerryDesc,translated_pending_qa,src/data/items.h,2099
ITEM_LANSAT_BERRY,LANSAT BERRY,keep_english,sLansatBerryDesc,translated_pending_qa,src/data/items.h,2112
ITEM_STARF_BERRY,STARF BERRY,keep_english,sStarfBerryDesc,translated_pending_qa,src/data/items.h,2125
ITEM_ENIGMA_BERRY,ENIGMA BERRY,keep_english,sEnigmaBerryDesc,translated_pending_qa,src/data/items.h,2138
ITEM_UNUSED_BERRY_1,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,2151
ITEM_UNUSED_BERRY_2,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,2162
ITEM_UNUSED_BERRY_3,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,2173
ITEM_BRIGHT_POWDER,BRIGHTPOWDER,keep_english,sBrightPowderDesc,translated_pending_qa,src/data/items.h,2186
ITEM_WHITE_HERB,WHITE HERB,keep_english,sWhiteHerbDesc,translated_pending_qa,src/data/items.h,2199
ITEM_MACHO_BRACE,MACHO BRACE,keep_english,sMachoBraceDesc,translated_pending_qa,src/data/items.h,2211
ITEM_EXP_SHARE,EXP. SHARE,keep_english,sExpShareDesc,translated_pending_qa,src/data/items.h,2223
ITEM_QUICK_CLAW,QUICK CLAW,keep_english,sQuickClawDesc,translated_pending_qa,src/data/items.h,2235
ITEM_SOOTHE_BELL,SOOTHE BELL,keep_english,sSootheBellDesc,translated_pending_qa,src/data/items.h,2248
ITEM_MENTAL_HERB,MENTAL HERB,keep_english,sMentalHerbDesc,translated_pending_qa,src/data/items.h,2260
ITEM_CHOICE_BAND,CHOICE BAND,keep_english,sChoiceBandDesc,translated_pending_qa,src/data/items.h,2272
ITEM_KINGS_ROCK,KING'S ROCK,keep_english,sKingsRockDesc,translated_pending_qa,src/data/items.h,2284
ITEM_SILVER_POWDER,SILVERPOWDER,keep_english,sSilverPowderDesc,translated_pending_qa,src/data/items.h,2297
ITEM_AMULET_COIN,AMULET COIN,keep_english,sAmuletCoinDesc,translated_pending_qa,src/data/items.h,2310
ITEM_CLEANSE_TAG,CLEANSE TAG,keep_english,sCleanseTagDesc,translated_pending_qa,src/data/items.h,2323
ITEM_SOUL_DEW,SOUL DEW,keep_english,sSoulDewDesc,translated_pending_qa,src/data/items.h,2335
ITEM_DEEP_SEA_TOOTH,DEEPSEATOOTH,keep_english,sDeepSeaToothDesc,translated_pending_qa,src/data/items.h,2347
ITEM_DEEP_SEA_SCALE,DEEPSEASCALE,keep_english,sDeepSeaScaleDesc,translated_pending_qa,src/data/items.h,2359
ITEM_SMOKE_BALL,SMOKE BALL,keep_english,sSmokeBallDesc,translated_pending_qa,src/data/items.h,2371
ITEM_EVERSTONE,EVERSTONE,keep_english,sEverstoneDesc,translated_pending_qa,src/data/items.h,2383
ITEM_FOCUS_BAND,FOCUS BAND,keep_english,sFocusBandDesc,translated_pending_qa,src/data/items.h,2395
ITEM_LUCKY_EGG,LUCKY EGG,keep_english,sLuckyEggDesc,translated_pending_qa,src/data/items.h,2408
ITEM_SCOPE_LENS,SCOPE LENS,keep_english,sScopeLensDesc,translated_pending_qa,src/data/items.h,2420
ITEM_METAL_COAT,METAL COAT,keep_english,sMetalCoatDesc,translated_pending_qa,src/data/items.h,2432
ITEM_LEFTOVERS,LEFTOVERS,keep_english,sLeftoversDesc,translated_pending_qa,src/data/items.h,2445
ITEM_DRAGON_SCALE,DRAGON SCALE,keep_english,sDragonScaleDesc,translated_pending_qa,src/data/items.h,2458
ITEM_LIGHT_BALL,LIGHT BALL,keep_english,sLightBallDesc,translated_pending_qa,src/data/items.h,2471
ITEM_SOFT_SAND,SOFT SAND,keep_english,sSoftSandDesc,translated_pending_qa,src/data/items.h,2483
ITEM_HARD_STONE,HARD STONE,keep_english,sHardStoneDesc,translated_pending_qa,src/data/items.h,2496
ITEM_MIRACLE_SEED,MIRACLE SEED,keep_english,sMiracleSeedDesc,translated_pending_qa,src/data/items.h,2509
ITEM_BLACK_GLASSES,BLACKGLASSES,keep_english,sBlackGlassesDesc,translated_pending_qa,src/data/items.h,2522
ITEM_BLACK_BELT,BLACK BELT,keep_english,sBlackBeltDesc,translated_pending_qa,src/data/items.h,2535
ITEM_MAGNET,MAGNET,keep_english,sMagnetDesc,translated_pending_qa,src/data/items.h,2548
ITEM_MYSTIC_WATER,MYSTIC WATER,keep_english,sMysticWaterDesc,translated_pending_qa,src/data/items.h,2561
ITEM_SHARP_BEAK,SHARP BEAK,keep_english,sSharpBeakDesc,translated_pending_qa,src/data/items.h,2574
ITEM_POISON_BARB,POISON BARB,keep_english,sPoisonBarbDesc,translated_pending_qa,src/data/items.h,2587
ITEM_NEVER_MELT_ICE,NEVERMELTICE,keep_english,sNeverMeltIceDesc,translated_pending_qa,src/data/items.h,2600
ITEM_SPELL_TAG,SPELL TAG,keep_english,sSpellTagDesc,translated_pending_qa,src/data/items.h,2613
ITEM_TWISTED_SPOON,TWISTEDSPOON,keep_english,sTwistedSpoonDesc,translated_pending_qa,src/data/items.h,2626
ITEM_CHARCOAL,CHARCOAL,keep_english,sCharcoalDesc,translated_pending_qa,src/data/items.h,2639
ITEM_DRAGON_FANG,DRAGON FANG,keep_english,sDragonFangDesc,translated_pending_qa,src/data/items.h,2652
ITEM_SILK_SCARF,SILK SCARF,keep_english,sSilkScarfDesc,translated_pending_qa,src/data/items.h,2665
ITEM_UP_GRADE,UP-GRADE,keep_english,sUpGradeDesc,translated_pending_qa,src/data/items.h,2678
ITEM_SHELL_BELL,SHELL BELL,keep_english,sShellBellDesc,translated_pending_qa,src/data/items.h,2690
ITEM_SEA_INCENSE,SEA INCENSE,keep_english,sSeaIncenseDesc,translated_pending_qa,src/data/items.h,2703
ITEM_LAX_INCENSE,LAX INCENSE,keep_english,sLaxIncenseDesc,translated_pending_qa,src/data/items.h,2716
ITEM_LUCKY_PUNCH,LUCKY PUNCH,keep_english,sLuckyPunchDesc,translated_pending_qa,src/data/items.h,2729
ITEM_METAL_POWDER,METAL POWDER,keep_english,sMetalPowderDesc,translated_pending_qa,src/data/items.h,2741
ITEM_THICK_CLUB,THICK CLUB,keep_english,sThickClubDesc,translated_pending_qa,src/data/items.h,2753
ITEM_STICK,STICK,keep_english,sStickDesc,translated_pending_qa,src/data/items.h,2765
ITEM_0E2,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,2777
ITEM_0E3,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,2788
ITEM_0E4,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,2799
ITEM_0E5,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,2810
ITEM_0E6,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,2821
ITEM_0E7,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,2832
ITEM_0E8,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,2843
ITEM_0E9,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,2854
ITEM_0EA,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,2865
ITEM_0EB,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,2876
ITEM_0EC,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,2887
ITEM_0ED,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,2898
ITEM_0EE,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,2909
ITEM_0EF,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,2920
ITEM_0F0,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,2931
ITEM_0F1,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,2942
ITEM_0F2,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,2953
ITEM_0F3,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,2964
ITEM_0F4,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,2975
ITEM_0F5,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,2986
ITEM_0F6,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,2997
ITEM_0F7,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,3008
ITEM_0F8,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,3019
ITEM_0F9,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,3030
ITEM_0FA,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,3041
ITEM_0FB,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,3052
ITEM_0FC,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,3063
ITEM_0FD,????????,keep_english,sDummyDesc,not_applicable,src/data/items.h,3074
ITEM_RED_SCARF,RED SCARF,keep_english,sRedScarfDesc,translated_pending_qa,src/data/items.h,3085
ITEM_BLUE_SCARF,BLUE SCARF,keep_english,sBlueScarfDesc,translated_pending_qa,src/data/items.h,3096
ITEM_PINK_SCARF,PINK SCARF,keep_english,sPinkScarfDesc,translated_pending_qa,src/data/items.h,3107
