ui_id,ui_key,symbol,current_text,target_text_th,translation_status,scope_class,current_language,ui_areas,usage_count,definition_kind,source_file,source_line,line_count,control_codes,has_placeholders,width_constraint_status,visual_qa_status,translator_note
UI0015,global:gText_BagIsFull2,gText_BagIsFull2,The BAG is full.,,pending,core_ui_prompt,english,PC_STORAGE,1,c_u8,src/strings.c,898,1,,no,pending_usage_to_window_mapping,pending,
UI0016,global:gText_BatteryRunDry,gText_BatteryRunDry,"The internal battery has run dry.
The game can be played.\pHowever, clock-based events will
no longer occur.","แบตเตอรี่ภายในหมดแล้ว
ยังสามารถเล่นเกมได้\pแต่กิจกรรมที่อิงเวลา
จะไม่เกิดขึ้นอีก",proof_passed,system_message,english,MAIN_MENU,1,c_u8,src/strings.c,38,3,\p,yes,pass,proof_passed,Runtime QA gallery reviewed and accepted.
UI0017,global:gText_BattleMenu,gText_BattleMenu,"FIGHT{CLEAR_TO 56}BAG
POKéMON{CLEAR_TO 56}RUN",,pending,core_ui_prompt,english,BATTLE_UI,1,c_u8,src/battle_message.c,1275,2,{CLEAR_TO 56},yes,pending_usage_to_window_mapping,pending,
UI0018,global:gText_BattleMoves,gText_BattleMoves,BATTLE MOVES,,pending,core_ui_label,english,SUMMARY,1,c_u8,src/strings.c,520,1,,no,pending_usage_to_window_mapping,pending,
UI0019,global:gText_BattlePyramidConfirmRest,gText_BattlePyramidConfirmRest,"Your BATTLE PYRAMID quest will be
saved so that you may quit for now.\lIs that okay?","จะบันทึกภารกิจใน
แบตเทิลพีระมิดไว้\lแล้วออกชั่วคราว ตกลงหรือไม่?",proof_passed,core_ui_prompt,english,START_SAVE,1,asm_string,data/maps/BattleFrontier_BattlePyramidFloor/scripts.inc,131,2,\l,yes,pass,proof_passed,Runtime QA gallery reviewed and accepted.
UI0020,global:gText_BattlePyramidConfirmRetire,gText_BattlePyramidConfirmRetire,"Are you sure you want to quit your
PYRAMID quest?","ต้องการยุติภารกิจ
แบตเทิลพีระมิดหรือไม่?",proof_passed,core_ui_prompt,english,START_SAVE,1,asm_string,data/maps/BattleFrontier_BattlePyramidFloor/scripts.inc,136,2,,no,pass,proof_passed,Runtime QA gallery reviewed and accepted.
UI0021,global:gText_BattlePyramidFloor,gText_BattlePyramidFloor,"Battle Pyramid
{STR_VAR_1}","แบตเทิลพีระมิด
{STR_VAR_1}",proof_passed,core_ui_prompt,english,START_SAVE,1,c_u8,src/strings.c,1574,2,{STR_VAR_1},yes,pass,proof_passed,Runtime QA gallery reviewed and accepted.
UI0022,global:gText_BattleScene,gText_BattleScene,BATTLE SCENE,ฉากต่อสู้,proof_passed,core_ui_label,english,OPTION_MENU,1,c_u8,src/strings.c,1530,1,,no,pass,proof_passed,Runtime screenshot reviewed: rendering and translation passed.
UI0023,global:gText_BattleSceneOff,gText_BattleSceneOff,{COLOR GREEN}{SHADOW LIGHT_GREEN}OFF,{COLOR GREEN}{SHADOW LIGHT_GREEN}ปิด,proof_passed,core_ui_label,english,OPTION_MENU,2,c_u8,src/strings.c,1540,1,{COLOR GREEN};{SHADOW LIGHT_GREEN},yes,pass,proof_passed,Runtime screenshot reviewed: rendering and translation passed.
UI0024,global:gText_BattleSceneOn,gText_BattleSceneOn,{COLOR GREEN}{SHADOW LIGHT_GREEN}ON,{COLOR GREEN}{SHADOW LIGHT_GREEN}เปิด,proof_passed,core_ui_label,english,OPTION_MENU,1,c_u8,src/strings.c,1539,1,{COLOR GREEN};{SHADOW LIGHT_GREEN},yes,pass,proof_passed,Runtime screenshot reviewed: rendering and translation passed.
UI0025,global:gText_BattleStyle,gText_BattleStyle,BATTLE STYLE,รูปแบบต่อสู้,proof_passed,core_ui_label,english,OPTION_MENU,1,c_u8,src/strings.c,1531,1,,no,pass,proof_passed,Runtime screenshot reviewed: rendering and translation passed.
UI0026,global:gText_BattleStyleSet,gText_BattleStyleSet,{COLOR GREEN}{SHADOW LIGHT_GREEN}SET,{COLOR GREEN}{SHADOW LIGHT_GREEN}คงที่,proof_passed,core_ui_label,english,OPTION_MENU,2,c_u8,src/strings.c,1542,1,{COLOR GREEN};{SHADOW LIGHT_GREEN},yes,pass,proof_passed,Runtime screenshot reviewed: rendering and translation passed.
UI0027,global:gText_BattleStyleShift,gText_BattleStyleShift,{COLOR GREEN}{SHADOW LIGHT_GREEN}SHIFT,{COLOR GREEN}{SHADOW LIGHT_GREEN}สลับ,proof_passed,core_ui_label,english,OPTION_MENU,1,c_u8,src/strings.c,1541,1,{COLOR GREEN};{SHADOW LIGHT_GREEN},yes,pass,proof_passed,Runtime screenshot reviewed: rendering and translation passed.
UI0028,global:gText_BattleSwitchWhich,gText_BattleSwitchWhich,"{PALETTE 5}{COLOR_HIGHLIGHT_SHADOW DYNAMIC_COLOR4 DYNAMIC_COLOR5 DYNAMIC_COLOR6}Switch
which?",,pending,core_ui_prompt,english,BATTLE_UI,1,c_u8,src/battle_message.c,1283,2,{COLOR_HIGHLIGHT_SHADOW DYNAMIC_COLOR4 DYNAMIC_COLOR5 DYNAMIC_COLOR6};{PALETTE 5},yes,pending_usage_to_window_mapping,pending,
UI0029,global:gText_BattleYesNoChoice,gText_BattleYesNoChoice,"{PALETTE 5}{COLOR_HIGHLIGHT_SHADOW DYNAMIC_COLOR4 DYNAMIC_COLOR5 DYNAMIC_COLOR6}Yes
No",,pending,core_ui_prompt,english,BATTLE_UI,1,c_u8,src/battle_message.c,1282,2,{COLOR_HIGHLIGHT_SHADOW DYNAMIC_COLOR4 DYNAMIC_COLOR5 DYNAMIC_COLOR6};{PALETTE 5},yes,pending_usage_to_window_mapping,pending,
UI0030,global:gText_BirchBoy,gText_BirchBoy,BOY,เด็กชาย,proof_passed,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,64,1,,no,pass,proof_passed,Runtime screenshot reviewed: rendering and translation passed.
UI0031,global:gText_BirchGirl,gText_BirchGirl,GIRL,เด็กหญิง,proof_passed,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,65,1,,no,pass,proof_passed,Runtime screenshot reviewed: rendering and translation passed.
UI0032,global:gText_Birch_AndYouAre,gText_Birch_AndYouAre,And you are?,,deferred_story,story_deferred,english,MAIN_MENU,1,asm_string,data/text/birch_speech.inc,31,1,,no,pending_usage_to_window_mapping,pending,
UI0033,global:gText_Birch_AreYouReady,gText_Birch_AreYouReady,"All right, are you ready?\pYour very own adventure is about
to unfold.\pTake courage, and leap into the
world of POKéMON where dreams,\ladventure, and friendships await!\pWell, I'll be expecting you later.
Come see me in my POKéMON LAB.\p",,deferred_story,story_deferred,english,MAIN_MENU,1,asm_string,data/text/birch_speech.inc,52,4,\l;\p,yes,pending_usage_to_window_mapping,pending,
UI0034,global:gText_Birch_BoyOrGirl,gText_Birch_BoyOrGirl,"Are you a boy?
Or are you a girl?","เธอเป็นเด็กชาย?
หรือเป็นเด็กหญิง?",proof_passed,core_ui_prompt,english,MAIN_MENU,1,asm_string,data/text/birch_speech.inc,34,2,,no,pass,proof_passed,Scope correction verified in runtime. Rendering and translation passed.
UI0035,global:gText_Birch_MainSpeech,gText_Birch_MainSpeech,"This world is widely inhabited by
creatures known as POKéMON.\pWe humans live alongside POKéMON,
at times as friendly playmates, and\lat times as cooperative workmates.\pAnd sometimes, we band together
and battle others like us.\pBut despite our closeness, we don't
know everything about POKéMON.\pIn fact, there are many, many
secrets surrounding POKéMON.\pTo unravel POKéMON mysteries,
I've been undertaking research.\lThat's what I do.\p",,deferred_story,story_deferred,english,MAIN_MENU,1,asm_string,data/text/birch_speech.inc,14,7,\l;\p,yes,pending_usage_to_window_mapping,pending,
UI0036,global:gText_Birch_SoItsPlayer,gText_Birch_SoItsPlayer,So it's {PLAYER}{KUN}?,,deferred_story,story_deferred,english,MAIN_MENU,1,asm_string,data/text/birch_speech.inc,42,1,{KUN};{PLAYER},yes,pending_usage_to_window_mapping,pending,
UI0037,global:gText_Birch_Welcome,gText_Birch_Welcome,"Hi! Sorry to keep you waiting!\pWelcome to the world of POKéMON!\pMy name is BIRCH.\pBut everyone calls me the POKéMON
PROFESSOR.\p",,deferred_story,story_deferred,english,MAIN_MENU,1,asm_string,data/text/birch_speech.inc,1,2,\p,yes,pending_usage_to_window_mapping,pending,
UI0038,global:gText_Birch_WhatsYourName,gText_Birch_WhatsYourName,"All right.
What's your name?",,deferred_story,story_deferred,english,MAIN_MENU,1,asm_string,data/text/birch_speech.inc,38,2,,no,pending_usage_to_window_mapping,pending,
UI0039,global:gText_Birch_YourePlayer,gText_Birch_YourePlayer,"Ah, okay!\pYou're {PLAYER}{KUN} who's moving to my
hometown of LITTLEROOT.\lI get it now!\p",,deferred_story,story_deferred,english,MAIN_MENU,1,asm_string,data/text/birch_speech.inc,45,2,\l;\p;{KUN};{PLAYER},yes,pending_usage_to_window_mapping,pending,
UI0040,global:gText_BoostPP,gText_BoostPP,Boost PP of which move?,,pending,core_ui_prompt,english,PARTY_MENU,1,c_u8,src/strings.c,443,1,,no,pending_usage_to_window_mapping,pending,
UI0041,global:gText_BootedUpHM,gText_BootedUpHM,Booted up an HM.,,pending,core_ui_prompt,english,BAG,1,c_u8,src/strings.c,249,1,,no,pending_usage_to_window_mapping,pending,
UI0042,global:gText_BootedUpTM,gText_BootedUpTM,Booted up a TM.,,pending,core_ui_prompt,english,BAG,1,c_u8,src/strings.c,248,1,,no,pending_usage_to_window_mapping,pending,
UI0043,global:gText_Box,gText_Box,BOX,,pending,core_ui_label,english,PC_STORAGE,1,c_u8,src/strings.c,954,1,,no,pending_usage_to_window_mapping,pending,
UI0044,global:gText_BoxFull,gText_BoxFull,The BOX is full.{PAUSE_UNTIL_PRESS},,pending,system_message,english,BAG,2,c_u8,src/strings.c,255,1,{PAUSE_UNTIL_PRESS},yes,pending_usage_to_window_mapping,pending,
UI0045,global:gText_BoxIsFull2,gText_BoxIsFull2,The BOX is full.,,pending,core_ui_prompt,english,PC_STORAGE,1,c_u8,src/strings.c,881,1,,no,pending_usage_to_window_mapping,pending,
UI0046,global:gText_BoxName,gText_BoxName,BOX NAME?,ชื่อ BOX?,proof_passed,core_ui_prompt,english,MAIN_MENU,1,c_u8,src/strings.c,1643,1,,no,pass,proof_passed,Runtime QA gallery reviewed and accepted.
UI0047,global:gText_ButtonMode,gText_ButtonMode,BUTTON MODE,โหมดปุ่ม,proof_passed,core_ui_label,english,OPTION_MENU,1,c_u8,src/strings.c,1535,1,,no,pass,proof_passed,Runtime screenshot reviewed: rendering and translation passed.
UI0048,global:gText_ButtonTypeLEqualsA,gText_ButtonTypeLEqualsA,{COLOR GREEN}{SHADOW LIGHT_GREEN}L=A,{COLOR GREEN}{SHADOW LIGHT_GREEN}L=A,proof_passed,core_ui_label,english,OPTION_MENU,3,c_u8,src/strings.c,1549,1,{COLOR GREEN};{SHADOW LIGHT_GREEN},yes,pass,proof_passed,Runtime screenshot reviewed: rendering and translation passed.
UI0049,global:gText_ButtonTypeLR,gText_ButtonTypeLR,{COLOR GREEN}{SHADOW LIGHT_GREEN}LR,{COLOR GREEN}{SHADOW LIGHT_GREEN}LR,proof_passed,core_ui_label,english,OPTION_MENU,2,c_u8,src/strings.c,1548,1,{COLOR GREEN};{SHADOW LIGHT_GREEN},yes,pass,proof_passed,Runtime screenshot reviewed: rendering and translation passed.
UI0050,global:gText_ButtonTypeNormal,gText_ButtonTypeNormal,{COLOR GREEN}{SHADOW LIGHT_GREEN}NORMAL,{COLOR GREEN}{SHADOW LIGHT_GREEN}ปกติ,proof_passed,core_ui_label,english,OPTION_MENU,2,c_u8,src/strings.c,1547,1,{COLOR GREEN};{SHADOW LIGHT_GREEN},yes,pass,proof_passed,Runtime screenshot reviewed: rendering and translation passed.
UI0051,global:gText_ByeByePkmn,gText_ByeByePkmn,"Bye-bye, {DYNAMIC 0}!",,pending,core_ui_prompt,english,PC_STORAGE,1,c_u8,src/strings.c,884,1,{DYNAMIC 0},yes,pending_usage_to_window_mapping,pending,
UI0052,global:gText_Call,gText_Call,CALL,,pending,core_ui_label,english,POKENAV,1,c_u8,src/strings.c,1001,1,,no,pending_usage_to_window_mapping,pending,
UI0053,global:gText_CallCantBeMadeHere,gText_CallCantBeMadeHere,A call can't be made from here.,,pending,core_ui_prompt,english,POKENAV,1,c_u8,src/strings.c,1647,1,,no,pending_usage_to_window_mapping,pending,
UI0054,global:gText_CanIHelpWithAnythingElse,gText_CanIHelpWithAnythingElse,Can I help you with anything else?,,pending,core_ui_prompt,english,SHOP,1,c_u8,src/strings.c,360,1,,no,pending_usage_to_window_mapping,pending,
UI0055,global:gText_Cancel,gText_Cancel,CANCEL,,pending,core_ui_label,english,MOVE_UI;PARTY_MENU;PC_STORAGE;SUMMARY,5,c_u8,src/strings.c,194,1,,no,pending_usage_to_window_mapping,pending,
UI0056,global:gText_Cancel2,gText_Cancel2,CANCEL,,pending,core_ui_label,english,BAG;PARTY_MENU;PC_STORAGE;SHOP;SUMMARY,10,c_u8,src/strings.c,195,1,,no,pending_usage_to_window_mapping,pending,
UI0057,global:gText_Cancel6,gText_Cancel6,CANCEL,,pending,core_ui_label,english,POKENAV,1,c_u8,src/strings.c,1003,1,,no,pending_usage_to_window_mapping,pending,
UI0058,global:gText_CancelBattle,gText_CancelBattle,Cancel the battle?,,pending,core_ui_prompt,english,PARTY_MENU,1,c_u8,src/strings.c,473,1,,no,pending_usage_to_window_mapping,pending,
UI0059,global:gText_CancelChallenge,gText_CancelChallenge,Cancel the challenge?,,pending,core_ui_prompt,english,PARTY_MENU,1,c_u8,src/strings.c,475,1,,no,pending_usage_to_window_mapping,pending,
UI0060,global:gText_CancelParticipation,gText_CancelParticipation,Cancel participation?,,pending,core_ui_prompt,english,PARTY_MENU,2,c_u8,src/strings.c,472,1,,no,pending_usage_to_window_mapping,pending,
UI0061,global:gText_CantBuyKeyItem,gText_CantBuyKeyItem,"{STR_VAR_2}? Oh, no.
I can't buy that.{PAUSE_UNTIL_PRESS}",,pending,system_message,english,BAG,1,c_u8,src/strings.c,362,2,{PAUSE_UNTIL_PRESS};{STR_VAR_2},yes,pending_usage_to_window_mapping,pending,
UI0062,global:gText_CantDismountBike,gText_CantDismountBike,You can't dismount your BIKE here.{PAUSE_UNTIL_PRESS},,pending,system_message,english,BAG,1,c_u8,src/strings.c,243,1,{PAUSE_UNTIL_PRESS},yes,pending_usage_to_window_mapping,pending,
UI0063,global:gText_CantStoreImportantItems,gText_CantStoreImportantItems,"Important items
can't be stored in
the PC!",,pending,core_ui_prompt,english,BAG,1,c_u8,src/strings.c,237,3,,no,pending_usage_to_window_mapping,pending,
UI0064,global:gText_CantSurfHere,gText_CantSurfHere,You can't SURF here.,,pending,core_ui_prompt,english,PARTY_MENU,1,c_u8,src/strings.c,439,1,,no,pending_usage_to_window_mapping,pending,
UI0065,global:gText_CantSwitchWithAlly,gText_CantSwitchWithAlly,"You can't switch {STR_VAR_1}'s
POKéMON with one of yours!{PAUSE_UNTIL_PRESS}",,pending,system_message,english,PARTY_MENU,1,c_u8,src/strings.c,386,2,{PAUSE_UNTIL_PRESS};{STR_VAR_1},yes,pending_usage_to_window_mapping,pending,
UI0066,global:gText_CantTradeWithTrainer,gText_CantTradeWithTrainer,"You can't trade with that
TRAINER now.",,pending,core_ui_prompt,english,PARTY_MENU,2,c_u8,src/strings.c,491,2,,no,pending_usage_to_window_mapping,pending,
UI0067,global:gText_CantUseHere,gText_CantUseHere,Can't use that here.,,pending,core_ui_prompt,english,PARTY_MENU,1,c_u8,src/strings.c,441,1,,no,pending_usage_to_window_mapping,pending,
UI0068,global:gText_CantUseUntilNewBadge,gText_CantUseUntilNewBadge,"This can't be used until a new
BADGE is obtained.{PAUSE_UNTIL_PRESS}",,pending,system_message,english,PARTY_MENU,1,c_u8,src/strings.c,388,2,{PAUSE_UNTIL_PRESS},yes,pending_usage_to_window_mapping,pending,
UI0069,global:gText_CantWriteMail,gText_CantWriteMail,"You can't write
MAIL here.",,pending,core_ui_prompt,english,BAG,3,c_u8,src/strings.c,229,2,,no,pending_usage_to_window_mapping,pending,
UI0070,global:gText_ChangedToNewItem,gText_ChangedToNewItem,Changed to {DYNAMIC 0}.,,pending,core_ui_prompt,english,PC_STORAGE,1,c_u8,src/strings.c,901,1,{DYNAMIC 0},yes,pending_usage_to_window_mapping,pending,
UI0071,global:gText_Check,gText_Check,CHECK,,pending,core_ui_label,english,POKENAV,1,c_u8,src/strings.c,1002,1,,no,pending_usage_to_window_mapping,pending,
UI0072,global:gText_ChoosePokemon,gText_ChoosePokemon,Choose a POKéMON.,,pending,core_ui_prompt,english,PARTY_MENU,1,c_u8,src/strings.c,432,1,,no,pending_usage_to_window_mapping,pending,
UI0073,global:gText_ChoosePokemon2,gText_ChoosePokemon2,Choose a POKéMON.,,pending,core_ui_prompt,english,PARTY_MENU,1,c_u8,src/strings.c,446,1,,no,pending_usage_to_window_mapping,pending,
UI0074,global:gText_ChoosePokemonCancel,gText_ChoosePokemonCancel,Choose POKéMON or CANCEL.,,pending,core_ui_prompt,english,PARTY_MENU,1,c_u8,src/strings.c,453,1,,no,pending_usage_to_window_mapping,pending,
UI0075,global:gText_ChoosePokemonConfirm,gText_ChoosePokemonConfirm,Choose POKéMON and confirm.,,pending,core_ui_prompt,english,PARTY_MENU,1,c_u8,src/strings.c,454,1,,no,pending_usage_to_window_mapping,pending,
UI0076,global:gText_CloseBag,gText_CloseBag,CLOSE BAG,,pending,core_ui_label,english,BAG,1,c_u8,src/strings.c,227,1,,no,pending_usage_to_window_mapping,pending,
UI0077,global:gText_CoinCase,gText_CoinCase,"Your COINS:
{STR_VAR_1}{PAUSE_UNTIL_PRESS}",,pending,system_message,english,BAG,1,c_u8,src/strings.c,247,2,{PAUSE_UNTIL_PRESS};{STR_VAR_1},yes,pending_usage_to_window_mapping,pending,
UI0078,global:gText_ConfirmSave,gText_ConfirmSave,Would you like to save the game?,ต้องการบันทึกเกมหรือไม่?,proof_passed,core_ui_prompt,english,START_SAVE,1,asm_string,data/text/save.inc,2,1,,no,pass,proof_passed,Runtime screenshot reviewed: rendering and translation passed.
UI0079,global:gText_ConfirmTossItems,gText_ConfirmTossItems,"Is it okay to
throw away {STR_VAR_2}
{STR_VAR_1}(s)?",,pending,core_ui_prompt,english,BAG;PC_STORAGE,2,c_u8,src/strings.c,241,3,{STR_VAR_1};{STR_VAR_2},yes,pending_usage_to_window_mapping,pending,
UI0080,global:gText_ContestMoves,gText_ContestMoves,C0NTEST MOVES,,pending,core_ui_label,english,SUMMARY,1,c_u8,src/strings.c,521,1,,no,pending_usage_to_window_mapping,pending,
UI0081,global:gText_ContinueBoxOperations,gText_ContinueBoxOperations,Continue BOX operations?,,pending,core_ui_prompt,english,PC_STORAGE,1,c_u8,src/strings.c,891,1,,no,pending_usage_to_window_mapping,pending,
UI0082,global:gText_ContinueMenuBadges,gText_ContinueMenuBadges,BADGES,เข็มกลัด,proof_passed,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,1410,1,,no,pass,proof_passed,Runtime QA gallery reviewed and accepted.
UI0083,global:gText_ContinueMenuPlayer,gText_ContinueMenuPlayer,PLAYER,ผู้เล่น,proof_passed,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,1407,1,,no,pass,proof_passed,Runtime QA gallery reviewed and accepted.
UI0084,global:gText_ContinueMenuPokedex,gText_ContinueMenuPokedex,POKéDEX,โปเกเด็กซ์,proof_passed,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,1409,1,,no,pass,proof_passed,Runtime QA gallery reviewed and accepted.
UI0085,global:gText_ContinueMenuTime,gText_ContinueMenuTime,TIME,เวลา,proof_passed,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,1408,1,,no,pass,proof_passed,Runtime QA gallery reviewed and accepted.
UI0086,global:gText_CryOf,gText_CryOf,CRY OF,,pending,core_ui_label,english,POKEDEX,1,c_u8,src/strings.c,114,1,,no,pending_usage_to_window_mapping,pending,
UI0087,global:gText_CurrentIsTooFast,gText_CurrentIsTooFast,The current is much too fast!,,pending,core_ui_prompt,english,PARTY_MENU,1,c_u8,src/strings.c,451,1,,no,pending_usage_to_window_mapping,pending,
UI0088,global:gText_DadsAdvice,gText_DadsAdvice,"DAD's advice…
{PLAYER}, there's a time and place for\leverything!{PAUSE_UNTIL_PRESS}",,pending,system_message,english,BAG,2,c_u8,src/strings.c,242,2,\l;{PAUSE_UNTIL_PRESS};{PLAYER},yes,pending_usage_to_window_mapping,pending,
UI0089,global:gText_Decoration,gText_Decoration,DECORATION,,pending,core_ui_label,english,PC_STORAGE,1,c_u8,src/strings.c,586,1,,no,pending_usage_to_window_mapping,pending,
UI0090,global:gText_DefaultNameAllie,gText_DefaultNameAllie,ALLIE,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,90,1,,no,pending_usage_to_window_mapping,pending,
UI0091,global:gText_DefaultNameAubree,gText_DefaultNameAubree,AUBREE,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,95,1,,no,pending_usage_to_window_mapping,pending,
UI0092,global:gText_DefaultNameBella,gText_DefaultNameBella,BELLA,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,88,1,,no,pending_usage_to_window_mapping,pending,
UI0093,global:gText_DefaultNameBrett,gText_DefaultNameBrett,BRETT,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,77,1,,no,pending_usage_to_window_mapping,pending,
UI0094,global:gText_DefaultNameCamila,gText_DefaultNameCamila,CAMILA,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,94,1,,no,pending_usage_to_window_mapping,pending,
UI0095,global:gText_DefaultNameCasey,gText_DefaultNameCasey,CASEY,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,80,1,,no,pending_usage_to_window_mapping,pending,
UI0096,global:gText_DefaultNameCollin,gText_DefaultNameCollin,COLLIN,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,83,1,,no,pending_usage_to_window_mapping,pending,
UI0097,global:gText_DefaultNameDarren,gText_DefaultNameDarren,DARREN,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,81,1,,no,pending_usage_to_window_mapping,pending,
UI0098,global:gText_DefaultNameEaston,gText_DefaultNameEaston,EASTON,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,73,1,,no,pending_usage_to_window_mapping,pending,
UI0099,global:gText_DefaultNameHalie,gText_DefaultNameHalie,HALIE,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,105,1,,no,pending_usage_to_window_mapping,pending,
UI0100,global:gText_DefaultNameHazel,gText_DefaultNameHazel,HAZEL,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,97,1,,no,pending_usage_to_window_mapping,pending,
UI0101,global:gText_DefaultNameJaxson,gText_DefaultNameJaxson,JAXSON,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,72,1,,no,pending_usage_to_window_mapping,pending,
UI0102,global:gText_DefaultNameJayla,gText_DefaultNameJayla,JAYLA,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,89,1,,no,pending_usage_to_window_mapping,pending,
UI0103,global:gText_DefaultNameJohnny,gText_DefaultNameJohnny,JOHNNY,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,76,1,,no,pending_usage_to_window_mapping,pending,
UI0104,global:gText_DefaultNameJude,gText_DefaultNameJude,JUDE,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,71,1,,no,pending_usage_to_window_mapping,pending,
UI0105,global:gText_DefaultNameKenny,gText_DefaultNameKenny,KENNY,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,69,1,,no,pending_usage_to_window_mapping,pending,
UI0106,global:gText_DefaultNameKimmy,gText_DefaultNameKimmy,KIMMY,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,86,1,,no,pending_usage_to_window_mapping,pending,
