id,raw_category,scope_group,scope_subgroup,policy,scope_status,canonical_tracker,reason,source_file,source_line,source_label,group7_scope_decision,destination_group,corrected_group7_decision,correction_reason,stable_target_key,battle_hold_group,canonical_decision,decision_reason,evidence_source
dlg_3b0140c6d8cc4ca5,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/cable_club.inc,91,CableClub_Text_CantDoubleBattleWithXPlayers,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/cable_club.inc::CableClub_Text_CantDoubleBattleWithXPlayers,F,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/cable_club.inc
dlg_4c28e55b29b63559,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/cable_club.inc,125,BattleColosseum_2P_Text_TakePlaceStartBattle,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/cable_club.inc::BattleColosseum_2P_Text_TakePlaceStartBattle,F,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/cable_club.inc
dlg_e6bb0fc638f633e9,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/cable_club.inc,191,CableClub_Text_YouMayBattleHere,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/cable_club.inc::CableClub_Text_YouMayBattleHere,F,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/cable_club.inc
dlg_667243e5f4d1184a,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/cable_club.inc,213,CableClub_Text_WhichBattleMode,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/cable_club.inc::CableClub_Text_WhichBattleMode,F,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/cable_club.inc
dlg_b5af2278b05c293e,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/cable_club.inc,344,CableClub_Text_PlayWhichBattleMode,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/cable_club.inc::CableClub_Text_PlayWhichBattleMode,F,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/cable_club.inc
dlg_35a071fd5020d9fd,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/cable_club.inc,356,CableClub_Text_ExplainBattleModes,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/cable_club.inc::CableClub_Text_ExplainBattleModes,F,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/cable_club.inc
dlg_6e6fe4dff301d8aa,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,110,BattleFrontier_BattleTowerLobby_Text_InterviewRequest,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::BattleFrontier_BattleTowerLobby_Text_InterviewRequest,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc
dlg_7ced9d6be772ab64,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,118,BattleFrontier_BattleTowerLobby_Text_HowDidBattleTowerTurnOut,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::BattleFrontier_BattleTowerLobby_Text_HowDidBattleTowerTurnOut,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc
dlg_5379136065f0ca35,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,127,BattleFrontier_BattleTowerLobby_Text_SorryWeDisturbedYou,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::BattleFrontier_BattleTowerLobby_Text_SorryWeDisturbedYou,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc
dlg_e443d21f7c4e699d,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,133,BattleFrontier_BattleTowerLobby_Text_ObviousYouHadGreatBattle,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::BattleFrontier_BattleTowerLobby_Text_ObviousYouHadGreatBattle,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc
dlg_6bcea2da5cde78e1,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,140,BattleFrontier_BattleTowerLobby_Text_DifficultToMakeBattleTurnOutAsPlanned,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::BattleFrontier_BattleTowerLobby_Text_DifficultToMakeBattleTurnOutAsPlanned,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc
dlg_c6ac1b400cf66dbe,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,145,BattleFrontier_BattleTowerLobby_Text_DescribeYourBattle,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::BattleFrontier_BattleTowerLobby_Text_DescribeYourBattle,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc
dlg_c147ecbe633ceeed,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,151,BattleFrontier_BattleTowerLobby_Text_ThatsGreatLine,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::BattleFrontier_BattleTowerLobby_Text_ThatsGreatLine,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc
dlg_1c59f2d2a4c11020,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,157,BattleFrontier_BattleTowerLobby_Text_SilentType,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::BattleFrontier_BattleTowerLobby_Text_SilentType,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc
dlg_a85321e4604616bf,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,164,BattleFrontier_BattleTowerLobby_Text_LookingForwardToNextBattle,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::BattleFrontier_BattleTowerLobby_Text_LookingForwardToNextBattle,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc
dlg_996fa51dfb66346b,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,1612,gTVThePokemonBattleSeminarText00,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::gTVThePokemonBattleSeminarText00,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc
dlg_63f7c007560bbcb6,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,1621,gTVThePokemonBattleSeminarText01,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::gTVThePokemonBattleSeminarText01,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc
dlg_afa31b319cbbef08,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,1627,gTVThePokemonBattleSeminarText02,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::gTVThePokemonBattleSeminarText02,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc
dlg_de4dd2766c9c3214,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,1631,gTVThePokemonBattleSeminarText03,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::gTVThePokemonBattleSeminarText03,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc
dlg_79738c516476f77e,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,1635,gTVThePokemonBattleSeminarText04,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::gTVThePokemonBattleSeminarText04,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc
dlg_61c093e22d4c5eb8,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,1639,gTVThePokemonBattleSeminarText05,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::gTVThePokemonBattleSeminarText05,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc
dlg_d0b4e51ee6ccbc1c,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,1642,gTVThePokemonBattleSeminarText06,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::gTVThePokemonBattleSeminarText06,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc
dlg_44b9e51c1fae327b,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,1881,gTVPokemonNewsBattleFrontierText00,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::gTVPokemonNewsBattleFrontierText00,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc
dlg_5d32efe0df113a2d,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,1887,gTVPokemonNewsBattleFrontierText01,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::gTVPokemonNewsBattleFrontierText01,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc
dlg_fb4ccfb13248c5a7,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,1894,gTVPokemonNewsBattleFrontierText02,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::gTVPokemonNewsBattleFrontierText02,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc
dlg_7658778efb192448,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,1901,gTVPokemonNewsBattleFrontierText03,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::gTVPokemonNewsBattleFrontierText03,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc
dlg_91a41d34608e28f7,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,1908,gTVPokemonNewsBattleFrontierText04,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::gTVPokemonNewsBattleFrontierText04,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc
dlg_b49a1ff44763d8c8,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,1915,gTVPokemonNewsBattleFrontierText05,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::gTVPokemonNewsBattleFrontierText05,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc
dlg_59f16f7ed2c05347,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,1922,gTVPokemonNewsBattleFrontierText06,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::gTVPokemonNewsBattleFrontierText06,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc
dlg_7cc56245491a6226,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,1929,gTVPokemonNewsBattleFrontierText07,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::gTVPokemonNewsBattleFrontierText07,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc
dlg_a7002b3e387ceddc,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,1936,gTVPokemonNewsBattleFrontierText08,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::gTVPokemonNewsBattleFrontierText08,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc
dlg_ff9f2146d91b6012,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,1943,gTVPokemonNewsBattleFrontierText09,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::gTVPokemonNewsBattleFrontierText09,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc
dlg_b0ccdfebc08d5531,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,1950,gTVPokemonNewsBattleFrontierText10,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::gTVPokemonNewsBattleFrontierText10,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc
dlg_84d4a3d1cd174985,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,1957,gTVPokemonNewsBattleFrontierText11,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::gTVPokemonNewsBattleFrontierText11,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc
dlg_5deeaf17bc6d8c10,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,1964,gTVPokemonNewsBattleFrontierText12,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::gTVPokemonNewsBattleFrontierText12,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc
dlg_23f5d1199fc2cd68,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,1971,gTVPokemonNewsBattleFrontierText13,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::gTVPokemonNewsBattleFrontierText13,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc
dlg_99bcbc37e628cfb7,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,1978,gTVPokemonNewsBattleFrontierText14,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::gTVPokemonNewsBattleFrontierText14,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc
dlg_d3d7392f177868c9,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,1984,gTVPokemonNewsBattleFrontierText15,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::gTVPokemonNewsBattleFrontierText15,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc
dlg_2530466b0e630383,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,1990,gTVPokemonNewsBattleFrontierText16,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::gTVPokemonNewsBattleFrontierText16,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc
