id,raw_category,scope_group,scope_subgroup,policy,scope_status,canonical_tracker,reason,source_file,source_line,source_label,group7_scope_decision,destination_group,corrected_group7_decision,correction_reason,stable_target_key,battle_hold_group,canonical_decision,decision_reason,evidence_source,source_line_current,exact_raw,english_raw,thai,translation_status
dlg_7cbae448ed100f75,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/cable_club.inc,27,CableClub_Text_NeedTwoMonsForDoubleBattle,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/cable_club.inc::CableClub_Text_NeedTwoMonsForDoubleBattle,F,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/cable_club.inc,27,"For a DOUBLE BATTLE, you must\nhave at least two POKéMON.$","For a DOUBLE BATTLE, you must\nhave at least two POKéMON.$",ดับเบิลแบทเทิลต้องมีโปเกมอน\nอย่างน้อยสองตัว.$,TRANSLATED
dlg_7e2865402d56fc16,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/cable_club.inc,88,CableClub_Text_CantSingleBattleWithXPlayers,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/cable_club.inc::CableClub_Text_CantSingleBattleWithXPlayers,F,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/cable_club.inc,88,The SINGLE BATTLE Mode can't be\nplayed by {STR_VAR_1} players.$,The SINGLE BATTLE Mode can't be\nplayed by {STR_VAR_1} players.$,โหมดซิงเกิลแบทเทิลเล่นพร้อมกัน\n{STR_VAR_1} คนไม่ได้.$,TRANSLATED
dlg_3b0140c6d8cc4ca5,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/cable_club.inc,92,CableClub_Text_CantDoubleBattleWithXPlayers,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/cable_club.inc::CableClub_Text_CantDoubleBattleWithXPlayers,F,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/cable_club.inc,92,The DOUBLE BATTLE Mode can't be\nplayed by {STR_VAR_1} players.$,The DOUBLE BATTLE Mode can't be\nplayed by {STR_VAR_1} players.$,โหมดดับเบิลแบทเทิลเล่นพร้อมกัน\n{STR_VAR_1} คนไม่ได้.$,TRANSLATED
dlg_4c28e55b29b63559,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/cable_club.inc,123,BattleColosseum_2P_Text_TakePlaceStartBattle,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/cable_club.inc::BattleColosseum_2P_Text_TakePlaceStartBattle,F,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/cable_club.inc,123,Please take your place and start\nyour battle.$,Please take your place and start\nyour battle.$,กรุณาเข้าประจำที่แล้ว\nเริ่มการต่อสู้ได้เลย.$,TRANSLATED
dlg_e6bb0fc638f633e9,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/cable_club.inc,188,CableClub_Text_YouMayBattleHere,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/cable_club.inc::CableClub_Text_YouMayBattleHere,F,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/cable_club.inc,188,You may battle with your friends\nhere.$,You may battle with your friends\nhere.$,คุณสามารถต่อสู้กับเพื่อน\nได้ที่นี่.$,TRANSLATED
dlg_667243e5f4d1184a,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/cable_club.inc,209,CableClub_Text_WhichBattleMode,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/cable_club.inc::CableClub_Text_WhichBattleMode,F,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/cable_club.inc,209,Which battle mode would you like?$,Which battle mode would you like?$,ต้องการเลือกโหมดแบทเทิลแบบไหน?$,TRANSLATED
dlg_b5af2278b05c293e,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/cable_club.inc,341,CableClub_Text_PlayWhichBattleMode,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/cable_club.inc::CableClub_Text_PlayWhichBattleMode,F,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/cable_club.inc,341,Which Battle Mode would you like\nto play?$,Which Battle Mode would you like\nto play?$,ต้องการเล่นโหมดแบทเทิล\nแบบไหน?$,TRANSLATED
dlg_35a071fd5020d9fd,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/cable_club.inc,353,CableClub_Text_ExplainBattleModes,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/cable_club.inc::CableClub_Text_ExplainBattleModes,F,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/cable_club.inc,353,There are three Battle Modes.\pSINGLE BATTLE is for two TRAINERS\nwith one or more POKéMON each.\pEach TRAINER can have one POKéMON\nin battle at a time.\pDOUBLE BATTLE is for two TRAINERS\nwith two or more POKéMON each.\pEach TRAINER will send out two\nPOKéMON in battle at a time.\pMULTI BATTLE is for four TRAINERS\nwith one or more POKéMON each.\pEach TRAINER can have one POKéMON\nin battle at a time.$,There are three Battle Modes.\pSINGLE BATTLE is for two TRAINERS\nwith one or more POKéMON each.\pEach TRAINER can have one POKéMON\nin battle at a time.\pDOUBLE BATTLE is for two TRAINERS\nwith two or more POKéMON each.\pEach TRAINER will send out two\nPOKéMON in battle at a time.\pMULTI BATTLE is for four TRAINERS\nwith one or more POKéMON each.\pEach TRAINER can have one POKéMON\nin battle at a time.$,โหมดแบทเทิลมีสามแบบ.\pซิงเกิลแบทเทิล: เทรนเนอร์สองคน\nแต่ละคนมีโปเกมอนอย่างน้อยหนึ่งตัว.\pแต่ละคนส่งโปเกมอนลงสนาม\nได้ครั้งละหนึ่งตัว.\pดับเบิลแบทเทิล: เทรนเนอร์สองคน\nแต่ละคนมีโปเกมอนอย่างน้อยสองตัว.\pแต่ละคนส่งโปเกมอนลงสนาม\nพร้อมกันครั้งละสองตัว.\pมัลติแบทเทิล: เทรนเนอร์สี่คน\nแต่ละคนมีโปเกมอนอย่างน้อยหนึ่งตัว.\pแต่ละคนส่งโปเกมอนลงสนาม\nได้ครั้งละหนึ่งตัว.$,TRANSLATED
dlg_6e6fe4dff301d8aa,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,73,BattleFrontier_BattleTowerLobby_Text_InterviewRequest,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::BattleFrontier_BattleTowerLobby_Text_InterviewRequest,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc,73,"Hello! You're the TRAINER who just had\na battle, right?\pI'm gathering interviews with TRAINERS\nall over the place.\pMay I get a few words from you about\nyour impressions on battling?$","Hello! You're the TRAINER who just had\na battle, right?\pI'm gathering interviews with TRAINERS\nall over the place.\pMay I get a few words from you about\nyour impressions on battling?$",สวัสดี! คุณคือเทรนเนอร์ที่เพิ่ง\nสู้มาใช่ไหม?\pฉันกำลังสัมภาษณ์เทรนเนอร์\nจากทั่วทุกแห่ง.\pขอถามความรู้สึกเกี่ยวกับ\nการต่อสู้สักหน่อยได้ไหม?$,TRANSLATED
dlg_7ced9d6be772ab64,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,81,BattleFrontier_BattleTowerLobby_Text_HowDidBattleTowerTurnOut,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::BattleFrontier_BattleTowerLobby_Text_HowDidBattleTowerTurnOut,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc,81,"You will? Really?\nThank you!\lThen, uh…\pHow did things turn out in\nthe BATTLE TOWER today?\pWere you satisfied with the battle?\nOr are you unhappy?$","You will? Really?\nThank you!\lThen, uh…\pHow did things turn out in\nthe BATTLE TOWER today?\pWere you satisfied with the battle?\nOr are you unhappy?$",จริงเหรอ? ยอมให้สัมภาษณ์เหรอ?\nขอบคุณมาก!\lงั้น เอ่อ…\pวันนี้ที่แบทเทิลทาวเวอร์\nเป็นยังไงบ้าง?\pพอใจกับการต่อสู้ไหม?\nหรือยังไม่พอใจ?$,TRANSLATED
dlg_5379136065f0ca35,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,90,BattleFrontier_BattleTowerLobby_Text_SorryWeDisturbedYou,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::BattleFrontier_BattleTowerLobby_Text_SorryWeDisturbedYou,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc,90,Oh…\nSorry we disturbed you.\pPlease give us an interview the next\ntime you visit the BATTLE TOWER.$,Oh…\nSorry we disturbed you.\pPlease give us an interview the next\ntime you visit the BATTLE TOWER.$,อ้อ…\nขอโทษที่รบกวนนะ.\pคราวหน้าที่มาแบทเทิลทาวเวอร์\nช่วยให้สัมภาษณ์เราด้วยนะ.$,TRANSLATED
dlg_e443d21f7c4e699d,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,96,BattleFrontier_BattleTowerLobby_Text_ObviousYouHadGreatBattle,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::BattleFrontier_BattleTowerLobby_Text_ObviousYouHadGreatBattle,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc,96,"Well, of course!\pThat unmistakable look of satisfaction\non your face…\pIt's obvious that you've had a great\nbattle.$","Well, of course!\pThat unmistakable look of satisfaction\non your face…\pIt's obvious that you've had a great\nbattle.$",แน่นอนอยู่แล้ว!\pดูจากสีหน้าที่พอใจ\nอย่างเห็นได้ชัด…\pแสดงว่าคุณคงได้ต่อสู้\nอย่างยอดเยี่ยมแน่ ๆ.$,TRANSLATED
dlg_6bcea2da5cde78e1,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,103,BattleFrontier_BattleTowerLobby_Text_DifficultToMakeBattleTurnOutAsPlanned,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::BattleFrontier_BattleTowerLobby_Text_DifficultToMakeBattleTurnOutAsPlanned,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc,103,"Oh, I see…\pWell, it certainly is difficult to make a\nbattle turn out exactly as planned.$","Oh, I see…\pWell, it certainly is difficult to make a\nbattle turn out exactly as planned.$",อ้อ เข้าใจแล้ว…\pการทำให้การต่อสู้เป็นไป\nตามแผนทุกอย่างไม่ใช่เรื่องง่ายเลย.$,TRANSLATED
dlg_c6ac1b400cf66dbe,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,108,BattleFrontier_BattleTowerLobby_Text_DescribeYourBattle,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::BattleFrontier_BattleTowerLobby_Text_DescribeYourBattle,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc,108,"Oh, oh, may I ask one more question?\pIf you were to describe your\nimpressions about this battle with\lone saying, what would it be?$","Oh, oh, may I ask one more question?\pIf you were to describe your\nimpressions about this battle with\lone saying, what would it be?$",อ้อ ขอถามอีกข้อได้ไหม?\pถ้าให้บอกความรู้สึก\nเกี่ยวกับการต่อสู้ครั้งนี้\lด้วยคำพูดสั้น ๆ จะว่าอย่างไร?$,TRANSLATED
dlg_c147ecbe633ceeed,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,114,BattleFrontier_BattleTowerLobby_Text_ThatsGreatLine,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::BattleFrontier_BattleTowerLobby_Text_ThatsGreatLine,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc,114,"Oh, that is stunningly cool!\pThat's a great line!\nI hope you'll do great next time, too.\pI hope to see you again!$","Oh, that is stunningly cool!\pThat's a great line!\nI hope you'll do great next time, too.\pI hope to see you again!$",โอ้ ฟังดูเท่มาก!\pเป็นคำพูดที่ยอดเยี่ยม!\nครั้งหน้าก็ขอให้ทำได้ดีนะ.\pหวังว่าจะได้เจอกันอีก!$,TRANSLATED
dlg_1c59f2d2a4c11020,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,120,BattleFrontier_BattleTowerLobby_Text_SilentType,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::BattleFrontier_BattleTowerLobby_Text_SilentType,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc,120,"Oh, I see…\pStill, being the silent type is also\ncool, isn't it?\pI hope you'll give me the opportunity\nto share your thoughts again!$","Oh, I see…\pStill, being the silent type is also\ncool, isn't it?\pI hope you'll give me the opportunity\nto share your thoughts again!$",อ้อ เข้าใจแล้ว…\pแต่คนพูดน้อยก็ดู\nเท่เหมือนกันนะ?\pหวังว่าคราวหน้าจะได้ฟัง\nความเห็นของคุณอีก!$,TRANSLATED
dlg_a85321e4604616bf,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,127,BattleFrontier_BattleTowerLobby_Text_LookingForwardToNextBattle,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::BattleFrontier_BattleTowerLobby_Text_LookingForwardToNextBattle,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc,127,I'll be looking forward to your\nnext battle!$,I'll be looking forward to your\nnext battle!$,ฉันจะตั้งตารอ\nการต่อสู้ครั้งต่อไปของคุณ!$,TRANSLATED
dlg_996fa51dfb66346b,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/tv.inc,1440,gTVThePokemonBattleSeminarText00,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/tv.inc::gTVThePokemonBattleSeminarText00,C,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/tv.inc,1440,THE POKéMON BATTLE SEMINAR!\pWe examine battles to see what\nlessons we may learn from others.\pToday's case study is on {STR_VAR_1}'s\nbattle.\p{STR_VAR_1}'s {STR_VAR_2} was\nbattling one {STR_VAR_3}…$,THE POKéMON BATTLE SEMINAR!\pWe examine battles to see what\nlessons we may learn from others.\pToday's case study is on {STR_VAR_1}'s\nbattle.\p{STR_VAR_1}'s {STR_VAR_2} was\nbattling one {STR_VAR_3}…$,สัมมนาการต่อสู้โปเกมอน!\pเราจะศึกษาการต่อสู้เพื่อดูว่า\nเรียนรู้อะไรจากคนอื่นได้บ้าง.\pวันนี้เรามาดู {STR_VAR_1}\nต่อสู้กัน.\p{STR_VAR_1} ใช้ {STR_VAR_2}\nต่อสู้กับ {STR_VAR_3}…$,TRANSLATED
