profile_id,entry_count,render_context,source_file,source_evidence,font_id,x_start_px,window_width_px,available_width_px,hard_width_px,line_capacity,group_constraint,constraint_status,confidence,qa_route
NAMING_CHARSET_LOOKUP,1,Naming-screen case lookup table; not directly rendered,src/naming_screen.c,sText_AlphabetUpperLower is iterated as a character lookup table,not_rendered,,,,,,Runtime lookup data; changing it alters keyboard logic.,deferred_input_architecture,high,Requires input-system design and dedicated unit/runtime tests.
NAMING_KEYBOARD_LAYOUT,8,Naming keyboard pre-spaced rows,src/naming_screen.c,WIN_KB_PAGE_1/2: width=19; rows printed at x=0 with CLEAR controls,FONT_NORMAL,0,152,152,,1,Fixed keyboard matrix and CLEAR spacing; not normal prose translation.,deferred_input_architecture,high,Requires a separately designed Thai keyboard and input mapping.
NAMING_TITLE,4,Naming screen title,src/naming_screen.c,WIN_TEXT_ENTRY_BOX: width=17; title printed at x=8,FONT_NORMAL,8,136,128,128,1,Expanded placeholders must also fit.,mapped_exact_geometry,high,"Open player, Pokémon, Box, and Walda naming screens."
OPTION_CANCEL,1,Option Menu CANCEL row without a value group,src/option_menu.c,WIN_OPTIONS width=26; CANCEL printed at x=8,FONT_NORMAL,8,208,200,200,1,,mapped_exact_geometry,high,Inspect final Option Menu row.
OPTION_FRAME_TYPE,1,Option Menu FRAME TYPE label before dynamic number,src/option_menu.c,gText_FrameType at x=104; generated type number begins x=128,FONT_NORMAL,104,208,24,24,1,The dynamic frame number occupies the following region.,mapped_exact_geometry,high,Cycle frame types 1 through 20.
OPTION_HEADER,1,Option Menu header,src/option_menu.c,WIN_HEADER width=26; gText_Option printed at x=8,FONT_NORMAL,8,208,200,200,1,,mapped_exact_geometry,high,Open Option Menu and inspect header.
OPTION_PAIR_CHOICE,6,Two-choice Option Menu value group,src/option_menu.c,left value begins x=104; right value right-aligned to x=198,FONT_NORMAL,104,208,94 group region,,1,Both translated values and spacing must fit together inside 94 px.,mapped_group_budget,high,Cycle both values and inspect selection color changes.
OPTION_ROW_LABEL,6,Option Menu left-side row label,src/option_menu.c,WIN_OPTIONS width=26; row label x=8; choices begin at x=104,FONT_NORMAL,8,208,96,96,1,Label must remain left of the choice region.,mapped_exact_geometry,high,Inspect every Option Menu row with all values.
OPTION_TRIPLE_CHOICE,6,Three-choice Option Menu value group,src/option_menu.c,first begins x=104; last right-aligned to x=198; middle position is width-derived,FONT_NORMAL,104,208,94 group region,,1,All three translated values must fit together inside 94 px.,mapped_group_budget,high,Cycle all three values and inspect all selection states.
PC_TRANSFER_MESSAGE,4,Post-capture transfer system message,src/naming_screen.c; src/menu.c,Transferred-to-PC messages use the standard message printer,FONT_NORMAL,0,216,216,216,2 visible lines,"Moved to Phase 6 because this is a system message, not Core UI.",mapped_deferred_phase6,high,Fill party/Box and test both SOMEONE and LANETTE variants.
PRESET_PLAYER_NAME,40,Preset player name copied into fixed save buffer,src/main_menu.c,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,Translation depends on Thai input/storage policy and exact encoded length.,deferred_input_architecture,high,"Test selection, save/load, naming screen, trainer card, and link display."
PYRAMID_FLOOR,9,Battle Pyramid floor status window,src/start_menu.c,sWindowTemplate_PyramidFloor width=10; text x=0,FONT_NORMAL,0,80,80,80,2 lines,"Peak variant is wider, but 80 px is the shared safe limit.",mapped_exact_geometry,high,Inspect floors 1-7 and Peak.
SAFARI_STOCK,1,Safari Ball stock window,src/start_menu.c,sWindowTemplate_SafariBalls width=9; text x=0,FONT_NORMAL,0,72,72,72,2 lines,Expanded stock value must fit.,mapped_exact_geometry,high,Open Start Menu inside Safari Zone.
SAVE_INFO_LABEL,4,Save information panel label paired with right-aligned value,src/start_menu.c,sSaveInfoWindowTemplate width=14; labels x=0; values right-aligned to x=112,FONT_NORMAL,0,112,112,,1,"Must not collide with player name, count, or time value.",mapped_dynamic_pair,high,"Test maximum-length name, 8 badges, 3-digit Pokédex count, and 3-digit hours."
STANDARD_MESSAGE_BOX,8,Standard overworld/save dialogue box,src/menu.c; src/start_menu.c,"sStandardTextBox_WindowTemplates width=27; printer x=0, y=1",FONT_NORMAL,0,216,216,216,2 visible lines,Control codes may paginate or scroll.,mapped_exact_geometry,high,Trigger each prompt and inspect every page.
START_MENU_ITEM,9,Field Start Menu action,src/menu.c; src/start_menu.c,AddStartMenuWindow width=7; action text printed at x=8,FONT_NORMAL,8,56,48,48,1,Player-name action uses a different dynamic path and is not in this batch.,mapped_exact_geometry,high,"Inspect normal, Safari, link, Pike, Pyramid, and partner Start Menus."
