ui_id,symbol,ui_areas,scope_class,current_text,translation_status,translation_wave,constraint_profile,font_id,x_start_px,window_width_px,available_width_px,hard_width_px,line_capacity,constraint_group_id,constraint_group_budget_px,constraint_status,constraint_confidence,source_file,source_line,source_evidence,mapping_note,qa_route
UI0034,gText_Birch_BoyOrGirl,MAIN_MENU,core_ui_prompt,"Are you a boy?
Or are you a girl?",pending,pilot_prompts,BIRCH_MESSAGE_BOX,FONT_NORMAL,0,216,216,216,2 visible lines,,,mapped_exact_geometry,high,data/text/birch_speech.inc,34,sNewGameBirchSpeechTextWindows[0]: width=27; AddTextPrinterForMessage,Reclassified from story_deferred because this message directly drives the gender-selection menu.,Start New Game and inspect the question before the BOY/GIRL menu.
UI0046,gText_BoxName,MAIN_MENU,core_ui_prompt,BOX NAME?,pending,pilot_prompts,NAMING_TITLE,FONT_NORMAL,8,136,128,128,1,,,mapped_exact_geometry,high,src/strings.c,1643,WIN_TEXT_ENTRY_BOX: width=17; title printed at x=8,Expanded placeholders must also fit.,"Open player, Pokémon, Box, and Walda naming screens."
UI0047,gText_ButtonMode,OPTION_MENU,core_ui_label,BUTTON MODE,pending,pilot_labels,OPTION_ROW_LABEL,FONT_NORMAL,8,208,96,96,1,,,mapped_exact_geometry,high,src/strings.c,1535,WIN_OPTIONS width=26; row label x=8; choices begin at x=104,Label must remain left of the choice region.,Inspect every Option Menu row with all values.
UI0048,gText_ButtonTypeLEqualsA,OPTION_MENU,core_ui_label,{COLOR GREEN}{SHADOW LIGHT_GREEN}L=A,pending,pilot_labels,OPTION_TRIPLE_CHOICE,FONT_NORMAL,104,208,94 group region,,1,option_button_mode,94,mapped_group_budget,high,src/strings.c,1549,first begins x=104; last right-aligned to x=198; middle position is width-derived,All three translated values must fit together inside 94 px.,Cycle all three values and inspect all selection states.
UI0049,gText_ButtonTypeLR,OPTION_MENU,core_ui_label,{COLOR GREEN}{SHADOW LIGHT_GREEN}LR,pending,pilot_labels,OPTION_TRIPLE_CHOICE,FONT_NORMAL,104,208,94 group region,,1,option_button_mode,94,mapped_group_budget,high,src/strings.c,1548,first begins x=104; last right-aligned to x=198; middle position is width-derived,All three translated values must fit together inside 94 px.,Cycle all three values and inspect all selection states.
UI0050,gText_ButtonTypeNormal,OPTION_MENU,core_ui_label,{COLOR GREEN}{SHADOW LIGHT_GREEN}NORMAL,pending,pilot_labels,OPTION_TRIPLE_CHOICE,FONT_NORMAL,104,208,94 group region,,1,option_button_mode,94,mapped_group_budget,high,src/strings.c,1547,first begins x=104; last right-aligned to x=198; middle position is width-derived,All three translated values must fit together inside 94 px.,Cycle all three values and inspect all selection states.
UI0078,gText_ConfirmSave,START_SAVE,core_ui_prompt,Would you like to save the game?,pending,pilot_prompts,STANDARD_MESSAGE_BOX,FONT_NORMAL,0,216,216,216,2 visible lines,,,mapped_exact_geometry,high,data/text/save.inc,2,"sStandardTextBox_WindowTemplates width=27; printer x=0, y=1",Control codes may paginate or scroll.,Trigger each prompt and inspect every page.
UI0082,gText_ContinueMenuBadges,MAIN_MENU,core_ui_label,BADGES,pending,pilot_labels,MAIN_MENU_SAVE_BADGES,FONT_NORMAL,108,208,100,,1,,,mapped_dynamic_pair,high,src/strings.c,1410,label x=108; one-digit badge count right-aligned to x=208,Must not collide with the badge count ending at x=208.,Load a save and inspect badge counts 0 and 8.
UI0083,gText_ContinueMenuPlayer,MAIN_MENU,core_ui_label,PLAYER,pending,pilot_labels,MAIN_MENU_SAVE_PLAYER,FONT_NORMAL,0,208,100,,1,,,mapped_dynamic_pair,high,src/strings.c,1407,label x=0; player name right-aligned to x=100,Must not collide with maximum-width player name ending at x=100.,Load a save with a maximum-length player name.
UI0084,gText_ContinueMenuPokedex,MAIN_MENU,core_ui_label,POKéDEX,pending,pilot_labels,MAIN_MENU_SAVE_POKEDEX,FONT_NORMAL,0,208,100,,1,,,mapped_dynamic_pair,high,src/strings.c,1409,label x=0; count right-aligned to x=100,Must not collide with a 3-digit caught count ending at x=100.,Load a save with Pokédex enabled and a 3-digit caught count.
UI0085,gText_ContinueMenuTime,MAIN_MENU,core_ui_label,TIME,pending,pilot_labels,MAIN_MENU_SAVE_TIME,FONT_NORMAL,108,208,100,,1,,,mapped_dynamic_pair,high,src/strings.c,1408,label x=108; play time right-aligned to x=208,Must not collide with HHH:MM ending at x=208.,Load a save with a 3-digit hour value.
UI0090,gText_DefaultNameAllie,MAIN_MENU,core_ui_label,ALLIE,pending,defer_input_architecture,PRESET_PLAYER_NAME,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,,,deferred_input_architecture,high,src/strings.c,90,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,Preset names depend on Thai input/storage architecture.,"Test selection, save/load, naming screen, trainer card, and link display."
UI0091,gText_DefaultNameAubree,MAIN_MENU,core_ui_label,AUBREE,pending,defer_input_architecture,PRESET_PLAYER_NAME,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,,,deferred_input_architecture,high,src/strings.c,95,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,Preset names depend on Thai input/storage architecture.,"Test selection, save/load, naming screen, trainer card, and link display."
UI0092,gText_DefaultNameBella,MAIN_MENU,core_ui_label,BELLA,pending,defer_input_architecture,PRESET_PLAYER_NAME,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,,,deferred_input_architecture,high,src/strings.c,88,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,Preset names depend on Thai input/storage architecture.,"Test selection, save/load, naming screen, trainer card, and link display."
UI0093,gText_DefaultNameBrett,MAIN_MENU,core_ui_label,BRETT,pending,defer_input_architecture,PRESET_PLAYER_NAME,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,,,deferred_input_architecture,high,src/strings.c,77,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,Preset names depend on Thai input/storage architecture.,"Test selection, save/load, naming screen, trainer card, and link display."
UI0094,gText_DefaultNameCamila,MAIN_MENU,core_ui_label,CAMILA,pending,defer_input_architecture,PRESET_PLAYER_NAME,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,,,deferred_input_architecture,high,src/strings.c,94,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,Preset names depend on Thai input/storage architecture.,"Test selection, save/load, naming screen, trainer card, and link display."
UI0095,gText_DefaultNameCasey,MAIN_MENU,core_ui_label,CASEY,pending,defer_input_architecture,PRESET_PLAYER_NAME,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,,,deferred_input_architecture,high,src/strings.c,80,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,Preset names depend on Thai input/storage architecture.,"Test selection, save/load, naming screen, trainer card, and link display."
UI0096,gText_DefaultNameCollin,MAIN_MENU,core_ui_label,COLLIN,pending,defer_input_architecture,PRESET_PLAYER_NAME,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,,,deferred_input_architecture,high,src/strings.c,83,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,Preset names depend on Thai input/storage architecture.,"Test selection, save/load, naming screen, trainer card, and link display."
UI0097,gText_DefaultNameDarren,MAIN_MENU,core_ui_label,DARREN,pending,defer_input_architecture,PRESET_PLAYER_NAME,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,,,deferred_input_architecture,high,src/strings.c,81,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,Preset names depend on Thai input/storage architecture.,"Test selection, save/load, naming screen, trainer card, and link display."
UI0098,gText_DefaultNameEaston,MAIN_MENU,core_ui_label,EASTON,pending,defer_input_architecture,PRESET_PLAYER_NAME,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,,,deferred_input_architecture,high,src/strings.c,73,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,Preset names depend on Thai input/storage architecture.,"Test selection, save/load, naming screen, trainer card, and link display."
UI0099,gText_DefaultNameHalie,MAIN_MENU,core_ui_label,HALIE,pending,defer_input_architecture,PRESET_PLAYER_NAME,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,,,deferred_input_architecture,high,src/strings.c,105,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,Preset names depend on Thai input/storage architecture.,"Test selection, save/load, naming screen, trainer card, and link display."
UI0100,gText_DefaultNameHazel,MAIN_MENU,core_ui_label,HAZEL,pending,defer_input_architecture,PRESET_PLAYER_NAME,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,,,deferred_input_architecture,high,src/strings.c,97,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,Preset names depend on Thai input/storage architecture.,"Test selection, save/load, naming screen, trainer card, and link display."
UI0101,gText_DefaultNameJaxson,MAIN_MENU,core_ui_label,JAXSON,pending,defer_input_architecture,PRESET_PLAYER_NAME,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,,,deferred_input_architecture,high,src/strings.c,72,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,Preset names depend on Thai input/storage architecture.,"Test selection, save/load, naming screen, trainer card, and link display."
UI0102,gText_DefaultNameJayla,MAIN_MENU,core_ui_label,JAYLA,pending,defer_input_architecture,PRESET_PLAYER_NAME,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,,,deferred_input_architecture,high,src/strings.c,89,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,Preset names depend on Thai input/storage architecture.,"Test selection, save/load, naming screen, trainer card, and link display."
UI0103,gText_DefaultNameJohnny,MAIN_MENU,core_ui_label,JOHNNY,pending,defer_input_architecture,PRESET_PLAYER_NAME,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,,,deferred_input_architecture,high,src/strings.c,76,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,Preset names depend on Thai input/storage architecture.,"Test selection, save/load, naming screen, trainer card, and link display."
UI0104,gText_DefaultNameJude,MAIN_MENU,core_ui_label,JUDE,pending,defer_input_architecture,PRESET_PLAYER_NAME,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,,,deferred_input_architecture,high,src/strings.c,71,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,Preset names depend on Thai input/storage architecture.,"Test selection, save/load, naming screen, trainer card, and link display."
UI0105,gText_DefaultNameKenny,MAIN_MENU,core_ui_label,KENNY,pending,defer_input_architecture,PRESET_PLAYER_NAME,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,,,deferred_input_architecture,high,src/strings.c,69,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,Preset names depend on Thai input/storage architecture.,"Test selection, save/load, naming screen, trainer card, and link display."
UI0106,gText_DefaultNameKimmy,MAIN_MENU,core_ui_label,KIMMY,pending,defer_input_architecture,PRESET_PLAYER_NAME,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,,,deferred_input_architecture,high,src/strings.c,86,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,Preset names depend on Thai input/storage architecture.,"Test selection, save/load, naming screen, trainer card, and link display."
UI0107,gText_DefaultNameLandon,MAIN_MENU,core_ui_label,LANDON,pending,defer_input_architecture,PRESET_PLAYER_NAME,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,,,deferred_input_architecture,high,src/strings.c,82,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,Preset names depend on Thai input/storage architecture.,"Test selection, save/load, naming screen, trainer card, and link display."
UI0108,gText_DefaultNameLianna,MAIN_MENU,core_ui_label,LIANNA,pending,defer_input_architecture,PRESET_PLAYER_NAME,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,,,deferred_input_architecture,high,src/strings.c,91,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,Preset names depend on Thai input/storage architecture.,"Test selection, save/load, naming screen, trainer card, and link display."
UI0109,gText_DefaultNameLillie,MAIN_MENU,core_ui_label,LILLIE,pending,defer_input_architecture,PRESET_PLAYER_NAME,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,,,deferred_input_architecture,high,src/strings.c,102,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,Preset names depend on Thai input/storage architecture.,"Test selection, save/load, naming screen, trainer card, and link display."
UI0110,gText_DefaultNameLucy,MAIN_MENU,core_ui_label,LUCY,pending,defer_input_architecture,PRESET_PLAYER_NAME,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,,,deferred_input_architecture,high,src/strings.c,104,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,Preset names depend on Thai input/storage architecture.,"Test selection, save/load, naming screen, trainer card, and link display."
UI0111,gText_DefaultNameMilton,MAIN_MENU,core_ui_label,MILTON,pending,defer_input_architecture,PRESET_PLAYER_NAME,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,,,deferred_input_architecture,high,src/strings.c,67,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,Preset names depend on Thai input/storage architecture.,"Test selection, save/load, naming screen, trainer card, and link display."
UI0112,gText_DefaultNameMonica,MAIN_MENU,core_ui_label,MONICA,pending,defer_input_architecture,PRESET_PLAYER_NAME,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,,,deferred_input_architecture,high,src/strings.c,93,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,Preset names depend on Thai input/storage architecture.,"Test selection, save/load, naming screen, trainer card, and link display."
UI0113,gText_DefaultNameNadine,MAIN_MENU,core_ui_label,NADINE,pending,defer_input_architecture,PRESET_PLAYER_NAME,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,,,deferred_input_architecture,high,src/strings.c,98,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,Preset names depend on Thai input/storage architecture.,"Test selection, save/load, naming screen, trainer card, and link display."
UI0114,gText_DefaultNameNicola,MAIN_MENU,core_ui_label,NICOLA,pending,defer_input_architecture,PRESET_PLAYER_NAME,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,,,deferred_input_architecture,high,src/strings.c,101,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,Preset names depend on Thai input/storage architecture.,"Test selection, save/load, naming screen, trainer card, and link display."
UI0115,gText_DefaultNameQuincy,MAIN_MENU,core_ui_label,QUINCY,pending,defer_input_architecture,PRESET_PLAYER_NAME,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,,,deferred_input_architecture,high,src/strings.c,85,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,Preset names depend on Thai input/storage architecture.,"Test selection, save/load, naming screen, trainer card, and link display."
UI0116,gText_DefaultNameReid,MAIN_MENU,core_ui_label,REID,pending,defer_input_architecture,PRESET_PLAYER_NAME,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,,,deferred_input_architecture,high,src/strings.c,70,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,Preset names depend on Thai input/storage architecture.,"Test selection, save/load, naming screen, trainer card, and link display."
UI0117,gText_DefaultNameRuthie,MAIN_MENU,core_ui_label,RUTHIE,pending,defer_input_architecture,PRESET_PLAYER_NAME,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,,,deferred_input_architecture,high,src/strings.c,96,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,Preset names depend on Thai input/storage architecture.,"Test selection, save/load, naming screen, trainer card, and link display."
UI0118,gText_DefaultNameSara,MAIN_MENU,core_ui_label,SARA,pending,defer_input_architecture,PRESET_PLAYER_NAME,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,,,deferred_input_architecture,high,src/strings.c,92,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,Preset names depend on Thai input/storage architecture.,"Test selection, save/load, naming screen, trainer card, and link display."
UI0119,gText_DefaultNameSeth,MAIN_MENU,core_ui_label,SETH,pending,defer_input_architecture,PRESET_PLAYER_NAME,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,,,deferred_input_architecture,high,src/strings.c,78,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,Preset names depend on Thai input/storage architecture.,"Test selection, save/load, naming screen, trainer card, and link display."
UI0120,gText_DefaultNameStanley,MAIN_MENU,core_ui_label,STANLEY,pending,defer_input_architecture,PRESET_PLAYER_NAME,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,,,deferred_input_architecture,high,src/strings.c,84,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,Preset names depend on Thai input/storage architecture.,"Test selection, save/load, naming screen, trainer card, and link display."
UI0121,gText_DefaultNameStu,MAIN_MENU,core_ui_label,STU,pending,defer_input_architecture,PRESET_PLAYER_NAME,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,,,deferred_input_architecture,high,src/strings.c,66,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,Preset names depend on Thai input/storage architecture.,"Test selection, save/load, naming screen, trainer card, and link display."
UI0122,gText_DefaultNameTanja,MAIN_MENU,core_ui_label,TANJA,pending,defer_input_architecture,PRESET_PLAYER_NAME,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,,,deferred_input_architecture,high,src/strings.c,99,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,Preset names depend on Thai input/storage architecture.,"Test selection, save/load, naming screen, trainer card, and link display."
UI0123,gText_DefaultNameTerra,MAIN_MENU,core_ui_label,TERRA,pending,defer_input_architecture,PRESET_PLAYER_NAME,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,,,deferred_input_architecture,high,src/strings.c,103,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,Preset names depend on Thai input/storage architecture.,"Test selection, save/load, naming screen, trainer card, and link display."
UI0124,gText_DefaultNameTerry,MAIN_MENU,core_ui_label,TERRY,pending,defer_input_architecture,PRESET_PLAYER_NAME,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,,,deferred_input_architecture,high,src/strings.c,79,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,Preset names depend on Thai input/storage architecture.,"Test selection, save/load, naming screen, trainer card, and link display."
UI0125,gText_DefaultNameTeru,MAIN_MENU,core_ui_label,TERU,pending,defer_input_architecture,PRESET_PLAYER_NAME,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,,,deferred_input_architecture,high,src/strings.c,75,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,Preset names depend on Thai input/storage architecture.,"Test selection, save/load, naming screen, trainer card, and link display."
UI0126,gText_DefaultNameTiara,MAIN_MENU,core_ui_label,TIARA,pending,defer_input_architecture,PRESET_PLAYER_NAME,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,,,deferred_input_architecture,high,src/strings.c,87,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,Preset names depend on Thai input/storage architecture.,"Test selection, save/load, naming screen, trainer card, and link display."
UI0127,gText_DefaultNameTom,MAIN_MENU,core_ui_label,TOM,pending,defer_input_architecture,PRESET_PLAYER_NAME,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,,,deferred_input_architecture,high,src/strings.c,68,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,Preset names depend on Thai input/storage architecture.,"Test selection, save/load, naming screen, trainer card, and link display."
UI0128,gText_DefaultNameWalker,MAIN_MENU,core_ui_label,WALKER,pending,defer_input_architecture,PRESET_PLAYER_NAME,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,,,deferred_input_architecture,high,src/strings.c,74,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,Preset names depend on Thai input/storage architecture.,"Test selection, save/load, naming screen, trainer card, and link display."
UI0129,gText_DefaultNameYasmin,MAIN_MENU,core_ui_label,YASMIN,pending,defer_input_architecture,PRESET_PLAYER_NAME,not_directly_rendered,,,7 encoded glyph bytes,7 encoded glyph bytes,1,,,deferred_input_architecture,high,src/strings.c,100,NewGameBirchSpeech_SetDefaultPlayerName copies PLAYER_NAME_LENGTH bytes,Preset names depend on Thai input/storage architecture.,"Test selection, save/load, naming screen, trainer card, and link display."
UI0175,gText_DifferentSaveFile,START_SAVE,system_message,"WARNING!\pThere is a different game file that
is already saved.\pIf you save now, the other file's
adventure, including items and\lPOKéMON, will be entirely lost.\pAre you sure you want to save now
and overwrite the other save file?",pending,pilot_prompts,STANDARD_MESSAGE_BOX,FONT_NORMAL,0,216,216,216,2 visible lines,,,mapped_exact_geometry,high,data/text/save.inc,16,"sStandardTextBox_WindowTemplates width=27; printer x=0, y=1",Control codes may paginate or scroll.,Trigger each prompt and inspect every page.
UI0201,gText_Floor1,START_SAVE,core_ui_label,Floor 1,pending,pilot_labels,PYRAMID_FLOOR,FONT_NORMAL,0,80,80,80,2 lines,,,mapped_exact_geometry,high,src/strings.c,1575,sWindowTemplate_PyramidFloor width=10; text x=0,"Peak variant is wider, but 80 px is the shared safe limit.",Inspect floors 1-7 and Peak.
