ui_area,source_file,source_line,template_symbol,entry,bg_expr,tilemap_left_expr,tilemap_top_expr,width_expr,height_expr,width_tiles_resolved,height_tiles_resolved,outer_width_px,palette_expr,base_block_expr,constraint_status
MAIN_MENU,src/main_menu.c,291,sWindowTemplates_MainMenu,0,0,MENU_LEFT,MENU_TOP_WIN0,MENU_WIDTH,MENU_HEIGHT_WIN0,26,2,208,15,1,outer_window_only_pending_text_padding_mapping
MAIN_MENU,src/main_menu.c,301,sWindowTemplates_MainMenu,1,0,MENU_LEFT,MENU_TOP_WIN1,MENU_WIDTH,MENU_HEIGHT_WIN1,26,2,208,15,0x35,outer_window_only_pending_text_padding_mapping
MAIN_MENU,src/main_menu.c,312,sWindowTemplates_MainMenu,2,0,MENU_LEFT,MENU_TOP_WIN2,MENU_WIDTH,MENU_HEIGHT_WIN2,26,6,208,15,1,outer_window_only_pending_text_padding_mapping
MAIN_MENU,src/main_menu.c,322,sWindowTemplates_MainMenu,3,0,MENU_LEFT,MENU_TOP_WIN3,MENU_WIDTH,MENU_HEIGHT_WIN3,26,2,208,15,0x9D,outer_window_only_pending_text_padding_mapping
MAIN_MENU,src/main_menu.c,332,sWindowTemplates_MainMenu,4,0,MENU_LEFT,MENU_TOP_WIN4,MENU_WIDTH,MENU_HEIGHT_WIN4,26,2,208,15,0xD1,outer_window_only_pending_text_padding_mapping
MAIN_MENU,src/main_menu.c,342,sWindowTemplates_MainMenu,5,0,MENU_LEFT,MENU_TOP_WIN5,MENU_WIDTH,MENU_HEIGHT_WIN5,26,2,208,15,0x105,outer_window_only_pending_text_padding_mapping
MAIN_MENU,src/main_menu.c,352,sWindowTemplates_MainMenu,6,0,MENU_LEFT,MENU_TOP_WIN6,MENU_WIDTH,MENU_HEIGHT_WIN6,26,2,208,15,0x139,outer_window_only_pending_text_padding_mapping
MAIN_MENU,src/main_menu.c,362,sWindowTemplates_MainMenu,7,0,MENU_LEFT_ERROR,MENU_TOP_ERROR,MENU_WIDTH_ERROR,MENU_HEIGHT_ERROR,26,4,208,15,0x16D,outer_window_only_pending_text_padding_mapping
MAIN_MENU,src/main_menu.c,376,sNewGameBirchSpeechTextWindows,0,0,2,15,27,4,27,4,216,15,1,outer_window_only_pending_text_padding_mapping
MAIN_MENU,src/main_menu.c,385,sNewGameBirchSpeechTextWindows,1,0,3,5,6,4,6,4,48,15,0x6D,outer_window_only_pending_text_padding_mapping
MAIN_MENU,src/main_menu.c,394,sNewGameBirchSpeechTextWindows,2,0,3,2,9,10,9,10,72,15,0x85,outer_window_only_pending_text_padding_mapping
OPTION_MENU,src/option_menu.c,92,sOptionMenuWinTemplates,WIN_HEADER,1,2,1,26,2,26,2,208,1,2,outer_window_only_pending_text_padding_mapping
OPTION_MENU,src/option_menu.c,101,sOptionMenuWinTemplates,WIN_OPTIONS,0,2,5,26,14,26,14,208,1,0x36,outer_window_only_pending_text_padding_mapping
PC_STORAGE,src/player_pc.c,241,sWindowTemplates_MainMenus,WIN_MAIN_MENU,0,1,1,9,6,9,6,72,15,1,outer_window_only_pending_text_padding_mapping
PC_STORAGE,src/player_pc.c,250,sWindowTemplates_MainMenus,WIN_MAIN_MENU_BEDROOM,0,1,1,9,8,9,8,72,15,1,outer_window_only_pending_text_padding_mapping
PC_STORAGE,src/player_pc.c,259,sWindowTemplates_MainMenus,WIN_ITEM_STORAGE_MENU,0,1,1,10,8,10,8,80,15,1,outer_window_only_pending_text_padding_mapping
PC_STORAGE,src/pokemon_storage_system.c,891,sWindowTemplate_MainMenu,single,0,1,1,17,10,17,10,136,15,0x1,outer_window_only_pending_text_padding_mapping
PC_STORAGE,src/pokemon_storage_system.c,973,sWindowTemplates,WIN_DISPLAY_INFO,1,0,11,9,7,9,7,72,3,0xC0,outer_window_only_pending_text_padding_mapping
PC_STORAGE,src/pokemon_storage_system.c,982,sWindowTemplates,WIN_MESSAGE,0,11,17,18,2,18,2,144,15,0x14,outer_window_only_pending_text_padding_mapping
PC_STORAGE,src/pokemon_storage_system.c,991,sWindowTemplates,WIN_ITEM_DESC,0,0,13,21,7,21,7,168,15,0x14,outer_window_only_pending_text_padding_mapping
PC_STORAGE,src/pokemon_storage_system.c,1100,sYesNoWindowTemplate,single,0,24,11,5,4,5,4,40,15,0x5C,outer_window_only_pending_text_padding_mapping
PC_STORAGE,src/pokemon_storage_system.c,8078,sWindowTemplate_MultiMove,single,0,10,3,20,18,20,18,160,9,0xA,outer_window_only_pending_text_padding_mapping
POKEDEX,src/pokedex.c,835,sPokemonList_WindowTemplate,0,2,0,0,32,32,32,32,256,0,1,outer_window_only_pending_text_padding_mapping
POKEDEX,src/pokedex.c,901,sInfoScreen_WindowTemplates,WIN_INFO,2,0,0,32,20,32,20,256,0,1,outer_window_only_pending_text_padding_mapping
POKEDEX,src/pokedex.c,911,sInfoScreen_WindowTemplates,WIN_FOOTPRINT,2,25,8,2,2,2,2,16,15,641,outer_window_only_pending_text_padding_mapping
POKEDEX,src/pokedex.c,921,sInfoScreen_WindowTemplates,WIN_CRY_WAVE,0,0,12,32,7,32,7,256,8,645,outer_window_only_pending_text_padding_mapping
POKEDEX,src/pokedex.c,931,sInfoScreen_WindowTemplates,WIN_VU_METER,2,18,3,10,8,10,8,80,9,869,outer_window_only_pending_text_padding_mapping
POKEDEX,src/pokedex.c,968,sNewEntryInfoScreen_WindowTemplates,WIN_INFO,2,0,0,32,20,32,20,256,0,1,outer_window_only_pending_text_padding_mapping
POKEDEX,src/pokedex.c,978,sNewEntryInfoScreen_WindowTemplates,WIN_FOOTPRINT,2,25,8,2,2,2,2,16,15,641,outer_window_only_pending_text_padding_mapping
POKEDEX,src/pokedex.c,1489,sSearchMenu_WindowTemplate,0,2,0,0,32,20,32,20,256,0,0x0001,outer_window_only_pending_text_padding_mapping
POKENAV,src/pokenav_conditions_search_results.c,117,sSearchResultListMenuWindowTemplate,single,1,1,6,7,2,7,2,56,1,20,outer_window_only_pending_text_padding_mapping
POKENAV,src/pokenav_main_menu.c,75,sHelpBarWindowTemplate,0,0,1,22,16,2,16,2,128,0,0x36,outer_window_only_pending_text_padding_mapping
POKENAV,src/pokenav_match_call_gfx.c,178,sMatchCallLocationWindowTemplate,single,2,0,5,11,2,11,2,88,2,16,outer_window_only_pending_text_padding_mapping
POKENAV,src/pokenav_match_call_gfx.c,189,sMatchCallInfoBoxWindowTemplate,single,2,0,9,11,8,11,8,88,2,38,outer_window_only_pending_text_padding_mapping
POKENAV,src/pokenav_match_call_gfx.c,210,sCallMsgBoxWindowTemplate,single,1,1,12,28,4,28,4,224,1,10,outer_window_only_pending_text_padding_mapping
POKENAV,src/pokenav_region_map.c,136,sMapSecInfoWindowTemplate,single,1,17,4,12,13,12,13,96,1,0x4C,outer_window_only_pending_text_padding_mapping
POKENAV,src/pokenav_ribbons_list.c,112,sRibbonsMonListWindowTemplate,single,1,1,6,7,2,7,2,56,1,20,outer_window_only_pending_text_padding_mapping
POKENAV,src/pokenav_ribbons_summary.c,786,sRibbonCountWindowTemplate,single,2,12,13,16,4,16,4,128,1,0x14,outer_window_only_pending_text_padding_mapping
POKENAV,src/pokenav_ribbons_summary.c,850,sRibbonSummaryMonNameWindowTemplate,single,2,14,1,13,2,13,2,104,10,0x54,outer_window_only_pending_text_padding_mapping
POKENAV,src/pokenav_ribbons_summary.c,906,sRibbonMonListIndexWindowTemplate,0,2,1,5,7,2,7,2,56,1,0x6E,outer_window_only_pending_text_padding_mapping
SHOP,src/shop.c,180,sShopMenuWindowTemplates,WIN_BUY_SELL_QUIT,0,2,1,9,6,9,6,72,15,0x0008,outer_window_only_pending_text_padding_mapping
SHOP,src/shop.c,190,sShopMenuWindowTemplates,WIN_BUY_QUIT,0,2,1,9,4,9,4,72,15,0x0008,outer_window_only_pending_text_padding_mapping
SHOP,src/shop.c,265,sShopBuyMenuWindowTemplates,WIN_MONEY,0,1,1,10,2,10,2,80,15,0x001E,outer_window_only_pending_text_padding_mapping
SHOP,src/shop.c,274,sShopBuyMenuWindowTemplates,WIN_ITEM_LIST,0,14,2,15,16,15,16,120,15,0x0032,outer_window_only_pending_text_padding_mapping
SHOP,src/shop.c,283,sShopBuyMenuWindowTemplates,WIN_ITEM_DESCRIPTION,0,0,13,14,6,14,6,112,15,0x0122,outer_window_only_pending_text_padding_mapping
SHOP,src/shop.c,292,sShopBuyMenuWindowTemplates,WIN_QUANTITY_IN_BAG,0,1,11,12,2,12,2,96,15,0x0176,outer_window_only_pending_text_padding_mapping
SHOP,src/shop.c,301,sShopBuyMenuWindowTemplates,WIN_QUANTITY_PRICE,0,18,11,10,2,10,2,80,15,0x018E,outer_window_only_pending_text_padding_mapping
SHOP,src/shop.c,310,sShopBuyMenuWindowTemplates,WIN_MESSAGE,0,2,15,27,4,27,4,216,15,0x01A2,outer_window_only_pending_text_padding_mapping
SHOP,src/shop.c,322,sShopBuyMenuYesNoWindowTemplates,single,0,21,9,5,4,5,4,40,15,0x020E,outer_window_only_pending_text_padding_mapping
START_SAVE,src/start_menu.c,140,sWindowTemplate_SafariBalls,single,0,1,1,9,4,9,4,72,15,0x8,outer_window_only_pending_text_padding_mapping
START_SAVE,src/start_menu.c,162,sWindowTemplate_PyramidFloor,single,0,1,1,10,4,10,4,80,15,0x8,outer_window_only_pending_text_padding_mapping
START_SAVE,src/start_menu.c,172,sWindowTemplate_PyramidPeak,single,0,1,1,12,4,12,4,96,15,0x8,outer_window_only_pending_text_padding_mapping
START_SAVE,src/start_menu.c,214,sWindowTemplates_LinkBattleSave,0,0,2,15,26,4,26,4,208,15,0x194,outer_window_only_pending_text_padding_mapping
START_SAVE,src/start_menu.c,226,sSaveInfoWindowTemplate,single,0,1,1,14,10,14,10,112,15,8,outer_window_only_pending_text_padding_mapping
SUMMARY,src/pokemon_summary_screen.c,409,sSummaryTemplate,PSS_LABEL_WINDOW_POKEMON_INFO_TITLE,0,0,0,11,2,11,2,88,6,1,outer_window_only_pending_text_padding_mapping
SUMMARY,src/pokemon_summary_screen.c,418,sSummaryTemplate,PSS_LABEL_WINDOW_POKEMON_SKILLS_TITLE,0,0,0,11,2,11,2,88,6,23,outer_window_only_pending_text_padding_mapping
SUMMARY,src/pokemon_summary_screen.c,427,sSummaryTemplate,PSS_LABEL_WINDOW_BATTLE_MOVES_TITLE,0,0,0,11,2,11,2,88,6,45,outer_window_only_pending_text_padding_mapping
SUMMARY,src/pokemon_summary_screen.c,436,sSummaryTemplate,PSS_LABEL_WINDOW_CONTEST_MOVES_TITLE,0,0,0,11,2,11,2,88,6,67,outer_window_only_pending_text_padding_mapping
SUMMARY,src/pokemon_summary_screen.c,445,sSummaryTemplate,PSS_LABEL_WINDOW_PROMPT_CANCEL,0,22,0,8,2,8,2,64,7,89,outer_window_only_pending_text_padding_mapping
SUMMARY,src/pokemon_summary_screen.c,454,sSummaryTemplate,PSS_LABEL_WINDOW_PROMPT_INFO,0,22,0,8,2,8,2,64,7,105,outer_window_only_pending_text_padding_mapping
SUMMARY,src/pokemon_summary_screen.c,463,sSummaryTemplate,PSS_LABEL_WINDOW_PROMPT_SWITCH,0,22,0,8,2,8,2,64,7,121,outer_window_only_pending_text_padding_mapping
SUMMARY,src/pokemon_summary_screen.c,472,sSummaryTemplate,PSS_LABEL_WINDOW_UNUSED1,0,11,4,0,2,0,2,0,6,137,outer_window_only_pending_text_padding_mapping
SUMMARY,src/pokemon_summary_screen.c,481,sSummaryTemplate,PSS_LABEL_WINDOW_POKEMON_INFO_RENTAL,0,11,4,18,2,18,2,144,6,137,outer_window_only_pending_text_padding_mapping
SUMMARY,src/pokemon_summary_screen.c,490,sSummaryTemplate,PSS_LABEL_WINDOW_POKEMON_INFO_TYPE,0,11,6,18,2,18,2,144,6,173,outer_window_only_pending_text_padding_mapping
SUMMARY,src/pokemon_summary_screen.c,499,sSummaryTemplate,PSS_LABEL_WINDOW_POKEMON_SKILLS_STATS_LEFT,0,10,7,6,6,6,6,48,6,209,outer_window_only_pending_text_padding_mapping
SUMMARY,src/pokemon_summary_screen.c,508,sSummaryTemplate,PSS_LABEL_WINDOW_POKEMON_SKILLS_STATS_RIGHT,0,22,7,5,6,5,6,40,6,245,outer_window_only_pending_text_padding_mapping
SUMMARY,src/pokemon_summary_screen.c,517,sSummaryTemplate,PSS_LABEL_WINDOW_POKEMON_SKILLS_EXP,0,10,14,11,4,11,4,88,6,275,outer_window_only_pending_text_padding_mapping
SUMMARY,src/pokemon_summary_screen.c,526,sSummaryTemplate,PSS_LABEL_WINDOW_POKEMON_SKILLS_STATUS,0,0,18,6,2,6,2,48,6,319,outer_window_only_pending_text_padding_mapping
SUMMARY,src/pokemon_summary_screen.c,535,sSummaryTemplate,PSS_LABEL_WINDOW_MOVES_POWER_ACC,0,1,15,9,4,9,4,72,6,331,outer_window_only_pending_text_padding_mapping
SUMMARY,src/pokemon_summary_screen.c,544,sSummaryTemplate,PSS_LABEL_WINDOW_MOVES_APPEAL_JAM,0,1,15,5,4,5,4,40,6,367,outer_window_only_pending_text_padding_mapping
SUMMARY,src/pokemon_summary_screen.c,553,sSummaryTemplate,PSS_LABEL_WINDOW_UNUSED2,0,22,4,0,2,0,2,0,6,387,outer_window_only_pending_text_padding_mapping
SUMMARY,src/pokemon_summary_screen.c,562,sSummaryTemplate,PSS_LABEL_WINDOW_PORTRAIT_DEX_NUMBER,0,1,2,4,2,4,2,32,7,387,outer_window_only_pending_text_padding_mapping
SUMMARY,src/pokemon_summary_screen.c,571,sSummaryTemplate,PSS_LABEL_WINDOW_PORTRAIT_NICKNAME,0,1,12,9,2,9,2,72,6,395,outer_window_only_pending_text_padding_mapping
SUMMARY,src/pokemon_summary_screen.c,580,sSummaryTemplate,PSS_LABEL_WINDOW_PORTRAIT_SPECIES,0,1,14,9,4,9,4,72,6,413,outer_window_only_pending_text_padding_mapping
SUMMARY,src/pokemon_summary_screen.c,593,sPageInfoTemplate,PSS_DATA_WINDOW_INFO_ORIGINAL_TRAINER,0,11,4,11,2,11,2,88,6,449,outer_window_only_pending_text_padding_mapping
SUMMARY,src/pokemon_summary_screen.c,602,sPageInfoTemplate,PSS_DATA_WINDOW_INFO_ID,0,22,4,7,2,7,2,56,6,471,outer_window_only_pending_text_padding_mapping
SUMMARY,src/pokemon_summary_screen.c,611,sPageInfoTemplate,PSS_DATA_WINDOW_INFO_ABILITY,0,11,9,18,4,18,4,144,6,485,outer_window_only_pending_text_padding_mapping
SUMMARY,src/pokemon_summary_screen.c,620,sPageInfoTemplate,PSS_DATA_WINDOW_INFO_MEMO,0,11,14,18,6,18,6,144,6,557,outer_window_only_pending_text_padding_mapping
SUMMARY,src/pokemon_summary_screen.c,632,sPageSkillsTemplate,PSS_DATA_WINDOW_SKILLS_HELD_ITEM,0,10,4,10,2,10,2,80,6,449,outer_window_only_pending_text_padding_mapping
SUMMARY,src/pokemon_summary_screen.c,641,sPageSkillsTemplate,PSS_DATA_WINDOW_SKILLS_RIBBON_COUNT,0,20,4,10,2,10,2,80,6,469,outer_window_only_pending_text_padding_mapping
SUMMARY,src/pokemon_summary_screen.c,650,sPageSkillsTemplate,PSS_DATA_WINDOW_SKILLS_STATS_LEFT,0,16,7,6,6,6,6,48,6,489,outer_window_only_pending_text_padding_mapping
SUMMARY,src/pokemon_summary_screen.c,659,sPageSkillsTemplate,PSS_DATA_WINDOW_SKILLS_STATS_RIGHT,0,27,7,3,6,3,6,24,6,525,outer_window_only_pending_text_padding_mapping
SUMMARY,src/pokemon_summary_screen.c,668,sPageSkillsTemplate,PSS_DATA_WINDOW_EXP,0,24,14,6,4,6,4,48,6,543,outer_window_only_pending_text_padding_mapping
