duplicate_group,english_raw,occurrence_count,source_labels,source_files
dup_00018,A mysterious BERRY. It is rumored to,4,sBerryDescriptionPart1_Liechi | sBerryDescriptionPart1_Ganlon | sBerryDescriptionPart1_Salac | sBerryDescriptionPart1_Petaya,src/berry.c | src/berry.c | src/berry.c | src/berry.c
dup_00019,A small fence that\nblocks passage.,2,DecorDesc_FENCE_LENGTH | DecorDesc_FENCE_WIDTH,src/data/decoration/description.h | src/data/decoration/description.h
dup_00020,ABANDONED SHIP,2,sMapName_ABANDONED_SHIP | LandmarkName_AbandonedShip,src/data/region_map/region_map_entries.h | src/landmark.c
dup_00021,ABIGAIL,5,trainerName | trainerName | trainerName | trainerName | trainerName,src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h
dup_00022,ABSOL,3,nickname | nickname | inline_378,src/data/battle_frontier/trainer_hill.h | src/data/battle_frontier/trainer_hill.h | src/data/text/species_names.h
dup_00023,ACCEPT,2,gEasyChatWord_Accept | gText_Accept,src/data/easy_chat/easy_chat_group_battle.h | src/strings.c
dup_00024,AIR LOCK,2,gEasyChatWord_AirLock | inline_159,src/data/easy_chat/easy_chat_group_status.h | src/data/text/abilities.h
dup_00025,ALAKAZAM,4,nickname | nickname | nickname | inline_67,src/data/battle_frontier/trainer_hill.h | src/data/battle_frontier/trainer_hill.h | src/data/battle_frontier/trainer_hill.h | src/data/text/species_names.h
dup_00026,ALTARIA,3,nickname | nickname | inline_361,src/data/battle_frontier/trainer_hill.h | src/data/battle_frontier/trainer_hill.h | src/data/text/species_names.h
dup_00027,ALTERING CAVE,2,sMapName_ALTERING_CAVE | LandmarkName_AlteringCave,src/data/region_map/region_map_entries.h | src/landmark.c
dup_00028,AMELIE,2,inline_332 | inline_348,src/data/battle_frontier/apprentice.h | src/data/battle_frontier/apprentice.h
dup_00029,AMPHAROS,2,nickname | inline_183,src/data/battle_frontier/trainer_hill.h | src/data/text/species_names.h
dup_00030,AMY & LIV,6,trainerName | trainerName | trainerName | trainerName | trainerName | trainerName,src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h
dup_00031,AMY: I'm AMY.\nAnd this is my little sister LIV.\lWe battle together!$,2,Route103_Text_AmyIntro | Route103_Text_AmyRematchIntro,data/text/trainers.inc | data/text/trainers.inc
dup_00032,"AMY: Uh-oh, you have only one\nPOKéMON with you.\lYou can't battle us like that.$",2,Route103_Text_AmyNotEnoughPokemon | Route103_Text_AmyRematchNotEnoughPokemon,data/text/trainers.inc | data/text/trainers.inc
dup_00033,AMY: You have to think about all\nkinds of things when you're battling\lagainst two TRAINERS.$,2,Route103_Text_AmyPostBattle | Route103_Text_AmyRematchPostBattle,data/text/trainers.inc | data/text/trainers.inc
dup_00034,ANCIENT TOMB,2,sMapName_ANCIENT_TOMB | LandmarkName_AncientTomb,src/data/region_map/region_map_entries.h | src/landmark.c
dup_00035,ANDRES,5,trainerName | trainerName | trainerName | trainerName | trainerName,src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h
dup_00036,ANNA & MEG,5,trainerName | trainerName | trainerName | trainerName | trainerName,src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h
dup_00037,"ANNA: If you want to battle us,\nbring two POKéMON with you.$",2,Route117_Text_AnnaNotEnoughMons | Route117_Text_AnnaRematchNotEnoughMons,data/text/trainers.inc | data/text/trainers.inc
dup_00038,ANNA: Your POKéMON have some good\ncombinations.\pI'd say you're second only to us!$,2,Route117_Text_AnnaPostBattle | Route117_Text_AnnaPostRematch,data/text/trainers.inc | data/text/trainers.inc
dup_00039,ANNIE,2,inline_364 | inline_364,src/data/battle_frontier/apprentice.h | src/data/battle_frontier/apprentice.h
dup_00040,APPEAL,2,gEasyChatWord_Appeal | gText_MoveRelearnerAppeal,src/data/easy_chat/easy_chat_group_events.h | src/strings.c
dup_00041,ARCHIE,2,trainerName | gText_ExpandedPlaceholder_Archie,src/data/trainers.h | src/strings.c
dup_00042,ARENA TRAP,2,gEasyChatWord_ArenaTrap | inline_153,src/data/easy_chat/easy_chat_group_status.h | src/data/text/abilities.h
dup_00043,ARM THRUST,2,categoryName | inline_295,src/data/pokemon/pokedex_entries.h | src/data/text/move_names.h
dup_00044,ARMOR,2,categoryName | categoryName,src/data/pokemon/pokedex_entries.h | src/data/pokemon/pokedex_entries.h
dup_00045,ARTICUNO,2,nickname | inline_146,src/data/battle_frontier/trainer_hill.h | src/data/text/species_names.h
dup_00046,ARTURO,3,inline_420 | inline_420 | inline_420,src/data/battle_frontier/apprentice.h | src/data/battle_frontier/apprentice.h | src/data/battle_frontier/apprentice.h
dup_00047,ATTACK,4,sText_Attack2 | sText_Attack | gEasyChatWord_Attack | gText_Attack,src/battle_message.c | src/battle_message.c | src/data/easy_chat/easy_chat_group_battle.h | src/strings.c
dup_00048,AVERY,3,trainerName | trainerName | trainerName,src/data/battle_frontier/battle_frontier_trainers.h | src/data/battle_frontier/battle_tent.h | src/data/contest_opponents.h
dup_00049,AZURILL,2,nickname | inline_352,src/data/battle_frontier/trainer_hill.h | src/data/text/species_names.h
dup_00050,"Ah, I see.\nWell, let's give it a try, shall we?$",2,RustboroCity_Flat1_2F_Text_LetsGiveItATry2 | RustboroCity_Flat1_2F_Text_LetsGiveItATry,data/maps/RustboroCity_Flat1_2F/scripts.inc | data/maps/RustboroCity_Flat1_2F/scripts.inc
dup_00051,"Ah, hello, {PLAYER}{KUN}!\nThis is {STR_VAR_1}!\lI hope you've been keeping well.\pThey say you won {STR_VAR_3} straight\nbattles at the {STR_VAR_2}.\pI admire your energy!\nBye now.$",2,MatchCall_BattleFrontierStreakText13 | MatchCall_BattleFrontierRecordStreakText13,data/text/match_call.inc | data/text/match_call.inc
dup_00052,"Ah, too bad for you!\pBut it was a good match.\nI hope you can win next time.$",2,RS_MysteryEventsHouse_Text_BattleLost | SootopolisCity_MysteryEventsHouse_1F_Text_TooBadForYou,data/maps/MossdeepCity_GameCorner_1F/scripts.inc | data/maps/SootopolisCity_MysteryEventsHouse_1F/scripts.inc
dup_00053,"Ah, well played.$",2,Route121_Text_WalterDefeat | Route121_Text_WalterRematchDefeat,data/text/trainers.inc | data/text/trainers.inc
dup_00054,"Ah, {PLAYER}{KUN}.\nThis is {STR_VAR_1}.\pI hear you're the terror of\nthe {STR_VAR_2}?\pYou won, what, {STR_VAR_3} matches in\na row?\pYou're good, you.\nI wonder how many I can win?$",2,MatchCall_BattleFrontierStreakText11 | MatchCall_BattleFrontierRecordStreakText11,data/text/match_call.inc | data/text/match_call.inc
dup_00055,"Ahhh!\n{STR_VAR_1}, you say!\lThanks for a most cool answer!\pI guess that's about all I wanted\nto ask you today.\pLet's meet here again, okay?\nThanks!$",2,gText_ApprenticeMonThanks6 | gText_ApprenticeMoveThanks6,data/text/apprentice.inc | data/text/apprentice.inc
dup_00056,Ally,3,sText_AllyPkmnPrefix | sText_AllyPkmnPrefix2 | sText_AllyPkmnPrefix3,src/battle_message.c | src/battle_message.c | src/battle_message.c
dup_00057,Anticipation swelled for\n{STR_VAR_1}'s appeal next.$,2,gText_AnticipationSwelledForMonsAppealNext2 | gText_AnticipationSwelledForMonsAppealNext,data/text/contest_strings.inc | data/text/contest_strings.inc
dup_00058,Attack in waves!,2,gText_MatchCallBugManiac_Jeffrey_Strategy | gText_MatchCallPkmnRanger_Jackson_Strategy,src/data/text/match_call_messages.h | src/data/text/match_call_messages.h
dup_00059,Avoids sound-based moves.,2,sSoundproofDescription | sCacophonyDescription,src/data/text/abilities.h | src/data/text/abilities.h
dup_00060,Awaiting a response from\nthe other TRAINER…,2,sText_AwaitingResponseFromTrainer | sText_AwaitingResponseFromTrainer2,src/data/union_room.h | src/data/union_room.h
dup_00061,BAG,3,gEasyChatWord_Bag | gText_MenuOptionBag | gPCText_Bag,src/data/easy_chat/easy_chat_group_trainer.h | src/strings.c | src/strings.c
dup_00062,BAGWORM,2,categoryName | categoryName,src/data/pokemon/pokedex_entries.h | src/data/pokemon/pokedex_entries.h
dup_00063,BALL,3,gEasyChatWord_Ball | categoryName | categoryName,src/data/easy_chat/easy_chat_group_hobbies.h | src/data/pokemon/pokedex_entries.h | src/data/pokemon/pokedex_entries.h
dup_00064,BALLOON,4,categoryName | categoryName | categoryName | categoryName,src/data/pokemon/pokedex_entries.h | src/data/pokemon/pokedex_entries.h | src/data/pokemon/pokedex_entries.h | src/data/pokemon/pokedex_entries.h
dup_00065,BALTOY,2,nickname | inline_320,src/data/battle_frontier/trainer_hill.h | src/data/text/species_names.h
dup_00066,BANETTE,3,nickname | nickname | inline_380,src/data/battle_frontier/trainer_hill.h | src/data/battle_frontier/trainer_hill.h | src/data/text/species_names.h
dup_00067,BARRIER,2,categoryName | inline_115,src/data/pokemon/pokedex_entries.h | src/data/text/move_names.h
dup_00068,BAT,3,categoryName | categoryName | categoryName,src/data/pokemon/pokedex_entries.h | src/data/pokemon/pokedex_entries.h | src/data/pokemon/pokedex_entries.h
dup_00069,BATTLE,4,gEasyChatWord_Battle | sText_Battle | gText_Battle | gEasyChatGroupName_Battle,src/data/easy_chat/easy_chat_group_battle.h | src/data/union_room.h | src/strings.c | src/strings.c
dup_00070,BATTLE ARENA,2,gText_BattleArena | gText_BattleArena2,src/strings.c | src/strings.c
dup_00071,BATTLE ARMOR,2,gEasyChatWord_BattleArmor | inline_86,src/data/easy_chat/easy_chat_group_status.h | src/data/text/abilities.h
dup_00072,BATTLE BAG,2,gText_BattleBag | gText_BattleBag2,src/strings.c | src/strings.c
dup_00073,BATTLE DOME,2,gText_BattleDome | gText_BattleDome2,src/strings.c | src/strings.c
dup_00074,BATTLE FACTORY,2,gText_BattleFactory | gText_BattleFactory2,src/strings.c | src/strings.c
dup_00075,BATTLE FRONTIER,2,sMapName_BATTLE_FRONTIER | gText_BattleFrontier,src/data/region_map/region_map_entries.h | src/strings.c
dup_00076,"BATTLE FRONTIER it is, then!$",2,LilycoveCity_Harbor_Text_BattleFrontierItIs | SlateportCity_Harbor_Text_BattleFrontierItIs,data/maps/LilycoveCity_Harbor/scripts.inc | data/maps/SlateportCity_Harbor/scripts.inc
dup_00077,BATTLE PALACE,2,gText_BattlePalace | gText_BattlePalace2,src/strings.c | src/strings.c
dup_00078,BATTLE PIKE,2,gText_BattlePike | gText_BattlePike2,src/strings.c | src/strings.c
dup_00079,BATTLE PYRAMID,2,gText_BattlePyramid | gText_BattlePyramid2,src/strings.c | src/strings.c
dup_00080,BATTLE TOWER,4,gEasyChatWord_BattleTower | gText_BattleTower | gText_BattleTower2 | gText_BattleTower3,src/data/easy_chat/easy_chat_group_events.h | src/strings.c | src/strings.c | src/strings.c
dup_00081,BAYLEEF,2,nickname | inline_155,src/data/battle_frontier/trainer_hill.h | src/data/text/species_names.h
dup_00082,BEAU,2,trainerName | trainerName,src/data/contest_opponents.h | src/data/trainers.h
dup_00083,BEAUTY,4,gEasyChatWord_Beauty | inline_23 | gText_Beauty | gText_Beauty2,src/data/easy_chat/easy_chat_group_status.h | src/data/text/trainer_class_names.h | src/strings.c | src/strings.c
dup_00084,BEAUTY CONTEST,3,gRibbonDescriptionPart1_BeautyContest | sText_BeautyContest | gText_BeautyContest,src/data/text/ribbon_descriptions.h | src/data/union_room.h | src/strings.c
dup_00085,BEAUTY$,2,gContestBeauty | gContestMoveTypeBeautyText,data/text/contest_painting.inc | data/text/contest_strings.inc
dup_00086,BEEDRILL,2,nickname | inline_17,src/data/battle_frontier/trainer_hill.h | src/data/text/species_names.h
dup_00087,BELLOSSOM,2,nickname | inline_184,src/data/battle_frontier/trainer_hill.h | src/data/text/species_names.h
dup_00088,BENJAMIN,5,trainerName | trainerName | trainerName | trainerName | trainerName,src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h
dup_00089,BERNIE,5,trainerName | trainerName | trainerName | trainerName | trainerName,src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h
dup_00090,BERRIES,3,gText_BerriesPocket | gText_Berries2 | gText_Berries,src/strings.c | src/strings.c | src/strings.c
dup_00091,BERRY,2,gEasyChatWord_Berry | gText_Berry,src/data/easy_chat/easy_chat_group_events.h | src/strings.c
dup_00092,BERRY CRUSH,4,sText_BerryCrush | gText_BerryCrush3 | gText_BerryCrush | gText_BerryCrush2,src/data/union_room.h | src/strings.c | src/strings.c | src/strings.c
dup_00093,BIG JAW,3,categoryName | categoryName | categoryName,src/data/pokemon/pokedex_entries.h | src/data/pokemon/pokedex_entries.h | src/data/pokemon/pokedex_entries.h
dup_00094,BIRD,2,categoryName | categoryName,src/data/pokemon/pokedex_entries.h | src/data/pokemon/pokedex_entries.h
dup_00095,BIRTH ISLAND,2,sMapName_BIRTH_ISLAND | gText_BirthIsland,src/data/region_map/region_map_entries.h | src/strings.c
dup_00096,BITE,3,categoryName | categoryName | inline_47,src/data/pokemon/pokedex_entries.h | src/data/pokemon/pokedex_entries.h | src/data/text/move_names.h
dup_00097,BIVALVE,3,categoryName | categoryName | categoryName,src/data/pokemon/pokedex_entries.h | src/data/pokemon/pokedex_entries.h | src/data/pokemon/pokedex_entries.h
dup_00098,BLACK BELT,2,name | inline_14,src/data/items.h | src/data/text/trainer_class_names.h
dup_00099,BLACK FLUTE,3,name | gText_BlackFlute2 | gText_BlackFlute,src/data/items.h | src/strings.c | src/strings.c
dup_00100,BLASTOISE,2,nickname | inline_11,src/data/battle_frontier/trainer_hill.h | src/data/text/species_names.h
dup_00101,BLAZE,3,gEasyChatWord_Blaze | categoryName | inline_148,src/data/easy_chat/easy_chat_group_status.h | src/data/pokemon/pokedex_entries.h | src/data/text/abilities.h
dup_00102,BLAZIKEN,2,nickname | inline_284,src/data/battle_frontier/trainer_hill.h | src/data/text/species_names.h
dup_00103,BLISSEY,2,nickname | inline_244,src/data/battle_frontier/trainer_hill.h | src/data/text/species_names.h
dup_00104,BLUE FLUTE,3,name | gText_BlueFlute2 | gText_BlueFlute,src/data/items.h | src/strings.c | src/strings.c
dup_00105,BLUE SHARD,2,name | gText_BlueShard,src/data/items.h | src/strings.c
dup_00106,BLUE TENT,2,name | gText_BlueTent,src/data/decoration/header.h | src/strings.c
dup_00107,BOUNCE,2,categoryName | inline_343,src/data/pokemon/pokedex_entries.h | src/data/text/move_names.h
dup_00108,BRAWLY,6,trainerName | trainerName | trainerName | trainerName | trainerName | gText_Brawly,src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/strings.c
dup_00109,BRENDAN,17,trainerName | trainerName | trainerName | trainerName | trainerName | trainerName | trainerName | trainerName | trainerName | trainerName | trainerName | trainerName | trainerName | trainerName | trainerName | trainerName | gText_ExpandedPlaceholder_Brendan,src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/strings.c
dup_00110,"BRENDAN: I know you just became\na TRAINER, but I won't go easy!$",2,Route104_Text_BrendanIntro | RustboroCity_Text_BrendanIWontGoEasy,data/maps/Route104/scripts.inc | data/maps/RustboroCity/scripts.inc
dup_00111,BRENDAN: What's the matter? Don't have\nany confidence in your POKéMON?$,2,Route104_Text_BrendanNoConfidence | RustboroCity_Text_BrendanNoConfidenceInPokemon,data/maps/Route104/scripts.inc | data/maps/RustboroCity/scripts.inc
dup_00112,BRENDAN: What's up?\nWant to have a battle with me?$,2,Route104_Text_BrendanLetsBattle | RustboroCity_Text_BrendanWantToBattle,data/maps/Route104/scripts.inc | data/maps/RustboroCity/scripts.inc
dup_00113,BROOKE,5,trainerName | trainerName | trainerName | trainerName | trainerName,src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h
dup_00114,BRYANT,2,trainerName | trainerName,src/data/contest_opponents.h | src/data/trainers.h
dup_00115,BRYCE,2,trainerName | trainerName,src/data/battle_frontier/battle_frontier_trainers.h | src/data/contest_opponents.h
dup_00116,BUG,2,inline_459 | gEasyChatWord_Bug,src/battle_main.c | src/data/easy_chat/easy_chat_group_status.h
dup_00117,BUTTERFLY,2,categoryName | categoryName,src/data/pokemon/pokedex_entries.h | src/data/pokemon/pokedex_entries.h
dup_00118,"Before I show you to the BATTLE DOME,\nI must save the data. Is that okay?$",2,BattleFrontier_BattleDomeLobby_Text_OkayToSaveBeforeChallenge | BattleFrontier_BattleDomeLobby_Text_OkayToSaveBeforeChallenge2,data/maps/BattleFrontier_BattleDomeLobby/scripts.inc | data/maps/BattleFrontier_BattleDomeLobby/scripts.inc
dup_00119,"Before you two battle, you should\nsave your progress.$",2,RS_MysteryEventsHouse_Text_SaveYourProgress | SootopolisCity_MysteryEventsHouse_1F_Text_SaveProgressBeforeBattle,data/maps/MossdeepCity_GameCorner_1F/scripts.inc | data/maps/SootopolisCity_MysteryEventsHouse_1F/scripts.inc
dup_00120,Best score:,2,gText_BestScore | gText_BestScore2,src/strings.c | src/strings.c
dup_00121,Blocks critical hits.,2,sBattleArmorDescription | sShellArmorDescription,src/data/text/abilities.h | src/data/text/abilities.h
dup_00122,"Bravo, {STR_VAR_1}!\nBravo, {STR_VAR_2}!\pI hope we can count on seeing\n{STR_VAR_1} scale even greater heights!\pThat's all the time we have!\nUntil next time, see you!$",2,gTVBravoTrainerText07 | BravoTrainerBattleTower_Text_Outro,data/text/tv.inc | data/text/tv.inc
dup_00123,CAITLIN,2,trainerName | trainerName,src/data/battle_frontier/battle_frontier_trainers.h | src/data/contest_opponents.h
dup_00124,CALE,2,trainerName | trainerName,src/data/contest_opponents.h | src/data/trainers.h
dup_00125,CALVIN,5,trainerName | trainerName | trainerName | trainerName | trainerName,src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h
dup_00126,CAMERON,5,trainerName | trainerName | trainerName | trainerName | trainerName,src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h
dup_00127,CANCEL,8,gEasyChatWord_Cancel | sText_Cancel | gText_Cancel7 | gPCText_Cancel | gText_UnusedCancel | gText_Cancel3 | gText_Cancel4 | gText_Cancel5,src/data/easy_chat/easy_chat_group_trendy_saying.h | src/data/trade.h | src/strings.c | src/strings.c | src/strings.c | src/strings.c | src/strings.c | src/strings.c
dup_00128,CARDS,2,gEasyChatWord_Cards | sText_Cards,src/data/easy_chat/easy_chat_group_hobbies.h | src/data/union_room.h
dup_00129,CATHERINE,5,trainerName | trainerName | trainerName | trainerName | trainerName,src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h
dup_00130,CAVE OF ORIGIN,2,sMapName_CAVE_OF_ORIGIN | gText_CaveOfOrigin,src/data/region_map/region_map_entries.h | src/strings.c
dup_00131,CHALLENGE,2,gEasyChatWord_Challenge | gText_Challenge,src/data/easy_chat/easy_chat_group_battle.h | src/strings.c
dup_00132,CHAMPION,2,inline_40 | gText_ChampionMatchCallDesc,src/data/text/trainer_class_names.h | src/strings.c
dup_00133,CHARIZARD,2,nickname | inline_8,src/data/battle_frontier/trainer_hill.h | src/data/text/species_names.h
dup_00134,CHARMELEON,2,nickname | inline_7,src/data/battle_frontier/trainer_hill.h | src/data/text/species_names.h
dup_00135,CHAT,3,gEasyChatWord_Chat | sText_Chat2 | sText_Chat,src/data/easy_chat/easy_chat_group_hobbies.h | src/data/union_room.h | src/data/union_room.h
dup_00136,CHEERING,2,categoryName | categoryName,src/data/pokemon/pokedex_entries.h | src/data/pokemon/pokedex_entries.h
dup_00137,CHIMECHO,2,nickname | inline_413,src/data/battle_frontier/trainer_hill.h | src/data/text/species_names.h
dup_00138,CHLOROPHYLL,2,gEasyChatWord_Chlorophyll | inline_116,src/data/easy_chat/easy_chat_group_status.h | src/data/text/abilities.h
dup_00139,CINDY,6,trainerName | trainerName | trainerName | trainerName | trainerName | trainerName,src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h
dup_00140,CLAMPERL,2,nickname | inline_375,src/data/battle_frontier/trainer_hill.h | src/data/text/species_names.h
dup_00141,CLAW FOSSIL,2,name | gText_ClawFossil,src/data/items.h | src/strings.c
dup_00142,CLAY DOLL,2,categoryName | categoryName,src/data/pokemon/pokedex_entries.h | src/data/pokemon/pokedex_entries.h
dup_00143,CLAYDOL,2,nickname | inline_321,src/data/battle_frontier/trainer_hill.h | src/data/text/species_names.h
dup_00144,CLEAR BODY,2,gEasyChatWord_ClearBody | inline_111,src/data/easy_chat/easy_chat_group_status.h | src/data/text/abilities.h
dup_00145,CLEFAIRY,2,nickname | inline_37,src/data/battle_frontier/trainer_hill.h | src/data/text/species_names.h
dup_00146,CLEFFA,2,nickname | inline_175,src/data/battle_frontier/trainer_hill.h | src/data/text/species_names.h
dup_00147,CLOUD NINE,2,gEasyChatWord_CloudNine | inline_95,src/data/easy_chat/easy_chat_group_status.h | src/data/text/abilities.h
dup_00148,COCOON,4,categoryName | categoryName | categoryName | categoryName,src/data/pokemon/pokedex_entries.h | src/data/pokemon/pokedex_entries.h | src/data/pokemon/pokedex_entries.h | src/data/pokemon/pokedex_entries.h
dup_00149,COLOR CHANGE,2,gEasyChatWord_ColorChange | inline_98,src/data/easy_chat/easy_chat_group_status.h | src/data/text/abilities.h
dup_00150,COMPOUNDEYES,2,gEasyChatWord_Compoundeyes | inline_96,src/data/easy_chat/easy_chat_group_status.h | src/data/text/abilities.h
dup_00151,CONFIRM,3,gMenuText_Confirm | gText_Confirm2 | gText_Confirm3,src/strings.c | src/strings.c | src/strings.c
dup_00152,COOL,3,gEasyChatWord_Cool | gText_Cool | gText_Cool2,src/data/easy_chat/easy_chat_group_status.h | src/strings.c | src/strings.c
dup_00153,COOL CONTEST,2,gRibbonDescriptionPart1_CoolContest | sText_CoolContest,src/data/text/ribbon_descriptions.h | src/data/union_room.h
dup_00154,COOLTRAINER,2,inline_7 | inline_50,src/data/text/trainer_class_names.h | src/data/text/trainer_class_names.h
dup_00155,CORSOLA,2,nickname | inline_224,src/data/battle_frontier/trainer_hill.h | src/data/text/species_names.h
dup_00156,CORY,5,trainerName | trainerName | trainerName | trainerName | trainerName,src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h
dup_00157,COTTONWEED,3,categoryName | categoryName | categoryName,src/data/pokemon/pokedex_entries.h | src/data/pokemon/pokedex_entries.h | src/data/pokemon/pokedex_entries.h
dup_00158,CRISTIN,5,trainerName | trainerName | trainerName | trainerName | trainerName,src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h
dup_00159,CROBAT,2,nickname | inline_171,src/data/battle_frontier/trainer_hill.h | src/data/text/species_names.h
dup_00160,CROCONAW,2,nickname | inline_161,src/data/battle_frontier/trainer_hill.h | src/data/text/species_names.h
dup_00161,CUBONE,3,nickname | nickname | inline_106,src/data/battle_frontier/trainer_hill.h | src/data/battle_frontier/trainer_hill.h | src/data/text/species_names.h
dup_00162,CURRENT,2,gEasyChatWord_Current | gText_Current,src/data/easy_chat/easy_chat_group_time.h | src/strings.c
dup_00163,CUTE,3,gEasyChatWord_Cute | gText_Cute | gText_Cute2,src/data/easy_chat/easy_chat_group_status.h | src/strings.c | src/strings.c
dup_00164,CUTE CHARM,2,gEasyChatWord_CuteCharm | inline_138,src/data/easy_chat/easy_chat_group_status.h | src/data/text/abilities.h
dup_00165,CUTE CONTEST,2,gRibbonDescriptionPart1_CuteContest | sText_CuteContest,src/data/text/ribbon_descriptions.h | src/data/union_room.h
dup_00166,CYNDY,5,trainerName | trainerName | trainerName | trainerName | trainerName,src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h | src/data/trainers.h
dup_00167,Combine two words or phrases,2,gText_CombineTwoWordsOrPhrases | gText_CombineTwoWordsOrPhrases2,src/strings.c | src/strings.c
dup_00168,Communication standby…,6,sText_CommunicationStandby | gText_CommunicationStandby | gText_CommunicationStandby2 | gText_CommunicationStandby3 | gText_CommunicationStandby4 | gText_CommunicationStandby5,src/berry_blender.c | src/strings.c | src/strings.c | src/strings.c | src/strings.c | src/strings.c
dup_00169,"Congratulations for advancing\nto the final match.\pFor the final match, you will challenge\nthe DOME ACE TUCKER.\pAre you ready?$",2,BattleFrontier_BattleDomePreBattleRoom_Text_ReadyForTuckerSilver | BattleFrontier_BattleDomePreBattleRoom_Text_ReadyForTuckerGold,data/maps/BattleFrontier_BattleDomePreBattleRoom/scripts.inc | data/maps/BattleFrontier_BattleDomePreBattleRoom/scripts.inc
