id,category,subcategory,story_order,map_name,location_name,speaker,source_file,source_line,source_label,english_raw,english_preview,thai,translation_status,control_codes,placeholders,duplicate_group,notes
dlg_acba97b04ebadfc9,main_story,required_event,,BattleFrontier_OutsideEast,BattleFrontier OutsideEast,,data/maps/BattleFrontier_OutsideEast/scripts.inc,316,BattleFrontier_OutsideEast_Text_OnceBeatGymLeader,"I may not look that impressive now,\nbut I once beat a GYM LEADER.\pWho knows, maybe I should give it\nanother shot at glory.$","I may not look that impressive now,
but I once beat a GYM LEADER.
[PAGE]
Who knows, maybe I should give it
another shot at glory.",,untranslated,\n | \p | \n,,,Map path or label explicitly identifies progression.
dlg_9ee91ad4704a9d48,main_story,required_event,,CaveOfOrigin_B1F,CaveOfOrigin B1F,Wallace,data/maps/CaveOfOrigin_B1F/scripts.inc,61,CaveOfOrigin_B1F_Text_WallaceStory,"Ah, so you are {PLAYER}{KUN}?\nI've heard tales of your exploits.\pMy name is WALLACE.\pI was once the GYM LEADER of\nSOOTOPOLIS, but something came up.\pSo now, I've entrusted my mentor JUAN\nwith the GYM's operation.\p… … … … … …\n… … … … … …\pGROUDON and KYOGRE, the two POKéMON\nwreaking havoc here, are considered\lto be super-ancient POKéMON.\pBut there aren't just two super-\nancient POKéMON.\pThere is one more somewhere.\pSomewhere, there is a super-\nancient POKéMON named RAYQUAZA.\pIt's said that it was RAYQUAZA that\nbecalmed the two combatants in\lthe distant past.\pBut even I have no clue as to\nRAYQUAZA's whereabouts…$","Ah, so you are {PLAYER}{KUN}?
I've heard tales of your exploits.
[PAGE]
My name is WALLACE.
[PAGE]
I was once the GYM LEADER of
SOOTOPOLIS, but something came up.
[PAGE]
So now, I've entrusted my mentor JUAN
with the GYM's operation.
[PAGE]
… … … … … …
… … … … … …
[PAGE]
GROUDON and KYOGRE, the two POKéMON
wreaking havoc here, are considered
to be super-ancient POKéMON.
[PAGE]
But there aren't just two super-
ancient POKéMON.
[PAGE]
There is one more somewhere.
[PAGE]
Somewhere, there is a super-
ancient POKéMON named RAYQUAZA.
[PAGE]
It's said that it was RAYQUAZA that
becalmed the two combatants in
the distant past.
[PAGE]
But even I have no clue as to
RAYQUAZA's whereabouts…",,untranslated,{PLAYER} | {KUN} | \n | \p | \p | \n | \p | \n | \p | \n | \p | \n | \l | \p | \n | \p | \p | \n | \p | \n | \l | \p | \n,{PLAYER},,Map path or label explicitly identifies progression.
dlg_21f9fb2e64242ca7,main_story,required_event,,CaveOfOrigin_B1F,CaveOfOrigin B1F,,data/maps/CaveOfOrigin_B1F/scripts.inc,85,CaveOfOrigin_B1F_Text_WhereIsRayquaza,"WALLACE: {PLAYER}{KUN}, do you perhaps\nknow where RAYQUAZA is now?\pIf you do, please tell me.$","WALLACE: {PLAYER}{KUN}, do you perhaps
know where RAYQUAZA is now?
[PAGE]
If you do, please tell me.",,untranslated,{PLAYER} | {KUN} | \n | \p,{PLAYER},,Map path or label explicitly identifies progression.
dlg_8116d2fd0acd4df7,main_story,required_event,,CaveOfOrigin_B1F,CaveOfOrigin B1F,,data/maps/CaveOfOrigin_B1F/scripts.inc,90,CaveOfOrigin_B1F_Text_ButWereInCaveOfOrigin,"WALLACE: The CAVE OF ORIGIN?\pBut that's right here!\nI need you to do better than that!\pPlease, I need you to think about\nwhere RAYQUAZA might be right now.$","WALLACE: The CAVE OF ORIGIN?
[PAGE]
But that's right here!
I need you to do better than that!
[PAGE]
Please, I need you to think about
where RAYQUAZA might be right now.",,untranslated,\p | \n | \p | \n,,,Map path or label explicitly identifies progression.
dlg_ac02995e9da80119,main_story,required_event,,CaveOfOrigin_B1F,CaveOfOrigin B1F,,data/maps/CaveOfOrigin_B1F/scripts.inc,97,CaveOfOrigin_B1F_Text_OldLadyDidntMentionThat,"WALLACE: MT. PYRE?\pBut when I met the old lady there\nearlier, she made no mention of it.\pI very much doubt that the old lady\nwould try to hide something from me…\p{PLAYER}{KUN}, could you think about this\nmore carefully for me?$","WALLACE: MT. PYRE?
[PAGE]
But when I met the old lady there
earlier, she made no mention of it.
[PAGE]
I very much doubt that the old lady
would try to hide something from me…
[PAGE]
{PLAYER}{KUN}, could you think about this
more carefully for me?",,untranslated,\p | \n | \p | \n | \p | {PLAYER} | {KUN} | \n,{PLAYER},,Map path or label explicitly identifies progression.
dlg_9efdeaf5854b1e2e,main_story,required_event,,CaveOfOrigin_B1F,CaveOfOrigin B1F,,data/maps/CaveOfOrigin_B1F/scripts.inc,106,CaveOfOrigin_B1F_Text_CantYouRememberSomehow,WALLACE: Huh? You don't remember?\nHmm… That's a problem…\pCan't you remember somehow?$,"WALLACE: Huh? You don't remember?
Hmm… That's a problem…
[PAGE]
Can't you remember somehow?",,untranslated,\n | \p,,,Map path or label explicitly identifies progression.
dlg_2d9ab354729bb773,main_story,required_event,,CaveOfOrigin_B1F,CaveOfOrigin B1F,,data/maps/CaveOfOrigin_B1F/scripts.inc,111,CaveOfOrigin_B1F_Text_WellHeadToSkyPillar,"WALLACE: The SKY PILLAR?\pThat's it!\nIt must be the SKY PILLAR!\p{PLAYER}{KUN}, there's not a moment to lose!\nWe'll head to the SKY PILLAR right away!$","WALLACE: The SKY PILLAR?
[PAGE]
That's it!
It must be the SKY PILLAR!
[PAGE]
{PLAYER}{KUN}, there's not a moment to lose!
We'll head to the SKY PILLAR right away!",,untranslated,\p | \n | \p | {PLAYER} | {KUN} | \n,{PLAYER},,Map path or label explicitly identifies progression.
dlg_620c88648d5b14e6,main_story,required_event,,EverGrandeCity_HallOfFame,EverGrandeCity HallOfFame,,data/maps/EverGrandeCity_HallOfFame/scripts.inc,81,EverGrandeCity_HallOfFame_Text_HereWeHonorLeagueChampions,WALLACE: This room…\pThis is where we keep records of\nPOKéMON that prevailed through\lharsh battles.\pIt is here that the LEAGUE CHAMPIONS\nare honored.$,"WALLACE: This room…
[PAGE]
This is where we keep records of
POKéMON that prevailed through
harsh battles.
[PAGE]
It is here that the LEAGUE CHAMPIONS
are honored.",,untranslated,\p | \n | \l | \p | \n,,,Map path or label explicitly identifies progression.
dlg_f8d2a6465c7b7c81,main_story,required_event,,EverGrandeCity_HallOfFame,EverGrandeCity HallOfFame,,data/maps/EverGrandeCity_HallOfFame/scripts.inc,89,EverGrandeCity_HallOfFame_Text_LetsRecordYouAndYourPartnersNames,"WALLACE: Come on, let's record your\nname as a TRAINER who triumphed over\lthe POKéMON LEAGUE, and the names of\lthe partners who battled with you.$","WALLACE: Come on, let's record your
name as a TRAINER who triumphed over
the POKéMON LEAGUE, and the names of
the partners who battled with you.",,untranslated,\n | \l | \l,,,Map path or label explicitly identifies progression.
dlg_8642e24df2fe2b19,main_story,required_event,,LavaridgeTown_Mart,LavaridgeTown Mart,,data/maps/LavaridgeTown_Mart/scripts.inc,40,LavaridgeTown_Mart_Text_LocalSpecialtyOnMtChimney,"On MT. CHIMNEY's peak, there's a local\nspecialty that you can buy only there.\pGive it to a POKéMON--it will be elated.$","On MT. CHIMNEY's peak, there's a local
specialty that you can buy only there.
[PAGE]
Give it to a POKéMON--it will be elated.",,untranslated,\n | \p,,,Map path or label explicitly identifies progression.
dlg_d52382a80983e615,main_story,required_event,,LilycoveCity,LilycoveCity,,data/maps/LilycoveCity/scripts.inc,604,LilycoveCity_Text_TeamAquaBeenTrainingWailmer,TEAM AQUA's been training their\nWAILMER in the cove.\pWe SAILORS can't get our boats out\nto sea with them in the way!$,"TEAM AQUA's been training their
WAILMER in the cove.
[PAGE]
We SAILORS can't get our boats out
to sea with them in the way!",,untranslated,\n | \p | \n,,,Map path or label explicitly identifies progression.
dlg_26d186c08c2a3ece,main_story,required_event,,LilycoveCity,LilycoveCity,,data/maps/LilycoveCity/scripts.inc,610,LilycoveCity_Text_SomeonePuntedTeamAquaOut,"Ahoy, did you know?\pSomeone punted TEAM AQUA out of\nthe way for us!\pThat got the WAILMER out of the cove,\nso we can get our boats out again.$","Ahoy, did you know?
[PAGE]
Someone punted TEAM AQUA out of
the way for us!
[PAGE]
That got the WAILMER out of the cove,
so we can get our boats out again.",,untranslated,\p | \n | \p | \n,,,Map path or label explicitly identifies progression.
dlg_b591a5f22cf4065f,main_story,required_event,,LilycoveCity,LilycoveCity,,data/maps/LilycoveCity/scripts.inc,647,LilycoveCity_Text_TeamAquaRenovatedCavern,"Hm, you know of the peculiar cavern\nin this cove?\pThat had been a natural formation,\nbut then that TEAM AQUA lot came\lalong and made their renovations.\pThey call themselves\nthe “nature-loving TEAM AQUA”!\pBut what they do and what they say\ndon't match at all!$","Hm, you know of the peculiar cavern
in this cove?
[PAGE]
That had been a natural formation,
but then that TEAM AQUA lot came
along and made their renovations.
[PAGE]
They call themselves
the “nature-loving TEAM AQUA”!
[PAGE]
But what they do and what they say
don't match at all!",,untranslated,\n | \p | \n | \l | \p | \n | \p | \n,,,Map path or label explicitly identifies progression.
dlg_a20c342b34fee9ab,main_story,required_event,,LilycoveCity,LilycoveCity,,data/maps/LilycoveCity/scripts.inc,658,LilycoveCity_Text_TeamAquaLotGoneForGood,"That cave in the cove…\pI didn't notice it right away,\nbut it's completely empty now.\pThat TEAM AQUA lot, they must\nhave gone away for good.$","That cave in the cove…
[PAGE]
I didn't notice it right away,
but it's completely empty now.
[PAGE]
That TEAM AQUA lot, they must
have gone away for good.",,untranslated,\p | \n | \p | \n,,,Map path or label explicitly identifies progression.
dlg_88ffdc624b0d0b23,main_story,required_event,,LilycoveCity,LilycoveCity,,data/maps/LilycoveCity/scripts.inc,733,LilycoveCity_Text_HeardTowerCalledSkyPillar,"I heard there's a tower somewhere out\non the sea routes.\pIt's called the SKY PILLAR, I hear.$","I heard there's a tower somewhere out
on the sea routes.
[PAGE]
It's called the SKY PILLAR, I hear.",,untranslated,\n | \p,,,Map path or label explicitly identifies progression.
dlg_0f3bf62ab8213d3f,main_story,required_event,,LilycoveCity_CoveLilyMotel_1F,LilycoveCity CoveLilyMotel 1F,,data/maps/LilycoveCity_CoveLilyMotel_1F/scripts.inc,83,LilycoveCity_CoveLilyMotel_1F_Text_NoGuestsWithTeamAqua,"Oh, sorry, sorry!\nI was too involved in watching TV!\pSince that TEAM AQUA came to town,\nthe tourists have been staying away.$","Oh, sorry, sorry!
I was too involved in watching TV!
[PAGE]
Since that TEAM AQUA came to town,
the tourists have been staying away.",,untranslated,\n | \p | \n,,,Map path or label explicitly identifies progression.
dlg_bd705cc8a504bb05,main_story,required_event,,LittlerootTown_BrendansHouse_1F,LittlerootTown BrendansHouse 1F,,data/maps/LittlerootTown_BrendansHouse_1F/scripts.inc,289,PlayersHouse_1F_Text_MoversPokemonGoSetClock,"The mover's POKéMON do all the work\nof moving us in and cleaning up after.\lThis is so convenient!\p{PLAYER}, your room is upstairs.\nGo check it out, dear!\pDAD bought you a new clock to mark\nour move here.\lDon't forget to set it!$","The mover's POKéMON do all the work
of moving us in and cleaning up after.
This is so convenient!
[PAGE]
{PLAYER}, your room is upstairs.
Go check it out, dear!
[PAGE]
DAD bought you a new clock to mark
our move here.
Don't forget to set it!",,untranslated,\n | \l | \p | {PLAYER} | \n | \p | \n | \l,{PLAYER},,Map path or label explicitly identifies progression.
dlg_36ea63b7ce608519,main_story,required_event,,MagmaHideout_4F,MagmaHideout 4F,Maxie,data/maps/MagmaHideout_4F/scripts.inc,181,MagmaHideout_4F_Text_MaxieAwakenGroudon,MAXIE: GROUDON…\pNothing could awaken you from your\nsleep bathed in magma…\pThis BLUE ORB is what you sought.\nWasn't it?\pI have brought you the BLUE ORB.\nLet its shine awaken you!\pAnd show me…\nShow me the full extent of your power!$,"MAXIE: GROUDON…
[PAGE]
Nothing could awaken you from your
sleep bathed in magma…
[PAGE]
This BLUE ORB is what you sought.
Wasn't it?
[PAGE]
I have brought you the BLUE ORB.
Let its shine awaken you!
[PAGE]
And show me…
Show me the full extent of your power!",,untranslated,\p | \n | \p | \n | \p | \n | \p | \n,,,Map path or label explicitly identifies progression.
dlg_c71a89510217f917,main_story,required_event,,MeteorFalls_1F_1R,MeteorFalls 1F 1R,,data/maps/MeteorFalls_1F_1R/scripts.inc,249,MeteorFalls_1F_1R_Text_BeSeeingYouTeamAqua,"Hehehe!\nEven TEAM AQUA joins us!\pBut it's too much trouble to deal with\nyou all…\pHeh, it doesn't matter!\pWe've got the METEORITE, so off to\nMT. CHIMNEY we go!\pHehehe! Be seeing you, you TEAM\nAQUA dingbats!$","Hehehe!
Even TEAM AQUA joins us!
[PAGE]
But it's too much trouble to deal with
you all…
[PAGE]
Heh, it doesn't matter!
[PAGE]
We've got the METEORITE, so off to
MT. CHIMNEY we go!
[PAGE]
Hehehe! Be seeing you, you TEAM
AQUA dingbats!",,untranslated,\n | \p | \n | \p | \p | \n | \p | \n,,,Map path or label explicitly identifies progression.
dlg_d51d8d6c11e6afb5,main_story,required_event,,MeteorFalls_1F_1R,MeteorFalls 1F 1R,,data/maps/MeteorFalls_1F_1R/scripts.inc,305,MeteorFalls_1F_1R_Text_WhatsTeamMagmaDoingAtMtChimney,PROF. COZMO: But that TEAM MAGMA…\pWhat are they going to do with that\nMETEORITE at MT. CHIMNEY?$,"PROF. COZMO: But that TEAM MAGMA…
[PAGE]
What are they going to do with that
METEORITE at MT. CHIMNEY?",,untranslated,\p | \n,,,Map path or label explicitly identifies progression.
dlg_1555411822879676,main_story,required_event,,MossdeepCity,MossdeepCity,,data/maps/MossdeepCity/scripts.inc,418,MossdeepCity_Text_SootopolisNewGymLeader,"Ahh… It feels great letting the waves\nwash over my feet…\pSpeaking of the waves, you know that\nisland city SOOTOPOLIS?\pI think the GYM there had a new\nLEADER come in.\pPeople tell me the new LEADER once\nmentored WALLACE.$","Ahh… It feels great letting the waves
wash over my feet…
[PAGE]
Speaking of the waves, you know that
island city SOOTOPOLIS?
[PAGE]
I think the GYM there had a new
LEADER come in.
[PAGE]
People tell me the new LEADER once
mentored WALLACE.",,untranslated,\n | \p | \n | \p | \n | \p | \n,,,Map path or label explicitly identifies progression.
dlg_07ee57bffb483b68,main_story,required_event,,MossdeepCity_PokemonCenter_1F,MossdeepCity PokemonCenter 1F,,data/maps/MossdeepCity_PokemonCenter_1F/scripts.inc,25,MossdeepCity_PokemonCenter_1F_Text_GymLeaderDuoFormidable,"The GYM LEADERS in this town are\na formidable duo.\pTheir combination attacks are, like,\nexcellent and wow!$","The GYM LEADERS in this town are
a formidable duo.
[PAGE]
Their combination attacks are, like,
excellent and wow!",,untranslated,\n | \p | \n,,,Map path or label explicitly identifies progression.
dlg_ed68ce020b1d6ba1,main_story,required_event,,MtChimney,MtChimney,,data/maps/MtChimney/scripts.inc,528,MtChimney_Text_MeteoriteWillActivateVolcano,"The power contained in the METEORITE…\pBy amplifying its power with this\nmachine, MT. CHIMNEY's volcanic\lactivity will instantly intensify…\pIts energy will grow deep inside\nthe crater and…\lFufufu…$","The power contained in the METEORITE…
[PAGE]
By amplifying its power with this
machine, MT. CHIMNEY's volcanic
activity will instantly intensify…
[PAGE]
Its energy will grow deep inside
the crater and…
Fufufu…",,untranslated,\p | \n | \l | \p | \n | \l,,,Map path or label explicitly identifies progression.
dlg_e5fe9110f8a82454,main_story,required_event,,MtChimney,MtChimney,Maxie,data/maps/MtChimney/scripts.inc,537,MtChimney_Text_MaxieIntro,"MAXIE: Hm?\nWho are you?\p… … … … … …\n… … … … … …\pI'd heard ARCHIE bemoaning a child\nwho's been meddling in TEAM AQUA's\laffairs.\pIt must be you he meant.\pHumph! So you're thinking of\ninterfering with us, TEAM MAGMA?\pNow you listen.\nLong ago, living things used the\lland to live and grow.\pThat is why land is all important!\nIt is the cradle of all!\pThat is why TEAM MAGMA is dedicated\nto the expansion of the land mass.\pIt is for further advancement of\nhumankind and POKéMON!\pAnd for that, we need the power of\nwhat sleeps within this mountain…\pOh! There was no need for you to\nlearn that much.\pBut, no matter!\nI'll teach you the consequences of\lmeddling in our grand design!$","MAXIE: Hm?
Who are you?
[PAGE]
… … … … … …
… … … … … …
[PAGE]
I'd heard ARCHIE bemoaning a child
who's been meddling in TEAM AQUA's
affairs.
[PAGE]
It must be you he meant.
[PAGE]
Humph! So you're thinking of
interfering with us, TEAM MAGMA?
[PAGE]
Now you listen.
Long ago, living things used the
land to live and grow.
[PAGE]
That is why land is all important!
It is the cradle of all!
[PAGE]
That is why TEAM MAGMA is dedicated
to the expansion of the land mass.
[PAGE]
It is for further advancement of
humankind and POKéMON!
[PAGE]
And for that, we need the power of
what sleeps within this mountain…
[PAGE]
Oh! There was no need for you to
learn that much.
[PAGE]
But, no matter!
I'll teach you the consequences of
meddling in our grand design!",,untranslated,\n | \p | \n | \p | \n | \l | \p | \p | \n | \p | \n | \l | \p | \n | \p | \n | \p | \n | \p | \n | \p | \n | \p | \n | \l,,,Map path or label explicitly identifies progression.
dlg_c134f6ae42e00d98,main_story,required_event,,MtChimney,MtChimney,Maxie,data/maps/MtChimney/scripts.inc,565,MtChimney_Text_MaxieDefeat,"What?!\pI, MAXIE, was caught off guard?!$","What?!
[PAGE]
I, MAXIE, was caught off guard?!",,untranslated,\p,,,Map path or label explicitly identifies progression.
dlg_6d5968a287374b4b,main_story,required_event,,MtChimney,MtChimney,Maxie,data/maps/MtChimney/scripts.inc,569,MtChimney_Text_MaxieYouHaventSeenLastOfMagma,"MAXIE: But, enough.\nI will back off this time.\pBut don't think that this is the last\nyou've seen of TEAM MAGMA.\pFufufu…\pEven without the METEORITE, if we\nobtain that ORB… Fufufu…$","MAXIE: But, enough.
I will back off this time.
[PAGE]
But don't think that this is the last
you've seen of TEAM MAGMA.
[PAGE]
Fufufu…
[PAGE]
Even without the METEORITE, if we
obtain that ORB… Fufufu…",,untranslated,\n | \p | \n | \p | \p | \n,,,Map path or label explicitly identifies progression.
dlg_1ceb8f2bfa0b16f9,main_story,required_event,,MtChimney,MtChimney,,data/maps/MtChimney/scripts.inc,578,MtChimney_Text_TabithaIntro,Hehehe!\pSo you've come all the way here!\pBut you're too late!\nI've already delivered the METEORITE\lfrom METEOR FALLS to the BOSS!$,"Hehehe!
[PAGE]
So you've come all the way here!
[PAGE]
But you're too late!
I've already delivered the METEORITE
from METEOR FALLS to the BOSS!",,untranslated,\p | \p | \n | \l,,,Map path or label explicitly identifies progression.
dlg_ac88dbe1f02464a9,main_story,required_event,,MtChimney,MtChimney,,data/maps/MtChimney/scripts.inc,585,MtChimney_Text_TabithaDefeat,"Hehehe…\pEven though I've lost, if our leader\nawakens that thing…$","Hehehe…
[PAGE]
Even though I've lost, if our leader
awakens that thing…",,untranslated,\p | \n,,,Map path or label explicitly identifies progression.
dlg_669127cbcde00209,main_story,required_event,,MtChimney,MtChimney,,data/maps/MtChimney/scripts.inc,590,MtChimney_Text_TabithaPostBattle,"BOSS, hurry!\nGive it the METEORITE's energy!\pHehehe…$","BOSS, hurry!
Give it the METEORITE's energy!
[PAGE]
Hehehe…",,untranslated,\n | \p,,,Map path or label explicitly identifies progression.
