dialogue_id,source_label,source_file,candidate_category,final_category,mandatory,reason,script_references,flags,vars,branch_type,confidence,notes
dlg_42a69ad295141147,AquaHideout_B2F_Text_Grunt4PostBattle,data/maps/AquaHideout_B2F/scripts.inc,battle,trainer,no,Optional trainer post-battle dialogue.,,,,excluded,high,
dlg_25d46ff126e68da4,AquaHideout_B2F_Text_Grunt6PostBattle,data/maps/AquaHideout_B2F/scripts.inc,battle,trainer,no,Optional trainer post-battle dialogue.,,,,excluded,high,
dlg_a3fd6103867f76b3,AquaHideout_B2F_Text_Grunt8PostBattle,data/maps/AquaHideout_B2F/scripts.inc,battle,trainer,no,Optional trainer post-battle dialogue.,,,,excluded,high,
dlg_acba97b04ebadfc9,BattleFrontier_OutsideEast_Text_OnceBeatGymLeader,data/maps/BattleFrontier_OutsideEast/scripts.inc,main_story,optional_npc,no,Explicit false-positive rule or no mandatory script evidence,,,,excluded,high,
dlg_9ee91ad4704a9d48,CaveOfOrigin_B1F_Text_WallaceStory,data/maps/CaveOfOrigin_B1F/scripts.inc,main_story,excluded_candidate,no,Explicit false-positive rule or no mandatory script evidence,,,,excluded,medium,
dlg_21f9fb2e64242ca7,CaveOfOrigin_B1F_Text_WhereIsRayquaza,data/maps/CaveOfOrigin_B1F/scripts.inc,main_story,excluded_candidate,no,Explicit false-positive rule or no mandatory script evidence,,,,excluded,medium,
dlg_8116d2fd0acd4df7,CaveOfOrigin_B1F_Text_ButWereInCaveOfOrigin,data/maps/CaveOfOrigin_B1F/scripts.inc,main_story,excluded_candidate,no,Explicit false-positive rule or no mandatory script evidence,,,,excluded,medium,
dlg_ac02995e9da80119,CaveOfOrigin_B1F_Text_OldLadyDidntMentionThat,data/maps/CaveOfOrigin_B1F/scripts.inc,main_story,excluded_candidate,no,Explicit false-positive rule or no mandatory script evidence,,,,excluded,medium,
dlg_9efdeaf5854b1e2e,CaveOfOrigin_B1F_Text_CantYouRememberSomehow,data/maps/CaveOfOrigin_B1F/scripts.inc,main_story,excluded_candidate,no,Explicit false-positive rule or no mandatory script evidence,,,,excluded,medium,
dlg_2d9ab354729bb773,CaveOfOrigin_B1F_Text_WellHeadToSkyPillar,data/maps/CaveOfOrigin_B1F/scripts.inc,main_story,excluded_candidate,no,Explicit false-positive rule or no mandatory script evidence,,,,excluded,medium,
dlg_599ad62b6d06e2f6,DewfordTown_Text_PetalburgWereSettingSail2,data/maps/DewfordTown/scripts.inc,optional_npc,optional_interaction,no,Repeatable or optional transport interaction.,,,,excluded,high,
dlg_ae3c5d61729440d0,DewfordTown_Text_WhereAreWeBound,data/maps/DewfordTown/scripts.inc,optional_npc,optional_interaction,no,Repeatable or optional transport interaction.,,,,excluded,high,
dlg_ceae0dde962e2d34,DewfordTown_Text_JustTellMeWhenYouNeedToSetSail,data/maps/DewfordTown/scripts.inc,optional_npc,optional_interaction,no,Repeatable or optional transport interaction.,,,,excluded,high,
dlg_b5f1597d44c6a945,DewfordTown_Gym_Text_ReceivedKnuckleBadge,data/maps/DewfordTown_Gym/scripts.inc,optional_npc,main_story,yes,Resolved source reference,DewfordTown_Gym_EventScript_BrawlyDefeated,,,mandatory,high,
dlg_c511203430171749,DewfordTown_Gym_Text_KnuckleBadgeInfoTakeThis,data/maps/DewfordTown_Gym/scripts.inc,optional_npc,main_story,yes,Resolved source reference,DewfordTown_Gym_EventScript_BrawlyDefeated,,,mandatory,high,
dlg_0e086d2f7643bdb7,DewfordTown_Gym_Text_ExplainBulkUp,data/maps/DewfordTown_Gym/scripts.inc,optional_npc,main_story,yes,Resolved source reference,DewfordTown_Gym_EventScript_GiveBulkUp,,,mandatory,high,
dlg_6e0c67dc9c53c55e,DewfordTown_Gym_Text_RegisteredBrawly,data/maps/DewfordTown_Gym/scripts.inc,optional_npc,optional_interaction,no,"Optional guide, statue, or registration interaction.",,,,excluded,high,
dlg_dbb46905c78db3fa,DewfordTown_Gym_Text_BrawlyPostBattle,data/maps/DewfordTown_Gym/scripts.inc,battle,main_story,yes,Resolved source reference,DewfordTown_Gym_EventScript_Brawly,,,mandatory,high,
dlg_2ebe47d3ac14fd8e,EverGrandeCity_ChampionsRoom_Text_IntroSpeech,data/maps/EverGrandeCity_ChampionsRoom/scripts.inc,optional_npc,main_story,yes,Resolved source reference,EverGrandeCity_ChampionsRoom_EventScript_Wallace,,,mandatory,high,
dlg_7d1d16ab4a5481da,EverGrandeCity_ChampionsRoom_Text_PostBattleSpeech,data/maps/EverGrandeCity_ChampionsRoom/scripts.inc,battle,trainer,no,Optional trainer post-battle dialogue.,,,,excluded,high,
dlg_025c0ed4eb72f302,EverGrandeCity_ChampionsRoom_Text_MayAdvice,data/maps/EverGrandeCity_ChampionsRoom/scripts.inc,optional_npc,main_story,yes,Resolved source reference,EverGrandeCity_ChampionsRoom_EventScript_MayAdvice,,,mandatory,high,
dlg_7998d023049f109f,EverGrandeCity_ChampionsRoom_Text_MayItsAlreadyOver,data/maps/EverGrandeCity_ChampionsRoom/scripts.inc,optional_npc,main_story,yes,Resolved source reference,EverGrandeCity_ChampionsRoom_EventScript_MayAdvice,,,mandatory,high,
dlg_002edf666920d96c,EverGrandeCity_ChampionsRoom_Text_BrendanAdvice,data/maps/EverGrandeCity_ChampionsRoom/scripts.inc,optional_npc,main_story,yes,Resolved source reference,EverGrandeCity_ChampionsRoom_EventScript_BrendanAdvice,,,mandatory,high,
dlg_2354d73bb4e62974,EverGrandeCity_ChampionsRoom_Text_BrendanYouveWon,data/maps/EverGrandeCity_ChampionsRoom/scripts.inc,optional_npc,main_story,yes,Resolved source reference,EverGrandeCity_ChampionsRoom_EventScript_BrendanAdvice,,,mandatory,high,
dlg_81ca23e1fc2c226a,EverGrandeCity_ChampionsRoom_Text_BirchArriveRatePokedex,data/maps/EverGrandeCity_ChampionsRoom/scripts.inc,menu,main_story,yes,Resolved source reference,EverGrandeCity_ChampionsRoom_EventScript_BirchArrivesExitForHoF,,,mandatory,high,
dlg_dd762debedb89c77,EverGrandeCity_ChampionsRoom_Text_BirchCongratulations,data/maps/EverGrandeCity_ChampionsRoom/scripts.inc,optional_npc,main_story,yes,Resolved source reference,EverGrandeCity_ChampionsRoom_EventScript_BirchArrivesExitForHoF,,,mandatory,high,
dlg_e48bce6d96070af2,EverGrandeCity_ChampionsRoom_Text_WallaceComeWithMe,data/maps/EverGrandeCity_ChampionsRoom/scripts.inc,optional_npc,main_story,yes,Resolved source reference,EverGrandeCity_ChampionsRoom_EventScript_BirchArrivesExitForHoF,,,mandatory,high,
dlg_44055334f4fe10fa,EverGrandeCity_ChampionsRoom_Text_WallaceWaitOutside,data/maps/EverGrandeCity_ChampionsRoom/scripts.inc,optional_npc,main_story,yes,Resolved source reference,EverGrandeCity_ChampionsRoom_EventScript_BirchArrivesExitForHoF,,,mandatory,high,
dlg_ba212f09bd9a9718,EverGrandeCity_ChampionsRoom_Text_MayCongratulations,data/maps/EverGrandeCity_ChampionsRoom/scripts.inc,optional_npc,main_story,yes,Resolved source reference,EverGrandeCity_ChampionsRoom_EventScript_MayCongratulations,,,mandatory,high,
dlg_d3aa53241d06684c,EverGrandeCity_ChampionsRoom_Text_BrendanCongratulations,data/maps/EverGrandeCity_ChampionsRoom/scripts.inc,optional_npc,main_story,yes,Resolved source reference,EverGrandeCity_ChampionsRoom_EventScript_BrendanCongratulations,,,mandatory,high,
dlg_166dd7131ed8aba5,EverGrandeCity_DrakesRoom_Text_IntroSpeech,data/maps/EverGrandeCity_DrakesRoom/scripts.inc,optional_npc,main_story,yes,Resolved source reference,EverGrandeCity_DrakesRoom_EventScript_Drake,,,mandatory,high,
dlg_54c5bd92ce96a92f,EverGrandeCity_DrakesRoom_Text_PostBattleSpeech,data/maps/EverGrandeCity_DrakesRoom/scripts.inc,battle,trainer,no,Optional trainer post-battle dialogue.,,,,excluded,high,
dlg_27801ee152f487cf,EverGrandeCity_GlaciasRoom_Text_IntroSpeech,data/maps/EverGrandeCity_GlaciasRoom/scripts.inc,optional_npc,main_story,yes,Resolved source reference,EverGrandeCity_GlaciasRoom_EventScript_Glacia,,,mandatory,high,
dlg_236b10a5bd114afd,EverGrandeCity_GlaciasRoom_Text_PostBattleSpeech,data/maps/EverGrandeCity_GlaciasRoom/scripts.inc,battle,trainer,no,Optional trainer post-battle dialogue.,,,,excluded,high,
dlg_620c88648d5b14e6,EverGrandeCity_HallOfFame_Text_HereWeHonorLeagueChampions,data/maps/EverGrandeCity_HallOfFame/scripts.inc,main_story,main_story,yes,Resolved source reference,EverGrandeCity_HallOfFame_EventScript_EnterHallOfFame,,,mandatory,high,
dlg_f8d2a6465c7b7c81,EverGrandeCity_HallOfFame_Text_LetsRecordYouAndYourPartnersNames,data/maps/EverGrandeCity_HallOfFame/scripts.inc,main_story,main_story,yes,Resolved source reference,EverGrandeCity_HallOfFame_EventScript_EnterHallOfFame,,,mandatory,high,
dlg_3e4d602d030fbda7,EverGrandeCity_PhoebesRoom_Text_IntroSpeech,data/maps/EverGrandeCity_PhoebesRoom/scripts.inc,optional_npc,main_story,yes,Resolved source reference,EverGrandeCity_PhoebesRoom_EventScript_Phoebe,,,mandatory,high,
dlg_bf4de60e1cb5bc43,EverGrandeCity_PhoebesRoom_Text_PostBattleSpeech,data/maps/EverGrandeCity_PhoebesRoom/scripts.inc,battle,trainer,no,Optional trainer post-battle dialogue.,,,,excluded,high,
dlg_eb6ec0975494eabc,EverGrandeCity_SidneysRoom_Text_IntroSpeech,data/maps/EverGrandeCity_SidneysRoom/scripts.inc,optional_npc,main_story,yes,Resolved source reference,EverGrandeCity_SidneysRoom_EventScript_Sidney,,,mandatory,high,
dlg_0d3f5ffdd4940765,EverGrandeCity_SidneysRoom_Text_PostBattleSpeech,data/maps/EverGrandeCity_SidneysRoom/scripts.inc,battle,trainer,no,Optional trainer post-battle dialogue.,,,,excluded,high,
dlg_043520f7cee45426,FortreeCity_Gym_Text_ReceivedFeatherBadge,data/maps/FortreeCity_Gym/scripts.inc,optional_npc,main_story,yes,Resolved source reference,FortreeCity_Gym_EventScript_WinonaDefeated,,,mandatory,high,
dlg_4ba2da8c6c4cb804,FortreeCity_Gym_Text_ExplainFeatherBadgeTakeThis,data/maps/FortreeCity_Gym/scripts.inc,optional_npc,main_story,yes,Resolved source reference,FortreeCity_Gym_EventScript_WinonaDefeated,,,mandatory,high,
dlg_e89bf2fc11073911,FortreeCity_Gym_Text_ExplainAerialAce,data/maps/FortreeCity_Gym/scripts.inc,optional_npc,main_story,yes,Resolved source reference,FortreeCity_Gym_EventScript_GiveAerialAce,,,mandatory,high,
dlg_00aaee1361352d90,FortreeCity_Gym_Text_RegisteredWinona,data/maps/FortreeCity_Gym/scripts.inc,optional_npc,optional_interaction,no,"Optional guide, statue, or registration interaction.",,,,excluded,high,
dlg_90522eab9aeeb6c1,FortreeCity_Gym_Text_WinonaPostBattle,data/maps/FortreeCity_Gym/scripts.inc,battle,main_story,yes,Resolved source reference,FortreeCity_Gym_EventScript_Winona,,,mandatory,high,
dlg_d1feb2740067b7ae,JaggedPass_Text_GruntIntro,data/maps/JaggedPass/scripts.inc,optional_npc,main_story,yes,Resolved source reference,JaggedPass_EventScript_MagmaHideoutGuard,,,mandatory,high,
dlg_fe675caa94756773,JaggedPass_Text_BoulderShakingInResponseToEmblem,data/maps/JaggedPass/scripts.inc,optional_npc,main_story,yes,Resolved source reference,JaggedPass_EventScript_OpenMagmaHideout,,,mandatory,high,
dlg_45df7907f8abac1f,LavaridgeTown_Gym_1F_Text_GymGuideAdvice,data/maps/LavaridgeTown_Gym_1F/scripts.inc,optional_npc,optional_interaction,no,"Optional guide, statue, or registration interaction.",,,,excluded,high,
dlg_3892f217d61c78a4,LavaridgeTown_Gym_1F_Text_GymGuidePostVictory,data/maps/LavaridgeTown_Gym_1F/scripts.inc,interaction,optional_interaction,no,"Optional guide, statue, or registration interaction.",,,,excluded,high,
dlg_6f03803d9bf61f34,LavaridgeTown_Gym_1F_Text_ColePostBattle,data/maps/LavaridgeTown_Gym_1F/scripts.inc,battle,trainer,no,Optional trainer post-battle dialogue.,,,,excluded,high,
dlg_170cc8be3b00fd5c,LavaridgeTown_Gym_1F_Text_AxlePostBattle,data/maps/LavaridgeTown_Gym_1F/scripts.inc,battle,trainer,no,Optional trainer post-battle dialogue.,,,,excluded,high,
dlg_26e6336ecea3c094,LavaridgeTown_Gym_B1F_Text_KeeganPostBattle,data/maps/LavaridgeTown_Gym_1F/scripts.inc,battle,trainer,no,Optional trainer post-battle dialogue.,,,,excluded,high,
dlg_31e7c358fe8ed9e9,LavaridgeTown_Gym_1F_Text_GeraldPostBattle,data/maps/LavaridgeTown_Gym_1F/scripts.inc,battle,trainer,no,Optional trainer post-battle dialogue.,,,,excluded,high,
dlg_205903cc29c387f8,LavaridgeTown_Gym_1F_Text_DaniellePostBattle,data/maps/LavaridgeTown_Gym_1F/scripts.inc,battle,trainer,no,Optional trainer post-battle dialogue.,,,,excluded,high,
dlg_adb8247c266674eb,LavaridgeTown_Gym_B1F_Text_JacePostBattle,data/maps/LavaridgeTown_Gym_1F/scripts.inc,battle,trainer,no,Optional trainer post-battle dialogue.,,,,excluded,high,
dlg_98da460fab496d7c,LavaridgeTown_Gym_B1F_Text_JeffPostBattle,data/maps/LavaridgeTown_Gym_1F/scripts.inc,battle,trainer,no,Optional trainer post-battle dialogue.,,,,excluded,high,
dlg_3001dab5420efd1e,LavaridgeTown_Gym_B1F_Text_EliPostBattle,data/maps/LavaridgeTown_Gym_1F/scripts.inc,battle,trainer,no,Optional trainer post-battle dialogue.,,,,excluded,high,
dlg_85cc669a07cfd1db,LavaridgeTown_Gym_1F_Text_ReceivedHeatBadge,data/maps/LavaridgeTown_Gym_1F/scripts.inc,optional_npc,main_story,yes,Resolved source reference,LavaridgeTown_Gym_1F_EventScript_FlanneryDefeated,,,mandatory,high,
dlg_1082e920ad6c3157,LavaridgeTown_Gym_1F_Text_ExplainHeatBadgeTakeThis,data/maps/LavaridgeTown_Gym_1F/scripts.inc,optional_npc,main_story,yes,Resolved source reference,LavaridgeTown_Gym_1F_EventScript_FlanneryDefeated,,,mandatory,high,
dlg_dc7603a3e7b7cee7,LavaridgeTown_Gym_1F_Text_ExplainOverheat,data/maps/LavaridgeTown_Gym_1F/scripts.inc,optional_npc,main_story,yes,Resolved source reference,LavaridgeTown_Gym_1F_EventScript_GiveOverheat2,,,mandatory,high,
dlg_95d53b6c7b3dbdd5,LavaridgeTown_Gym_1F_Text_RegisteredFlannery,data/maps/LavaridgeTown_Gym_1F/scripts.inc,optional_npc,optional_interaction,no,"Optional guide, statue, or registration interaction.",,,,excluded,high,
dlg_ad170cc8edbfbd94,LavaridgeTown_Gym_1F_Text_FlanneryPostBattle,data/maps/LavaridgeTown_Gym_1F/scripts.inc,battle,main_story,yes,Resolved source reference,LavaridgeTown_Gym_1F_EventScript_Flannery,,,mandatory,high,
dlg_5a5854148d166b46,LavaridgeTown_Gym_1F_Text_GymStatue,data/maps/LavaridgeTown_Gym_1F/scripts.inc,interaction,optional_interaction,no,"Optional guide, statue, or registration interaction.",,,,excluded,high,
dlg_d53998996e21beaf,LavaridgeTown_Gym_1F_Text_GymStatueCertified,data/maps/LavaridgeTown_Gym_1F/scripts.inc,interaction,optional_interaction,no,"Optional guide, statue, or registration interaction.",,,,excluded,high,
dlg_8642e24df2fe2b19,LavaridgeTown_Mart_Text_LocalSpecialtyOnMtChimney,data/maps/LavaridgeTown_Mart/scripts.inc,main_story,excluded_candidate,no,Explicit false-positive rule or no mandatory script evidence,,,,excluded,medium,
dlg_d52382a80983e615,LilycoveCity_Text_TeamAquaBeenTrainingWailmer,data/maps/LilycoveCity/scripts.inc,main_story,excluded_candidate,no,Explicit false-positive rule or no mandatory script evidence,,,,excluded,medium,
dlg_26d186c08c2a3ece,LilycoveCity_Text_SomeonePuntedTeamAquaOut,data/maps/LilycoveCity/scripts.inc,main_story,excluded_candidate,no,Explicit false-positive rule or no mandatory script evidence,,,,excluded,medium,
dlg_b591a5f22cf4065f,LilycoveCity_Text_TeamAquaRenovatedCavern,data/maps/LilycoveCity/scripts.inc,main_story,excluded_candidate,no,Explicit false-positive rule or no mandatory script evidence,,,,excluded,medium,
dlg_a20c342b34fee9ab,LilycoveCity_Text_TeamAquaLotGoneForGood,data/maps/LilycoveCity/scripts.inc,main_story,excluded_candidate,no,Explicit false-positive rule or no mandatory script evidence,,,,excluded,medium,
dlg_88ffdc624b0d0b23,LilycoveCity_Text_HeardTowerCalledSkyPillar,data/maps/LilycoveCity/scripts.inc,main_story,excluded_candidate,no,Explicit false-positive rule or no mandatory script evidence,,,,excluded,medium,
dlg_0f3bf62ab8213d3f,LilycoveCity_CoveLilyMotel_1F_Text_NoGuestsWithTeamAqua,data/maps/LilycoveCity_CoveLilyMotel_1F/scripts.inc,main_story,excluded_candidate,no,Explicit false-positive rule or no mandatory script evidence,,,,excluded,medium,
dlg_44f775b1fbf29ce7,LittlerootTown_Text_OurNewHomeLetsGoInside,data/maps/LittlerootTown/scripts.inc,optional_npc,main_story,yes,Resolved source reference,LittlerootTown_EventScript_GoInsideWithMom,,,mandatory,high,
dlg_f4cbe5e2e14292ec,LittlerootTown_Text_WearTheseRunningShoes,data/maps/LittlerootTown/scripts.inc,optional_npc,main_story,yes,Resolved source reference,LittlerootTown_EventScript_GiveRunningShoes,,,mandatory,high,
dlg_51478fab2a0bb5f5,LittlerootTown_Text_SwitchShoesWithRunningShoes,data/maps/LittlerootTown/scripts.inc,optional_npc,main_story,yes,Resolved source reference,LittlerootTown_EventScript_GiveRunningShoes,,,mandatory,high,
dlg_4066e0935321b02a,LittlerootTown_Text_ExplainRunningShoes,data/maps/LittlerootTown/scripts.inc,optional_npc,main_story,yes,Resolved source reference,LittlerootTown_EventScript_GiveRunningShoes,,,mandatory,high,
dlg_c1b0de35fc067f84,LittlerootTown_Text_ComeHomeIfAnythingHappens,data/maps/LittlerootTown/scripts.inc,optional_npc,main_story,yes,Resolved source reference,LittlerootTown_EventScript_GiveRunningShoes,,,mandatory,high,
dlg_c9c9cfc75f70e8e3,PlayersHouse_1F_Text_IsntItNiceInHere,data/maps/LittlerootTown_BrendansHouse_1F/scripts.inc,optional_npc,main_story,yes,Resolved source reference,PlayersHouse_1F_EventScript_EnterHouseMovingIn,,,mandatory,high,
dlg_bd705cc8a504bb05,PlayersHouse_1F_Text_MoversPokemonGoSetClock,data/maps/LittlerootTown_BrendansHouse_1F/scripts.inc,main_story,main_story,yes,Resolved source reference,PlayersHouse_1F_EventScript_EnterHouseMovingIn,,,mandatory,high,
dlg_7cc549bb2e89937d,RivalsHouse_1F_Text_MayWhoAreYou,data/maps/LittlerootTown_MaysHouse_1F/scripts.inc,optional_npc,main_story,yes,Resolved source reference,LittlerootTown_MaysHouse_1F_EventScript_MeetRival,,,mandatory,high,
dlg_a1cf42cc4332f130,RivalsHouse_1F_Text_BrendanWhoAreYou,data/maps/LittlerootTown_MaysHouse_1F/scripts.inc,optional_npc,main_story,yes,Resolved source reference,LittlerootTown_BrendansHouse_1F_EventScript_MeetRival,,,mandatory,high,
dlg_1d101db90bb84a29,LittlerootTown_ProfessorBirchsLab_Text_BirchEnjoysRivalsHelpToo,data/maps/LittlerootTown_ProfessorBirchsLab/scripts.inc,optional_npc,optional_interaction,no,Optional or avoidable interaction branch.,,,,excluded,high,
dlg_e1f579546c78b2f9,LittlerootTown_ProfessorBirchsLab_Text_LikeYouToHavePokemon,data/maps/LittlerootTown_ProfessorBirchsLab/scripts.inc,optional_npc,main_story,yes,Resolved source reference,LittlerootTown_ProfessorBirchsLab_EventScript_GiveStarterEvent,,,mandatory,high,
dlg_a85b0bd843afd737,LittlerootTown_ProfessorBirchsLab_Text_WhyNotGiveNicknameToMon,data/maps/LittlerootTown_ProfessorBirchsLab/scripts.inc,optional_npc,main_story,yes,Resolved source reference,LittlerootTown_ProfessorBirchsLab_EventScript_GiveStarterEvent,,,mandatory,high,
dlg_2f2b9342597fd41c,LittlerootTown_ProfessorBirchsLab_Text_MightBeGoodIdeaToGoSeeRival,data/maps/LittlerootTown_ProfessorBirchsLab/scripts.inc,optional_npc,main_story,yes,Resolved source reference,LittlerootTown_ProfessorBirchsLab_EventScript_GoSeeRival,,,mandatory,high,
dlg_68038fa36d7bdaf1,LittlerootTown_ProfessorBirchsLab_Text_BirchRivalGoneHome,data/maps/LittlerootTown_ProfessorBirchsLab/scripts.inc,optional_npc,main_story,yes,Resolved source reference,LittlerootTown_ProfessorBirchsLab_EventScript_TryRatePokedexOrRegister,,,mandatory,high,
dlg_4a63ffe7b2d7349e,LittlerootTown_ProfessorBirchsLab_Text_HeardYouBeatRivalTakePokedex,data/maps/LittlerootTown_ProfessorBirchsLab/scripts.inc,menu,main_story,yes,Resolved source reference,LittlerootTown_ProfessorBirchsLab_EventScript_GivePokedex,,,mandatory,high,
dlg_a1f8f8a1ea390b2a,LittlerootTown_ProfessorBirchsLab_Text_ReceivedPokedex,data/maps/LittlerootTown_ProfessorBirchsLab/scripts.inc,menu,main_story,yes,Resolved source reference,LittlerootTown_ProfessorBirchsLab_EventScript_ReceivePokedex,,,mandatory,high,
dlg_dacb535b10f34d0d,LittlerootTown_ProfessorBirchsLab_Text_ExplainPokedex,data/maps/LittlerootTown_ProfessorBirchsLab/scripts.inc,menu,main_story,yes,Resolved source reference,LittlerootTown_ProfessorBirchsLab_EventScript_GivePokedex,,,mandatory,high,
dlg_33ff958910b07628,LittlerootTown_ProfessorBirchsLab_Text_CompletedDexChoosePokemon,data/maps/LittlerootTown_ProfessorBirchsLab/scripts.inc,optional_npc,postgame,no,Postgame or completed-Pokédex reward.,,,,excluded,high,
dlg_3c1a0a05178e3a15,LittlerootTown_ProfessorBirchsLab_Text_ReceivedJohtoStarter,data/maps/LittlerootTown_ProfessorBirchsLab/scripts.inc,optional_npc,postgame,no,Postgame or completed-Pokédex reward.,,,,excluded,high,
dlg_a38eb4c397119d58,LittlerootTown_ProfessorBirchsLab_Text_BetterLeaveOthersAlone,data/maps/LittlerootTown_ProfessorBirchsLab/scripts.inc,optional_npc,optional_interaction,no,Optional or avoidable interaction branch.,,,,excluded,high,
dlg_b7b5872359c32e1f,MagmaHideout_1F_Text_Grunt1PostBattle,data/maps/MagmaHideout_1F/scripts.inc,battle,trainer,no,Optional trainer post-battle dialogue.,,,,excluded,high,
dlg_6714deee994214c1,MagmaHideout_1F_Text_Grunt2PostBattle,data/maps/MagmaHideout_1F/scripts.inc,battle,trainer,no,Optional trainer post-battle dialogue.,,,,excluded,high,
dlg_978093870c0b570f,MagmaHideout_2F_1R_Text_Grunt14PostBattle,data/maps/MagmaHideout_2F_1R/scripts.inc,battle,trainer,no,Optional trainer post-battle dialogue.,,,,excluded,high,
dlg_39f942ab51c7632d,MagmaHideout_2F_1R_Text_Grunt3PostBattle,data/maps/MagmaHideout_2F_1R/scripts.inc,battle,trainer,no,Optional trainer post-battle dialogue.,,,,excluded,high,
dlg_60b3a33bf004e260,MagmaHideout_2F_1R_Text_Grunt4PostBattle,data/maps/MagmaHideout_2F_1R/scripts.inc,battle,trainer,no,Optional trainer post-battle dialogue.,,,,excluded,high,
dlg_d484ebb83d4f30f9,MagmaHideout_2F_1R_Text_Grunt5PostBattle,data/maps/MagmaHideout_2F_1R/scripts.inc,battle,trainer,no,Optional trainer post-battle dialogue.,,,,excluded,high,
dlg_c6f3251e2f040d5c,MagmaHideout_2F_2R_Text_Grunt15PostBattle,data/maps/MagmaHideout_2F_2R/scripts.inc,battle,trainer,no,Optional trainer post-battle dialogue.,,,,excluded,high,
dlg_c09f43657c600ca8,MagmaHideout_2F_2R_Text_Grunt6PostBattle,data/maps/MagmaHideout_2F_2R/scripts.inc,battle,trainer,no,Optional trainer post-battle dialogue.,,,,excluded,high,
dlg_f94d99672e3868e4,MagmaHideout_2F_2R_Text_Grunt7PostBattle,data/maps/MagmaHideout_2F_2R/scripts.inc,battle,trainer,no,Optional trainer post-battle dialogue.,,,,excluded,high,
dlg_91e97c48fc40e9d2,MagmaHideout_2F_2R_Text_Grunt8PostBattle,data/maps/MagmaHideout_2F_2R/scripts.inc,battle,trainer,no,Optional trainer post-battle dialogue.,,,,excluded,high,
dlg_2b05cae55cdb1020,MagmaHideout_3F_1R_Text_Grunt9PostBattle,data/maps/MagmaHideout_3F_1R/scripts.inc,battle,trainer,no,Optional trainer post-battle dialogue.,,,,excluded,high,
dlg_8673863e61012e92,MagmaHideout_3F_1R_Text_Grunt16PostBattle,data/maps/MagmaHideout_3F_1R/scripts.inc,battle,trainer,no,Optional trainer post-battle dialogue.,,,,excluded,high,
dlg_5247d819de18962f,MagmaHideout_3F_2R_Text_Grunt10PostBattle,data/maps/MagmaHideout_3F_2R/scripts.inc,battle,trainer,no,Optional trainer post-battle dialogue.,,,,excluded,high,
