rank,description_symbol,source_text,target_text_th,usage_count,max_width_font_normal_px,max_width_font_narrow_px,risk_score,risk_reasons
16,sNanabBerryDesc,"{POKEBLOCK} ingredient.
Plant in loamy soil
to grow NANAB.","วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ NANAB",1,85,85,10,mixed_thai_latin_or_number;control_code;proper_name_or_location;three_lines
17,sWepearBerryDesc,"{POKEBLOCK} ingredient.
Plant in loamy soil
to grow WEPEAR.","วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ WEPEAR",1,85,85,10,mixed_thai_latin_or_number;control_code;proper_name_or_location;three_lines
18,sPinapBerryDesc,"{POKEBLOCK} ingredient.
Plant in loamy soil
to grow PINAP.","วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ PINAP",1,85,85,10,mixed_thai_latin_or_number;control_code;proper_name_or_location;three_lines
19,sCornnBerryDesc,"{POKEBLOCK} ingredient.
Plant in loamy soil
to grow CORNN.","วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ CORNN",1,85,85,10,mixed_thai_latin_or_number;control_code;proper_name_or_location;three_lines
20,sMagostBerryDesc,"{POKEBLOCK} ingredient.
Plant in loamy soil
to grow MAGOST.","วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ MAGOST",1,85,85,10,mixed_thai_latin_or_number;control_code;proper_name_or_location;three_lines
21,sRabutaBerryDesc,"{POKEBLOCK} ingredient.
Plant in loamy soil
to grow RABUTA.","วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ RABUTA",1,85,85,10,mixed_thai_latin_or_number;control_code;proper_name_or_location;three_lines
22,sNomelBerryDesc,"{POKEBLOCK} ingredient.
Plant in loamy soil
to grow NOMEL.","วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ NOMEL",1,85,85,10,mixed_thai_latin_or_number;control_code;proper_name_or_location;three_lines
23,sSpelonBerryDesc,"{POKEBLOCK} ingredient.
Plant in loamy soil
to grow SPELON.","วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ SPELON",1,85,85,10,mixed_thai_latin_or_number;control_code;proper_name_or_location;three_lines
24,sPamtreBerryDesc,"{POKEBLOCK} ingredient.
Plant in loamy soil
to grow PAMTRE.","วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ PAMTRE",1,85,85,10,mixed_thai_latin_or_number;control_code;proper_name_or_location;three_lines
25,sWatmelBerryDesc,"{POKEBLOCK} ingredient.
Plant in loamy soil
to grow WATMEL.","วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ WATMEL",1,85,85,10,mixed_thai_latin_or_number;control_code;proper_name_or_location;three_lines
26,sDurinBerryDesc,"{POKEBLOCK} ingredient.
Plant in loamy soil
to grow DURIN.","วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ DURIN",1,85,85,10,mixed_thai_latin_or_number;control_code;proper_name_or_location;three_lines
27,sBelueBerryDesc,"{POKEBLOCK} ingredient.
Plant in loamy soil
to grow BELUE.","วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ BELUE",1,85,85,10,mixed_thai_latin_or_number;control_code;proper_name_or_location;three_lines
28,sPokeblockCaseDesc,"A case for holding
{POKEBLOCK}S made with
a BERRY BLENDER.","กล่องสำหรับเก็บ
{POKEBLOCK} ที่ทำด้วย
เครื่องปั่นเบอร์รี",1,94,85,10,mixed_thai_latin_or_number;control_code;proper_name_or_location;three_lines
29,sTM39Desc,"Stops the foe from
moving with rocks.
May lower SPEED.","ใช้หินหยุดคู่ต่อสู้
และลดความเร็ว",1,73,73,9,near_120px;tm_hm_description
30,sTM11Desc,"Raises the power of
FIRE-type moves
for 5 turns.","เพิ่มพลังท่าไฟ
นาน 5 เทิร์น",1,62,62,9,wide_line;mixed_thai_latin_or_number;numeric;tm_hm_description
