symbol,source_line,source_text_en,target_text_th,old_definition,encoded_definition,definition_status,final_revision_status
gText_MovesPPIncreased,421,{STR_VAR_1}'s PP increased.{PAUSE_UNTIL_PRESS},PP ของ {STR_VAR_1} เพิ่มขึ้น{PAUSE_UNTIL_PRESS},"const u8 gText_MovesPPIncreased[] = _(""{STR_VAR_1}'s PP increased.{PAUSE_UNTIL_PRESS}"");","const u8 gText_MovesPPIncreased[] = _(""PP {252}{25}{9}{0}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{12}{0}{0}{244}{4}{1} {STR_VAR_1} {252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{101}{0}{0}{244}{8}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{239}{0}{0}{244}{8}{1}{252}{25}{30}{0}{0}{244}{8}{1}{PAUSE_UNTIL_PRESS}"");",matched_and_replaced,approved_from_review_v1
gText_NoMoreThanVar1Pkmn,389,"No more than {STR_VAR_1} POKéMON
may enter.{PAUSE_UNTIL_PRESS}","ส่งโปเกมอนเข้าร่วมได้
ไม่เกิน {STR_VAR_1} ตัว{PAUSE_UNTIL_PRESS}","const u8 gText_NoMoreThanVar1Pkmn[] = _(""No more than {STR_VAR_1} POKéMON\nmay enter.{PAUSE_UNTIL_PRESS}"");","const u8 gText_NoMoreThanVar1Pkmn[] = _(""{252}{25}{81}{1}{0}{244}{6}{1}{252}{25}{12}{0}{0}{244}{4}{1}{252}{25}{0}{0}{0}{244}{5}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{85}{1}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{78}{1}{0}{244}{5}{1}{252}{25}{42}{0}{0}{244}{6}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{92}{1}{0}{244}{7}{1}\n{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{76}{1}{0}{244}{7}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{50}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1} {STR_VAR_1} {252}{25}{33}{2}{0}{244}{7}{1}{252}{25}{42}{0}{0}{244}{6}{1}{PAUSE_UNTIL_PRESS}"");",matched_and_replaced,approved_from_review_v1
gText_PCMailboxFull,392,Your PC's MAILBOX is full.{PAUSE_UNTIL_PRESS},กล่องจดหมายใน PC เต็ม{PAUSE_UNTIL_PRESS},"const u8 gText_PCMailboxFull[] = _(""Your PC's MAILBOX is full.{PAUSE_UNTIL_PRESS}"");","const u8 gText_PCMailboxFull[] = _(""{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{79}{1}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{12}{0}{0}{244}{4}{1}{252}{25}{13}{0}{0}{244}{6}{1}{252}{25}{25}{0}{0}{244}{7}{1}{252}{25}{46}{0}{0}{244}{7}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{39}{0}{0}{244}{6}{1}{252}{25}{4}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1} PC {252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{4}{2}{0}{244}{7}{1}{252}{25}{38}{0}{0}{244}{7}{1}{PAUSE_UNTIL_PRESS}"");",matched_and_replaced,approved_from_review_v1
gText_PPWasRestored,418,PP was restored.{PAUSE_UNTIL_PRESS},ฟื้นฟู PP แล้ว{PAUSE_UNTIL_PRESS},"const u8 gText_PPWasRestored[] = _(""PP was restored.{PAUSE_UNTIL_PRESS}"");","const u8 gText_PPWasRestored[] = _(""{252}{25}{116}{2}{0}{244}{8}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{219}{1}{0}{244}{8}{1} PP {252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{106}{1}{0}{244}{6}{1}{252}{25}{42}{0}{0}{244}{6}{1}{PAUSE_UNTIL_PRESS}"");",matched_and_replaced,approved_from_review_v1
gText_PkmnAdoresBaseVar2Fell,425,"{STR_VAR_1} adores you!
The base {STR_VAR_2} fell!{PAUSE_UNTIL_PRESS}","{STR_VAR_1} รักคุณมาก!
ค่า {STR_VAR_2} พื้นฐานลดลง!{PAUSE_UNTIL_PRESS}","const u8 gText_PkmnAdoresBaseVar2Fell[] = _(""{STR_VAR_1} adores you!\nThe base {STR_VAR_2} fell!{PAUSE_UNTIL_PRESS}"");","const u8 gText_PkmnAdoresBaseVar2Fell[] = _(""{STR_VAR_1} {252}{25}{46}{2}{0}{244}{5}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{142}{1}{0}{244}{7}{1}{252}{25}{24}{0}{0}{244}{10}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}!\n{252}{25}{57}{1}{0}{244}{7}{1}{252}{25}{6}{0}{0}{244}{4}{1} {STR_VAR_2} {252}{25}{117}{2}{0}{244}{9}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{21}{0}{0}{244}{5}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{41}{0}{0}{244}{6}{1}{252}{25}{25}{0}{0}{244}{7}{1}{252}{25}{41}{0}{0}{244}{6}{1}{252}{25}{12}{0}{0}{244}{4}{1}!{PAUSE_UNTIL_PRESS}"");",matched_and_replaced,approved_from_review_v1
gText_PkmnAlreadyHoldingItemSwitch,396,"{STR_VAR_1} is already holding
one {STR_VAR_2}.\pWould you like to switch the
two items?","{STR_VAR_1} ถือ
{STR_VAR_2} อยู่แล้ว\pต้องการสลับไอเทม
ทั้งสองชิ้นไหม?","const u8 gText_PkmnAlreadyHoldingItemSwitch[] = _(""{STR_VAR_1} is already holding\none {STR_VAR_2}.\pWould you like to switch the\ntwo items?"");","const u8 gText_PkmnAlreadyHoldingItemSwitch[] = _(""{STR_VAR_1} {252}{25}{10}{1}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}\n{STR_VAR_2} {252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{248}{1}{0}{244}{6}{1}{252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{106}{1}{0}{244}{6}{1}{252}{25}{42}{0}{0}{244}{6}{1}\p{252}{25}{93}{1}{0}{244}{7}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{12}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{40}{0}{0}{244}{5}{1}{252}{25}{45}{0}{0}{244}{6}{1}{252}{25}{47}{2}{0}{244}{6}{1}{252}{25}{31}{0}{0}{244}{7}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{28}{0}{0}{244}{7}{1}{252}{25}{38}{0}{0}{244}{7}{1}\n{252}{25}{143}{2}{0}{244}{8}{1}{252}{25}{12}{0}{0}{244}{4}{1}{252}{25}{45}{0}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{12}{0}{0}{244}{4}{1}{252}{25}{153}{2}{0}{244}{7}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{46}{0}{0}{244}{7}{1}{252}{25}{38}{0}{0}{244}{7}{1}?"");",matched_and_replaced,approved_from_review_v1
gText_PkmnAlreadyInBattle,383,"{STR_VAR_1} is already
in battle!{PAUSE_UNTIL_PRESS}","{STR_VAR_1} กำลัง
ต่อสู้อยู่แล้ว!{PAUSE_UNTIL_PRESS}","const u8 gText_PkmnAlreadyInBattle[] = _(""{STR_VAR_1} is already\nin battle!{PAUSE_UNTIL_PRESS}"");","const u8 gText_PkmnAlreadyInBattle[] = _(""{STR_VAR_1} {252}{25}{111}{1}{0}{244}{10}{1}{252}{25}{47}{2}{0}{244}{6}{1}{252}{25}{12}{0}{0}{244}{4}{1}\n{252}{25}{66}{1}{0}{244}{7}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{142}{2}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{248}{1}{0}{244}{6}{1}{252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{106}{1}{0}{244}{6}{1}{252}{25}{42}{0}{0}{244}{6}{1}!{PAUSE_UNTIL_PRESS}"");",matched_and_replaced,approved_from_review_v1
gText_PkmnAlreadyKnows,411,"{STR_VAR_1} already knows
{STR_VAR_2}.{PAUSE_UNTIL_PRESS}","{STR_VAR_1} รู้จักท่า
{STR_VAR_2} อยู่แล้ว{PAUSE_UNTIL_PRESS}","const u8 gText_PkmnAlreadyKnows[] = _(""{STR_VAR_1} already knows\n{STR_VAR_2}.{PAUSE_UNTIL_PRESS}"");","const u8 gText_PkmnAlreadyKnows[] = _(""{STR_VAR_1} {252}{25}{144}{2}{0}{244}{5}{1}{252}{25}{28}{2}{0}{244}{6}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{68}{1}{0}{244}{7}{1}{252}{25}{6}{0}{0}{244}{4}{1}\n{STR_VAR_2} {252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{248}{1}{0}{244}{6}{1}{252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{106}{1}{0}{244}{6}{1}{252}{25}{42}{0}{0}{244}{6}{1}{PAUSE_UNTIL_PRESS}"");",matched_and_replaced,revised_after_semantic_review
gText_PkmnAlreadySelected,384,"{STR_VAR_1} has already been
selected.{PAUSE_UNTIL_PRESS}","เลือก {STR_VAR_1}
ไว้แล้ว{PAUSE_UNTIL_PRESS}","const u8 gText_PkmnAlreadySelected[] = _(""{STR_VAR_1} has already been\nselected.{PAUSE_UNTIL_PRESS}"");","const u8 gText_PkmnAlreadySelected[] = _(""{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{22}{1}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{8}{0}{0}{244}{6}{1} {STR_VAR_1}\n{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{107}{1}{0}{244}{6}{1}{252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{106}{1}{0}{244}{6}{1}{252}{25}{42}{0}{0}{244}{6}{1}{PAUSE_UNTIL_PRESS}"");",matched_and_replaced,approved_from_review_v1
gText_PkmnBaseVar2StatIncreased,423,"{STR_VAR_1}'s base {STR_VAR_2}
stat was raised.{PAUSE_UNTIL_PRESS}","ค่า {STR_VAR_2} พื้นฐานของ
{STR_VAR_1} เพิ่มขึ้น!{PAUSE_UNTIL_PRESS}","const u8 gText_PkmnBaseVar2StatIncreased[] = _(""{STR_VAR_1}'s base {STR_VAR_2}\nstat was raised.{PAUSE_UNTIL_PRESS}"");","const u8 gText_PkmnBaseVar2StatIncreased[] = _(""{252}{25}{57}{1}{0}{244}{7}{1}{252}{25}{6}{0}{0}{244}{4}{1} {STR_VAR_2} {252}{25}{117}{2}{0}{244}{9}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{21}{0}{0}{244}{5}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{9}{0}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{12}{0}{0}{244}{4}{1}\n{STR_VAR_1} {252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{101}{0}{0}{244}{8}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{239}{0}{0}{244}{8}{1}{252}{25}{30}{0}{0}{244}{8}{1}!{PAUSE_UNTIL_PRESS}"");",matched_and_replaced,approved_from_review_v1
