ui_id,symbol,source_text,target_text_th,party_profile_id,strictest_profile_id,party_text_origin,hard_width_px,page_count,target_lines_per_page,expanded_line_widths_px,max_expanded_width_px,remaining_px,dynamic_placeholders,placeholder_tokens,source_control_tokens,target_control_tokens,test_expansion,thai_run_count,shaped_command_bytes,shared_cross_screen,left_origin_risk,semantic_note,final_revision_status,translation_review_status,source_injection_status,token_result,shaper_result,width_result,rom_build_status,rom_sha256,visual_qa_status,qa_note
UI0296,gText_MovesPPIncreased,{STR_VAR_1}'s PP increased.{PAUSE_UNTIL_PRESS},PP ของ {STR_VAR_1} เพิ่มขึ้น{PAUSE_UNTIL_PRESS},PM_SYSTEM_FULL_NORMAL_223x32_X1,PM_SYSTEM_FULL_NORMAL_223x32_X1,"x=1, y=1",223,1,1,144,144,79,yes,{STR_VAR_1},{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},"{""STR_VAR_1"": ""WWWWWWWWWWWW""}",2,64,no,no,STR_VAR_1 คือชื่อท่า,approved_from_review_v1,approved,pass,pass,pass,pass,pass,5e6a746ec6f48fee32a9cec80b7d2002a3bc8263b36fd901fbc4b1e9c5c9a21e,proof_passed,"Automated source, runtime-token, Thai shaper, dynamic expansion, page-layout, strict-width, and normal ROM build checks passed. Runtime visual QA passed from the user-confirmed 17-page Batch 2C gallery (gallery page(s) 5; row code(s) R13). All text pixels were complete and readable with no clipping, overflow, broken glyphs, or overlapping Thai vowels/tone marks. Decorative border/tile artifacts seen outside some QA text windows belong to the temporary gallery harness and do not overlap the tested text area."
UI0318,gText_NoMoreThanVar1Pkmn,"No more than {STR_VAR_1} POKéMON
may enter.{PAUSE_UNTIL_PRESS}","ส่งโปเกมอนเข้าร่วมได้
ไม่เกิน {STR_VAR_1} ตัว{PAUSE_UNTIL_PRESS}",PM_SYSTEM_FULL_NORMAL_223x32_X1,PM_SYSTEM_FULL_NORMAL_223x32_X1,"x=1, y=1",223,1,2,98;56,98,125,yes,{STR_VAR_1},{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},"{""STR_VAR_1"": ""6""}",3,192,no,no,จำกัดจำนวนโปเกมอนที่เข้าร่วม,approved_from_review_v1,approved,pass,pass,pass,pass,pass,5e6a746ec6f48fee32a9cec80b7d2002a3bc8263b36fd901fbc4b1e9c5c9a21e,proof_passed,"Automated source, runtime-token, Thai shaper, dynamic expansion, page-layout, strict-width, and normal ROM build checks passed. Runtime visual QA passed from the user-confirmed 17-page Batch 2C gallery (gallery page(s) 5; row code(s) R14). All text pixels were complete and readable with no clipping, overflow, broken glyphs, or overlapping Thai vowels/tone marks. Decorative border/tile artifacts seen outside some QA text windows belong to the temporary gallery harness and do not overlap the tested text area."
UI0344,gText_PCMailboxFull,Your PC's MAILBOX is full.{PAUSE_UNTIL_PRESS},กล่องจดหมายใน PC เต็ม{PAUSE_UNTIL_PRESS},PM_SYSTEM_FULL_NORMAL_223x32_X1,PM_SYSTEM_FULL_NORMAL_223x32_X1,"x=1, y=1",223,1,1,109,109,114,no,,{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},{},2,120,no,no,MAILBOX ใน PC เต็ม,approved_from_review_v1,approved,pass,pass,pass,pass,pass,5e6a746ec6f48fee32a9cec80b7d2002a3bc8263b36fd901fbc4b1e9c5c9a21e,proof_passed,"Automated source, runtime-token, Thai shaper, dynamic expansion, page-layout, strict-width, and normal ROM build checks passed. Runtime visual QA passed from the user-confirmed 17-page Batch 2C gallery (gallery page(s) 5; row code(s) R15). All text pixels were complete and readable with no clipping, overflow, broken glyphs, or overlapping Thai vowels/tone marks. Decorative border/tile artifacts seen outside some QA text windows belong to the temporary gallery harness and do not overlap the tested text area."
UI0345,gText_PPWasRestored,PP was restored.{PAUSE_UNTIL_PRESS},ฟื้นฟู PP แล้ว{PAUSE_UNTIL_PRESS},PM_SYSTEM_FULL_NORMAL_223x32_X1,PM_SYSTEM_FULL_NORMAL_223x32_X1,"x=1, y=1",223,1,1,61,61,162,no,,{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},{},2,48,no,no,ค่า PP ถูกฟื้นฟู,approved_from_review_v1,approved,pass,pass,pass,pass,pass,5e6a746ec6f48fee32a9cec80b7d2002a3bc8263b36fd901fbc4b1e9c5c9a21e,proof_passed,"Automated source, runtime-token, Thai shaper, dynamic expansion, page-layout, strict-width, and normal ROM build checks passed. Runtime visual QA passed from the user-confirmed 17-page Batch 2C gallery (gallery page(s) 6; row code(s) R16). All text pixels were complete and readable with no clipping, overflow, broken glyphs, or overlapping Thai vowels/tone marks. Decorative border/tile artifacts seen outside some QA text windows belong to the temporary gallery harness and do not overlap the tested text area."
UI0352,gText_PkmnAdoresBaseVar2Fell,"{STR_VAR_1} adores you!
The base {STR_VAR_2} fell!{PAUSE_UNTIL_PRESS}","{STR_VAR_1} รักคุณมาก!
ค่า {STR_VAR_2} พื้นฐานลดลง!{PAUSE_UNTIL_PRESS}",PM_SYSTEM_FULL_NORMAL_223x32_X1,PM_SYSTEM_FULL_NORMAL_223x32_X1,"x=1, y=1",223,1,2,112;126,126,97,yes,{STR_VAR_1};{STR_VAR_2},{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},"{""STR_VAR_1"": ""WWWWWWWWWW"", ""STR_VAR_2"": ""WWWWWWWW""}",3,144,no,no,ผลเบอร์รีเพิ่มความสนิทและลดค่าพื้นฐาน,approved_from_review_v1,approved,pass,pass,pass,pass,pass,5e6a746ec6f48fee32a9cec80b7d2002a3bc8263b36fd901fbc4b1e9c5c9a21e,proof_passed,"Automated source, runtime-token, Thai shaper, dynamic expansion, page-layout, strict-width, and normal ROM build checks passed. Runtime visual QA passed from the user-confirmed 17-page Batch 2C gallery (gallery page(s) 6; row code(s) R17). All text pixels were complete and readable with no clipping, overflow, broken glyphs, or overlapping Thai vowels/tone marks. Decorative border/tile artifacts seen outside some QA text windows belong to the temporary gallery harness and do not overlap the tested text area."
UI0353,gText_PkmnAlreadyHoldingItemSwitch,"{STR_VAR_1} is already holding
one {STR_VAR_2}.\pWould you like to switch the
two items?","{STR_VAR_1} ถือ
{STR_VAR_2} อยู่แล้ว\pต้องการสลับไอเทม
ทั้งสองชิ้นไหม?",PM_SYSTEM_FULL_NORMAL_223x32_X1,PM_SYSTEM_FULL_NORMAL_223x32_X1,"x=1, y=1",223,2,2;2,75;118;81;69,118,105,yes,{STR_VAR_1};{STR_VAR_2},\p,\p,"{""STR_VAR_1"": ""WWWWWWWWWW"", ""STR_VAR_2"": ""WWWWWWWWWWWWWW""}",4,248,no,no,ถามสลับไอเทมที่ถืออยู่กับไอเทมใหม่,approved_from_review_v1,approved,pass,pass,pass,pass,pass,5e6a746ec6f48fee32a9cec80b7d2002a3bc8263b36fd901fbc4b1e9c5c9a21e,proof_passed,"Automated source, runtime-token, Thai shaper, dynamic expansion, page-layout, strict-width, and normal ROM build checks passed. Runtime visual QA passed from the user-confirmed 17-page Batch 2C gallery (gallery page(s) 6, 7; row code(s) R18, R19). All text pixels were complete and readable with no clipping, overflow, broken glyphs, or overlapping Thai vowels/tone marks. Decorative border/tile artifacts seen outside some QA text windows belong to the temporary gallery harness and do not overlap the tested text area."
UI0354,gText_PkmnAlreadyInBattle,"{STR_VAR_1} is already
in battle!{PAUSE_UNTIL_PRESS}","{STR_VAR_1} กำลัง
ต่อสู้อยู่แล้ว!{PAUSE_UNTIL_PRESS}",PM_SYSTEM_FULL_NORMAL_223x32_X1,PM_SYSTEM_FULL_NORMAL_223x32_X1,"x=1, y=1",223,1,2,83;54,83,140,yes,{STR_VAR_1},{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},"{""STR_VAR_1"": ""WWWWWWWWWW""}",2,88,no,no,โปเกมอนถูกส่งลงสนามอยู่แล้ว,approved_from_review_v1,approved,pass,pass,pass,pass,pass,5e6a746ec6f48fee32a9cec80b7d2002a3bc8263b36fd901fbc4b1e9c5c9a21e,proof_passed,"Automated source, runtime-token, Thai shaper, dynamic expansion, page-layout, strict-width, and normal ROM build checks passed. Runtime visual QA passed from the user-confirmed 17-page Batch 2C gallery (gallery page(s) 7; row code(s) R20). All text pixels were complete and readable with no clipping, overflow, broken glyphs, or overlapping Thai vowels/tone marks. Decorative border/tile artifacts seen outside some QA text windows belong to the temporary gallery harness and do not overlap the tested text area."
UI0355,gText_PkmnAlreadyKnows,"{STR_VAR_1} already knows
{STR_VAR_2}.{PAUSE_UNTIL_PRESS}","{STR_VAR_1} รู้จักท่า
{STR_VAR_2} อยู่แล้ว{PAUSE_UNTIL_PRESS}",PM_SYSTEM_FULL_NORMAL_223x32_X1,PM_SYSTEM_FULL_NORMAL_223x32_X1,"x=1, y=1",223,1,2,91;106,106,117,yes,{STR_VAR_1};{STR_VAR_2},{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},"{""STR_VAR_1"": ""WWWWWWWWWW"", ""STR_VAR_2"": ""WWWWWWWWWWWW""}",2,80,no,no,โปเกมอนรู้จักท่านี้อยู่แล้ว; ใช้ “รู้จักท่า” ให้เป็นธรรมชาติและตรงบริบท,revised_after_semantic_review,approved,pass,pass,pass,pass,pass,5e6a746ec6f48fee32a9cec80b7d2002a3bc8263b36fd901fbc4b1e9c5c9a21e,proof_passed,"Automated source, runtime-token, Thai shaper, dynamic expansion, page-layout, strict-width, and normal ROM build checks passed. Runtime visual QA passed from the user-confirmed 17-page Batch 2C gallery (gallery page(s) 7; row code(s) R21). All text pixels were complete and readable with no clipping, overflow, broken glyphs, or overlapping Thai vowels/tone marks. Decorative border/tile artifacts seen outside some QA text windows belong to the temporary gallery harness and do not overlap the tested text area."
UI0356,gText_PkmnAlreadySelected,"{STR_VAR_1} has already been
selected.{PAUSE_UNTIL_PRESS}","เลือก {STR_VAR_1}
ไว้แล้ว{PAUSE_UNTIL_PRESS}",PM_SYSTEM_FULL_NORMAL_223x32_X1,PM_SYSTEM_FULL_NORMAL_223x32_X1,"x=1, y=1",223,1,2,85;31,85,138,yes,{STR_VAR_1},{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},"{""STR_VAR_1"": ""WWWWWWWWWW""}",2,72,no,no,โปเกมอนถูกเลือกในลำดับเข้าร่วมแล้ว,approved_from_review_v1,approved,pass,pass,pass,pass,pass,5e6a746ec6f48fee32a9cec80b7d2002a3bc8263b36fd901fbc4b1e9c5c9a21e,proof_passed,"Automated source, runtime-token, Thai shaper, dynamic expansion, page-layout, strict-width, and normal ROM build checks passed. Runtime visual QA passed from the user-confirmed 17-page Batch 2C gallery (gallery page(s) 8; row code(s) R22). All text pixels were complete and readable with no clipping, overflow, broken glyphs, or overlapping Thai vowels/tone marks. Decorative border/tile artifacts seen outside some QA text windows belong to the temporary gallery harness and do not overlap the tested text area."
UI0357,gText_PkmnBaseVar2StatIncreased,"{STR_VAR_1}'s base {STR_VAR_2}
stat was raised.{PAUSE_UNTIL_PRESS}","ค่า {STR_VAR_2} พื้นฐานของ
{STR_VAR_1} เพิ่มขึ้น!{PAUSE_UNTIL_PRESS}",PM_SYSTEM_FULL_NORMAL_223x32_X1,PM_SYSTEM_FULL_NORMAL_223x32_X1,"x=1, y=1",223,1,2,115;102,115,108,yes,{STR_VAR_1};{STR_VAR_2},{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},"{""STR_VAR_1"": ""WWWWWWWWWW"", ""STR_VAR_2"": ""WWWWWWWW""}",3,120,no,no,ผลวิตามินเพิ่มค่าพื้นฐานของสเตตัส,approved_from_review_v1,approved,pass,pass,pass,pass,pass,5e6a746ec6f48fee32a9cec80b7d2002a3bc8263b36fd901fbc4b1e9c5c9a21e,proof_passed,"Automated source, runtime-token, Thai shaper, dynamic expansion, page-layout, strict-width, and normal ROM build checks passed. Runtime visual QA passed from the user-confirmed 17-page Batch 2C gallery (gallery page(s) 8; row code(s) R23). All text pixels were complete and readable with no clipping, overflow, broken glyphs, or overlapping Thai vowels/tone marks. Decorative border/tile artifacts seen outside some QA text windows belong to the temporary gallery harness and do not overlap the tested text area."
UI0358,gText_PkmnBecameHealthy,{STR_VAR_1} became healthy.{PAUSE_UNTIL_PRESS},{STR_VAR_1} หายเป็นปกติแล้ว{PAUSE_UNTIL_PRESS},PM_SYSTEM_FULL_NORMAL_223x32_X1,PM_SYSTEM_FULL_NORMAL_223x32_X1,"x=1, y=1",223,1,1,138,138,85,yes,{STR_VAR_1},{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},"{""STR_VAR_1"": ""WWWWWWWWWW""}",1,96,no,no,รักษาสถานะผิดปกติทั้งหมด,approved_from_review_v1,approved,pass,pass,pass,pass,pass,5e6a746ec6f48fee32a9cec80b7d2002a3bc8263b36fd901fbc4b1e9c5c9a21e,proof_passed,"Automated source, runtime-token, Thai shaper, dynamic expansion, page-layout, strict-width, and normal ROM build checks passed. Runtime visual QA passed from the user-confirmed 17-page Batch 2C gallery (gallery page(s) 8; row code(s) R24). All text pixels were complete and readable with no clipping, overflow, broken glyphs, or overlapping Thai vowels/tone marks. Decorative border/tile artifacts seen outside some QA text windows belong to the temporary gallery harness and do not overlap the tested text area."
UI0359,gText_PkmnBurnHealed,{STR_VAR_1}'s burn was healed.{PAUSE_UNTIL_PRESS},"{STR_VAR_1} หายจาก
อาการไหม้แล้ว{PAUSE_UNTIL_PRESS}",PM_SYSTEM_FULL_NORMAL_223x32_X1,PM_SYSTEM_FULL_NORMAL_223x32_X1,"x=1, y=1",223,1,2,96;64,96,127,yes,{STR_VAR_1},{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},"{""STR_VAR_1"": ""WWWWWWWWWW""}",2,136,no,no,รักษาสถานะ Burn; ใช้ “อาการไหม้” แทน “แผลไหม้” เพื่อสื่อสถานะผิดปกติ,revised_after_semantic_review,approved,pass,pass,pass,pass,pass,5e6a746ec6f48fee32a9cec80b7d2002a3bc8263b36fd901fbc4b1e9c5c9a21e,proof_passed,"Automated source, runtime-token, Thai shaper, dynamic expansion, page-layout, strict-width, and normal ROM build checks passed. Runtime visual QA passed from the user-confirmed 17-page Batch 2C gallery (gallery page(s) 9; row code(s) R25). All text pixels were complete and readable with no clipping, overflow, broken glyphs, or overlapping Thai vowels/tone marks. Decorative border/tile artifacts seen outside some QA text windows belong to the temporary gallery harness and do not overlap the tested text area."
