gallery_page,gallery_title,slot,row_code,ui_id,symbol,symbol_page,symbol_page_count,profile_id,text_origin,window_width_px,effective_width_px,expanded_page_text,visual_text,rendering_result,visual_qa_status,evidence_source,evidence_note
4,B2C 04/17 R10-R12,2,R11,UI0256,gText_MailTransferredFromMailbox,1,1,PARTY_223_X1,"x=1, y=1",224,223,"ย้ายจดหมายออกจาก
กล่องจดหมายแล้ว{PAUSE_UNTIL_PRESS}","ย้ายจดหมายออกจาก
กล่องจดหมายแล้ว",pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 4/17, row R11. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
4,B2C 04/17 R10-R12,3,R12,UI0282,gText_MoveNotLearned,1,1,PARTY_223_X1,"x=1, y=1",224,223,"WWWWWWWWWW ไม่ได้เรียนรู้
WWWWWWWWWWWW{PAUSE_UNTIL_PRESS}","WWWWWWWWWW ไม่ได้เรียนรู้
WWWWWWWWWWWW",pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 4/17, row R12. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
5,B2C 05/17 R13-R15,1,R13,UI0296,gText_MovesPPIncreased,1,1,PARTY_223_X1,"x=1, y=1",224,223,PP ของ WWWWWWWWWWWW เพิ่มขึ้น{PAUSE_UNTIL_PRESS},PP ของ WWWWWWWWWWWW เพิ่มขึ้น,pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 5/17, row R13. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
5,B2C 05/17 R13-R15,2,R14,UI0318,gText_NoMoreThanVar1Pkmn,1,1,PARTY_223_X1,"x=1, y=1",224,223,"ส่งโปเกมอนเข้าร่วมได้
ไม่เกิน 6 ตัว{PAUSE_UNTIL_PRESS}","ส่งโปเกมอนเข้าร่วมได้
ไม่เกิน 6 ตัว",pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 5/17, row R14. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
5,B2C 05/17 R13-R15,3,R15,UI0344,gText_PCMailboxFull,1,1,PARTY_223_X1,"x=1, y=1",224,223,กล่องจดหมายใน PC เต็ม{PAUSE_UNTIL_PRESS},กล่องจดหมายใน PC เต็ม,pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 5/17, row R15. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
6,B2C 06/17 R16-R18,1,R16,UI0345,gText_PPWasRestored,1,1,PARTY_223_X1,"x=1, y=1",224,223,ฟื้นฟู PP แล้ว{PAUSE_UNTIL_PRESS},ฟื้นฟู PP แล้ว,pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 6/17, row R16. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
6,B2C 06/17 R16-R18,2,R17,UI0352,gText_PkmnAdoresBaseVar2Fell,1,1,PARTY_223_X1,"x=1, y=1",224,223,"WWWWWWWWWW รักคุณมาก!
ค่า WWWWWWWW พื้นฐานลดลง!{PAUSE_UNTIL_PRESS}","WWWWWWWWWW รักคุณมาก!
ค่า WWWWWWWW พื้นฐานลดลง!",pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 6/17, row R17. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
6,B2C 06/17 R16-R18,3,R18,UI0353,gText_PkmnAlreadyHoldingItemSwitch,1,2,PARTY_223_X1,"x=1, y=1",224,223,"WWWWWWWWWW ถือ
WWWWWWWWWWWWWW อยู่แล้ว","WWWWWWWWWW ถือ
WWWWWWWWWWWWWW อยู่แล้ว",pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 6/17, row R18. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
7,B2C 07/17 R19-R21,1,R19,UI0353,gText_PkmnAlreadyHoldingItemSwitch,2,2,PARTY_223_X1,"x=1, y=1",224,223,"ต้องการสลับไอเทม
ทั้งสองชิ้นไหม?","ต้องการสลับไอเทม
ทั้งสองชิ้นไหม?",pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 7/17, row R19. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
7,B2C 07/17 R19-R21,2,R20,UI0354,gText_PkmnAlreadyInBattle,1,1,PARTY_223_X1,"x=1, y=1",224,223,"WWWWWWWWWW กำลัง
ต่อสู้อยู่แล้ว!{PAUSE_UNTIL_PRESS}","WWWWWWWWWW กำลัง
ต่อสู้อยู่แล้ว!",pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 7/17, row R20. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
7,B2C 07/17 R19-R21,3,R21,UI0355,gText_PkmnAlreadyKnows,1,1,PARTY_223_X1,"x=1, y=1",224,223,"WWWWWWWWWW รู้จักท่า
WWWWWWWWWWWW อยู่แล้ว{PAUSE_UNTIL_PRESS}","WWWWWWWWWW รู้จักท่า
WWWWWWWWWWWW อยู่แล้ว",pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 7/17, row R21. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
8,B2C 08/17 R22-R24,1,R22,UI0356,gText_PkmnAlreadySelected,1,1,PARTY_223_X1,"x=1, y=1",224,223,"เลือก WWWWWWWWWW
ไว้แล้ว{PAUSE_UNTIL_PRESS}","เลือก WWWWWWWWWW
ไว้แล้ว",pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 8/17, row R22. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
8,B2C 08/17 R22-R24,2,R23,UI0357,gText_PkmnBaseVar2StatIncreased,1,1,PARTY_223_X1,"x=1, y=1",224,223,"ค่า WWWWWWWW พื้นฐานของ
WWWWWWWWWW เพิ่มขึ้น!{PAUSE_UNTIL_PRESS}","ค่า WWWWWWWW พื้นฐานของ
WWWWWWWWWW เพิ่มขึ้น!",pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 8/17, row R23. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
8,B2C 08/17 R22-R24,3,R24,UI0358,gText_PkmnBecameHealthy,1,1,PARTY_223_X1,"x=1, y=1",224,223,WWWWWWWWWW หายเป็นปกติแล้ว{PAUSE_UNTIL_PRESS},WWWWWWWWWW หายเป็นปกติแล้ว,pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 8/17, row R24. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
9,B2C 09/17 R25-R27,1,R25,UI0359,gText_PkmnBurnHealed,1,1,PARTY_223_X1,"x=1, y=1",224,223,"WWWWWWWWWW หายจาก
อาการไหม้แล้ว{PAUSE_UNTIL_PRESS}","WWWWWWWWWW หายจาก
อาการไหม้แล้ว",pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 9/17, row R25. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
9,B2C 09/17 R25-R27,2,R26,UI0362,gText_PkmnCantLearnMove,1,2,PARTY_223_X1,"x=1, y=1",224,223,"WWWWWWWWWW กับ WWWWWWWWWWWW
เข้ากันไม่ได้","WWWWWWWWWW กับ WWWWWWWWWWWW
เข้ากันไม่ได้",pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 9/17, row R26. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
9,B2C 09/17 R25-R27,3,R27,UI0362,gText_PkmnCantLearnMove,2,2,PARTY_223_X1,"x=1, y=1",224,223,"จึงเรียนรู้
WWWWWWWWWWWW ไม่ได้{PAUSE_UNTIL_PRESS}","จึงเรียนรู้
WWWWWWWWWWWW ไม่ได้",pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 9/17, row R27. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
10,B2C 10/17 R28-R30,1,R28,UI0363,gText_PkmnCantParticipate,1,1,PARTY_223_X1,"x=1, y=1",224,223,โปเกมอนตัวนั้นเข้าร่วมไม่ได้{PAUSE_UNTIL_PRESS},โปเกมอนตัวนั้นเข้าร่วมไม่ได้,pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 10/17, row R28. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
10,B2C 10/17 R28-R30,2,R29,UI0364,gText_PkmnCantSwitchOut,1,1,PARTY_223_X1,"x=1, y=1",224,223,"สลับ WWWWWWWWWW
ออกไม่ได้!{PAUSE_UNTIL_PRESS}","สลับ WWWWWWWWWW
ออกไม่ได้!",pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 10/17, row R29. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
10,B2C 10/17 R28-R30,3,R30,UI0365,gText_PkmnCuredOfParalysis,1,1,PARTY_223_X1,"x=1, y=1",224,223,"WWWWWWWWWW หายจาก
อาการอัมพาตแล้ว{PAUSE_UNTIL_PRESS}","WWWWWWWWWW หายจาก
อาการอัมพาตแล้ว",pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 10/17, row R30. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
11,B2C 11/17 R31-R33,1,R31,UI0366,gText_PkmnCuredOfPoison,1,1,PARTY_223_X1,"x=1, y=1",224,223,"WWWWWWWWWW หายจาก
พิษแล้ว{PAUSE_UNTIL_PRESS}","WWWWWWWWWW หายจาก
พิษแล้ว",pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 11/17, row R31. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
11,B2C 11/17 R31-R33,2,R32,UI0368,gText_PkmnFriendlyBaseVar2CantFall,1,1,PARTY_223_X1,"x=1, y=1",224,223,"WWWWWWWWWW สนิทกับคุณขึ้น
ค่า WWWWWWWW พื้นฐานลดลงไม่ได้!{PAUSE_UNTIL_PRESS}","WWWWWWWWWW สนิทกับคุณขึ้น
ค่า WWWWWWWW พื้นฐานลดลงไม่ได้!",pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 11/17, row R32. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
11,B2C 11/17 R31-R33,3,R33,UI0369,gText_PkmnFriendlyBaseVar2Fell,1,1,PARTY_223_X1,"x=1, y=1",224,223,"WWWWWWWWWW สนิทกับคุณขึ้น
ค่า WWWWWWWW พื้นฐานลดลง!{PAUSE_UNTIL_PRESS}","WWWWWWWWWW สนิทกับคุณขึ้น
ค่า WWWWWWWW พื้นฐานลดลง!",pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 11/17, row R33. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
12,B2C 12/17 R34-R36,1,R34,UI0370,gText_PkmnGotOverInfatuation,1,1,PARTY_223_X1,"x=1, y=1",224,223,"WWWWWWWWWW หายจาก
อาการหลงรักแล้ว{PAUSE_UNTIL_PRESS}","WWWWWWWWWW หายจาก
อาการหลงรักแล้ว",pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 12/17, row R34. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
12,B2C 12/17 R34-R36,2,R35,UI0371,gText_PkmnHPRestoredByVar2,1,1,PARTY_223_X1,"x=1, y=1",224,223,"HP ของ WWWWWWWWWW ฟื้นขึ้น
999 หน่วย{PAUSE_UNTIL_PRESS}","HP ของ WWWWWWWWWW ฟื้นขึ้น
999 หน่วย",pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 12/17, row R35. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
12,B2C 12/17 R34-R36,3,R36,UI0372,gText_PkmnHasNoEnergy,1,1,PARTY_223_X1,"x=1, y=1",224,223,"WWWWWWWWWW ไม่มีแรง
ต่อสู้แล้ว!{PAUSE_UNTIL_PRESS}","WWWWWWWWWW ไม่มีแรง
ต่อสู้แล้ว!",pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 12/17, row R36. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
13,B2C 13/17 R37-R39,1,R37,UI0373,gText_PkmnHoldingItemCantHoldMail,1,1,PARTY_223_X1,"x=1, y=1",224,223,"โปเกมอนนี้ถือไอเทมอยู่
จึงถือจดหมายไม่ได้{PAUSE_UNTIL_PRESS}","โปเกมอนนี้ถือไอเทมอยู่
จึงถือจดหมายไม่ได้",pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 13/17, row R37. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
13,B2C 13/17 R37-R39,2,R38,UI0377,gText_PkmnNeedsToReplaceMove,1,3,PARTY_223_X1,"x=1, y=1",224,223,"WWWWWWWWWW อยากเรียนรู้
WWWWWWWWWWWW","WWWWWWWWWW อยากเรียนรู้
WWWWWWWWWWWW",pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 13/17, row R38. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
13,B2C 13/17 R37-R39,3,R39,UI0377,gText_PkmnNeedsToReplaceMove,2,3,PARTY_223_X1,"x=1, y=1",224,223,"แต่ WWWWWWWWWW รู้จักท่า
ครบสี่ท่าแล้ว","แต่ WWWWWWWWWW รู้จักท่า
ครบสี่ท่าแล้ว",pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 13/17, row R39. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
14,B2C 14/17 R40-R42,1,R40,UI0377,gText_PkmnNeedsToReplaceMove,3,3,PARTY_223_X1,"x=1, y=1",224,223,"จะลบท่าหนึ่งแล้วแทนด้วย
WWWWWWWWWWWW ไหม?","จะลบท่าหนึ่งแล้วแทนด้วย
WWWWWWWWWWWW ไหม?",pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 14/17, row R40. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
14,B2C 14/17 R40-R42,2,R41,UI0378,gText_PkmnNotHolding,1,1,PARTY_223_X1,"x=1, y=1",224,223,"WWWWWWWWWW ไม่ได้ถือ
อะไรอยู่{PAUSE_UNTIL_PRESS}","WWWWWWWWWW ไม่ได้ถือ
อะไรอยู่",pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 14/17, row R41. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
14,B2C 14/17 R40-R42,3,R42,UI0380,gText_PkmnSnappedOutOfConfusion,1,1,PARTY_223_X1,"x=1, y=1",224,223,"WWWWWWWWWW หายจาก
อาการสับสนแล้ว{PAUSE_UNTIL_PRESS}","WWWWWWWWWW หายจาก
อาการสับสนแล้ว",pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 14/17, row R42. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
15,B2C 15/17 R43-R45,1,R43,UI0381,gText_PkmnThawedOut,1,1,PARTY_223_X1,"x=1, y=1",224,223,"WWWWWWWWWW หายจาก
อาการแช่แข็งแล้ว{PAUSE_UNTIL_PRESS}","WWWWWWWWWW หายจาก
อาการแช่แข็งแล้ว",pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 15/17, row R43. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
15,B2C 15/17 R43-R45,2,R44,UI0387,gText_PkmnWasGivenItem,1,1,PARTY_223_X1,"x=1, y=1",224,223,"ให้ WWWWWWWWWW ถือ
WWWWWWWWWWWWWW แล้ว{PAUSE_UNTIL_PRESS}","ให้ WWWWWWWWWW ถือ
WWWWWWWWWWWWWW แล้ว",pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 15/17, row R44. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
15,B2C 15/17 R43-R45,3,R45,UI0389,gText_PkmnWokeUp2,1,1,PARTY_223_X1,"x=1, y=1",224,223,WWWWWWWWWW ตื่นแล้ว{PAUSE_UNTIL_PRESS},WWWWWWWWWW ตื่นแล้ว,pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 15/17, row R45. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
16,B2C 16/17 R46-R48,1,R46,UI0418,gText_ReceivedItemFromPkmn,1,1,PARTY_223_X1,"x=1, y=1",224,223,"รับ WWWWWWWWWWWWWW
คืนจาก WWWWWWWWWW แล้ว{PAUSE_UNTIL_PRESS}","รับ WWWWWWWWWWWWWW
คืนจาก WWWWWWWWWW แล้ว",pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 16/17, row R46. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
16,B2C 16/17 R46-R48,2,R47,UI0421,gText_RemoveMailBeforeItem,1,1,PARTY_223_X1,"x=1, y=1",224,223,"ต้องเอาจดหมายออกก่อน
จึงจะถือไอเทมได้{PAUSE_UNTIL_PRESS}","ต้องเอาจดหมายออกก่อน
จึงจะถือไอเทมได้",pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 16/17, row R47. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
16,B2C 16/17 R46-R48,3,R48,UI0479,gText_SwitchedPkmnItem,1,1,PARTY_223_X1,"x=1, y=1",224,223,"เอา WWWWWWWWWWWWWW ออกแล้ว
เปลี่ยนเป็น WWWWWWWWWWWWWW{PAUSE_UNTIL_PRESS}","เอา WWWWWWWWWWWWWW ออกแล้ว
เปลี่ยนเป็น WWWWWWWWWWWWWW",pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 16/17, row R48. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
17,B2C 17/17 R49-R50,1,R49,UI0531,gText_WhichMoveToForget,1,1,PARTY_223_X1,"x=1, y=1",224,223,จะให้ลืมท่าไหน?{PAUSE_UNTIL_PRESS},จะให้ลืมท่าไหน?,pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 17/17, row R49. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
17,B2C 17/17 R49-R50,2,R50,UI0539,gText_WontHaveEffect,1,1,PARTY_223_X1,"x=1, y=1",224,223,{CLEAR 1}ใช้แล้วไม่มีผล{PAUSE_UNTIL_PRESS},{CLEAR 1}ใช้แล้วไม่มีผล,pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 17/17, row R50. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
