page,page_title,row_code,symbol,target_text_th,runtime_profile,rendering_result,translation_result,visual_status,evidence_note
3,ACTION-A,A03,gText_Switch2,สลับ,FONT_NORMAL / 8 px cursor + 72 px text,pass,pass,proof_passed,"User-confirmed screenshot of Party Batch 2A gallery page 3/6 (ACTION-A), row A03. Thai text displayed completely and readably with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
3,ACTION-A,A04,gText_Summary5,ข้อมูล,FONT_NORMAL / 8 px cursor + 72 px text,pass,pass,proof_passed,"User-confirmed screenshot of Party Batch 2A gallery page 3/6 (ACTION-A), row A04. Thai text displayed completely and readably with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
3,ACTION-A,A05,gText_Enter,เข้าร่วม,FONT_NORMAL / 8 px cursor + 72 px text,pass,pass,proof_passed,"User-confirmed screenshot of Party Batch 2A gallery page 3/6 (ACTION-A), row A05. Thai text displayed completely and readably with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
4,ACTION-B,A06,gText_NoEntry,ถอนตัว,FONT_NORMAL / 8 px cursor + 72 px text,pass,pass,proof_passed,"User-confirmed screenshot of Party Batch 2A gallery page 4/6 (ACTION-B), row A06. Thai text displayed completely and readably with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
4,ACTION-B,A07,gText_Take2,รับคืน,FONT_NORMAL / 8 px cursor + 72 px text,pass,pass,proof_passed,"User-confirmed screenshot of Party Batch 2A gallery page 4/6 (ACTION-B), row A07. Thai text displayed completely and readably with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
4,ACTION-B,A08,gText_Read2,อ่าน,FONT_NORMAL / 8 px cursor + 72 px text,pass,pass,proof_passed,"User-confirmed screenshot of Party Batch 2A gallery page 4/6 (ACTION-B), row A08. Thai text displayed completely and readably with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
4,ACTION-B,A09,gText_Trade4,แลกเปลี่ยน,FONT_NORMAL / 8 px cursor + 72 px text,pass,pass,proof_passed,"User-confirmed screenshot of Party Batch 2A gallery page 4/6 (ACTION-B), row A09. Thai text displayed completely and readably with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
4,ACTION-B,A10,gText_Item,ไอเทม,FONT_NORMAL / 8 px cursor + 72 px text,pass,pass,proof_passed,"User-confirmed screenshot of Party Batch 2A gallery page 4/6 (ACTION-B), row A10. Thai text displayed completely and readably with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
5,ACTION-C,A11,gText_Mail,จดหมาย,FONT_NORMAL / 8 px cursor + 72 px text,pass,pass,proof_passed,"User-confirmed screenshot of Party Batch 2A gallery page 5/6 (ACTION-C), row A11. Thai text displayed completely and readably with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
5,ACTION-C,A12,gText_Take,รับคืน,FONT_NORMAL / 8 px cursor + 72 px text,pass,pass,proof_passed,"User-confirmed screenshot of Party Batch 2A gallery page 5/6 (ACTION-C), row A12. Thai text displayed completely and readably with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
5,ACTION-C,A13,gText_Store,ฝาก,FONT_NORMAL / 8 px cursor + 72 px text,pass,pass,proof_passed,"User-confirmed screenshot of Party Batch 2A gallery page 5/6 (ACTION-C), row A13. Thai text displayed completely and readably with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
5,ACTION-C,A14,gText_Register,ลงทะเบียน,FONT_NORMAL / 8 px cursor + 72 px text,pass,pass,proof_passed,"User-confirmed screenshot of Party Batch 2A gallery page 5/6 (ACTION-C), row A14. Thai text displayed completely and readably with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
5,ACTION-C,A15,gText_Cancel2,ยกเลิก,FONT_NORMAL / 8 px cursor + 72 px text,pass,pass,proof_passed,"User-confirmed screenshot of Party Batch 2A gallery page 5/6 (ACTION-C), row A15. Thai text displayed completely and readably with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
6,CANCEL,C01,gText_Cancel,ยกเลิก,FONT_SMALL / centered 48 px / +3 px,pass,pass,proof_passed,"User-confirmed screenshot of Party Batch 2A gallery page 6/6 (CANCEL), row C01. Thai text displayed completely and readably with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
6,CANCEL,C02,gText_Cancel2,ยกเลิก,FONT_SMALL / centered 48 px / +3 px,pass,pass,proof_passed,"User-confirmed screenshot of Party Batch 2A gallery page 6/6 (CANCEL), row C02. Thai text displayed completely and readably with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
6,CANCEL,C03,gText_Cancel,ยกเลิก,FONT_NORMAL / 8 px reserved + 72 px text,pass,pass,proof_passed,"User-confirmed screenshot of Party Batch 2A gallery page 6/6 (CANCEL), row C03. Thai text displayed completely and readably with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
