id,raw_category,scope_group,scope_subgroup,policy,scope_status,canonical_tracker,reason,source_file,source_line,source_label
dlg_47baa1f9fd551f14,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,55,AbandonedShip_Rooms2_1F_Text_DanDefeat
dlg_b1b78ab67d465aad,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,59,AbandonedShip_Rooms2_1F_Text_DanPostBattle
dlg_c1871e9f35c6414e,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,63,AbandonedShip_Rooms2_1F_Text_DanNotEnoughMons
dlg_537adf7b736cbbba,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,67,AbandonedShip_Rooms2_1F_Text_KiraIntro
dlg_594248cb85414570,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,72,AbandonedShip_Rooms2_1F_Text_KiraDefeat
dlg_8ef80f4d4739c5e8,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,75,AbandonedShip_Rooms2_1F_Text_KiraPostBattle
dlg_81740b1699a4aa85,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,80,AbandonedShip_Rooms2_1F_Text_KiraNotEnoughMons
dlg_fe8a08d6879c5675,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,84,AbandonedShip_Rooms2_1F_Text_KiraRegister
dlg_b09c142a3755fbc8,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,88,AbandonedShip_Rooms2_1F_Text_DanRematchIntro
dlg_269500c32eb3ae4e,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,94,AbandonedShip_Rooms2_1F_Text_DanRematchDefeat
dlg_7c9a2c0be944c640,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,97,AbandonedShip_Rooms2_1F_Text_DanPostRematch
dlg_7968704f8335ad9a,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,103,AbandonedShip_Rooms2_1F_Text_DanRematchNotEnoughMons
dlg_7745b11723cb4ae9,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,107,AbandonedShip_Rooms2_1F_Text_KiraRematchIntro
dlg_e46cc5ed8730c061,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,114,AbandonedShip_Rooms2_1F_Text_KiraRematchDefeat
dlg_d5bdca676a481eae,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,117,AbandonedShip_Rooms2_1F_Text_KiraPostRematch
dlg_ced71f94ef372f16,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,122,AbandonedShip_Rooms2_1F_Text_KiraRematchNotEnoughMons
dlg_2c861ed380ea0bd4,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,126,AbandonedShip_Rooms2_1F_Text_JaniIntro
dlg_f089ab298e82e128,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,130,AbandonedShip_Rooms2_1F_Text_JaniDefeat
dlg_a95bc3dab153f9ed,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,134,AbandonedShip_Rooms2_1F_Text_JaniPostBattle
dlg_e7f0527a7b46c672,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,138,AbandonedShip_Rooms2_1F_Text_GarrisonIntro
dlg_a3b672ecd625d424,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,142,AbandonedShip_Rooms2_1F_Text_GarrisonDefeat
dlg_410c905e70aba7af,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,146,AbandonedShip_Rooms2_1F_Text_GarrisonPostBattle
dlg_66b74bfc6c3b67e6,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_Rooms2_B1F/scripts.inc,7,AbandonedShip_Rooms2_B1F_Text_PerfectPlaceToGoExploring
dlg_08bc567172aed752,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_Rooms_1F/scripts.inc,33,AbandonedShip_Rooms_1F_Text_TakingALookAround
dlg_4915ecb6130de841,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_Rooms_1F/scripts.inc,39,AbandonedShip_Rooms_1F_Text_ThaliaIntro
dlg_6ed8f652b7995c5f,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_Rooms_1F/scripts.inc,43,AbandonedShip_Rooms_1F_Text_ThaliaDefeat
dlg_00b0a4af1de4c25f,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/AbandonedShip_Rooms_1F/scripts.inc,46,AbandonedShip_Rooms_1F_Text_ThaliaPostBattle
dlg_5fe2d99d17879ded,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_Rooms_1F/scripts.inc,51,AbandonedShip_Rooms_1F_Text_ThaliaRegister
dlg_659c84a61760d313,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_Rooms_1F/scripts.inc,55,AbandonedShip_Rooms_1F_Text_ThaliaRematchIntro
dlg_e13e006f4f1dfb64,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_Rooms_1F/scripts.inc,59,AbandonedShip_Rooms_1F_Text_ThaliaRematchDefeat
dlg_a4f0c72fbb4acf39,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_Rooms_1F/scripts.inc,62,AbandonedShip_Rooms_1F_Text_ThaliaPostRematch
dlg_a590875fdae99ab5,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_Rooms_1F/scripts.inc,66,AbandonedShip_Rooms_1F_Text_DemetriusIntro
dlg_86908594878e991d,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_Rooms_1F/scripts.inc,70,AbandonedShip_Rooms_1F_Text_DemetriusDefeat
dlg_9848116b0c4e11ae,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/AbandonedShip_Rooms_1F/scripts.inc,73,AbandonedShip_Rooms_1F_Text_DemetriusPostBattle
dlg_3cf5c3b7994ad259,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_Rooms_B1F/scripts.inc,12,AbandonedShip_Rooms_B1F_Text_GettingQueasy
dlg_45078e0714311319,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AquaHideout_1F/scripts.inc,52,AquaHideout_1F_Text_OurBossIsSnatchingSomething
dlg_0c5afc938fc14ee3,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AquaHideout_1F/scripts.inc,62,AquaHideout_1F_Text_WhereMightMagmaHideoutBe
dlg_98fb7c5acb6b5fb5,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AquaHideout_1F/scripts.inc,70,AquaHideout_1F_Text_BossWentToJackASubmarine
dlg_4b9663e2a9e15008,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AquaHideout_1F/scripts.inc,80,AquaHideout_1F_Text_BossIsOnRoute122
dlg_cf65dad55510cbb0,main_story,Story,Main Story,TRANSLATE_REQUIRED,DONE,Phase B/C/D + Phase F Batch01/Wave02,All intended main-story dialogue is in project scope.,data/maps/AquaHideout_1F/scripts.inc,90,AquaHideout_1F_Text_TeamMagmaAtMtChimney
dlg_97680cf25af4d7d3,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AquaHideout_1F/scripts.inc,97,AquaHideout_1F_Text_BossIsInSlateportCity
dlg_25a1618a15bbd72f,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AquaHideout_1F/scripts.inc,107,AquaHideout_1F_Text_Grunt1Intro
dlg_e194e811b0d4eeea,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AquaHideout_1F/scripts.inc,111,AquaHideout_1F_Text_Grunt1Defeat
dlg_071fd9fd0855f071,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/AquaHideout_1F/scripts.inc,115,AquaHideout_1F_Text_Grunt1PostBattle
dlg_49c84ec0c3116a52,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AquaHideout_B1F/scripts.inc,108,AquaHideout_B1F_Text_Grunt2Intro
dlg_31e9dee1b7016124,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AquaHideout_B1F/scripts.inc,112,AquaHideout_B1F_Text_Grunt2Defeat
dlg_ebc2e18b473a5976,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/AquaHideout_B1F/scripts.inc,115,AquaHideout_B1F_Text_Grunt2PostBattle
dlg_fce82119985b1223,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AquaHideout_B1F/scripts.inc,122,AquaHideout_B1F_Text_Grunt3Intro
dlg_d2dedaf9f1ed939d,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AquaHideout_B1F/scripts.inc,128,AquaHideout_B1F_Text_Grunt3Defeat
dlg_d86ee7fb78d04186,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/AquaHideout_B1F/scripts.inc,131,AquaHideout_B1F_Text_Grunt3PostBattle
dlg_2d3abc43a276f774,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AquaHideout_B1F/scripts.inc,136,AquaHideout_B1F_Text_Grunt5Intro
dlg_1e63d2b6d3fc5288,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AquaHideout_B1F/scripts.inc,140,AquaHideout_B1F_Text_Grunt5Defeat
dlg_af290f764e8fd63a,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/AquaHideout_B1F/scripts.inc,144,AquaHideout_B1F_Text_Grunt5PostBattle
dlg_96e87b57a37d9594,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AquaHideout_B1F/scripts.inc,148,AquaHideout_B1F_Text_Grunt7Intro
dlg_3b6cdc71168c65fb,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AquaHideout_B1F/scripts.inc,154,AquaHideout_B1F_Text_Grunt7Defeat
dlg_75b1199d8b87b167,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/AquaHideout_B1F/scripts.inc,157,AquaHideout_B1F_Text_Grunt7PostBattle
dlg_92b1b3578bd9ac2d,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AquaHideout_B2F/scripts.inc,88,AquaHideout_B2F_Text_MattIntro
dlg_22af4b0de25e7c4d,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AquaHideout_B2F/scripts.inc,98,AquaHideout_B2F_Text_MattDefeat
dlg_4df79a104565cdd7,optional_npc,Previously Closed,optional_npc,COVERED_BY_DEDICATED_TRACKER,DONE,closure_overlay / closed Phase workflow,Already closed by a dedicated earlier phase; do not retranslate.,data/maps/AquaHideout_B2F/scripts.inc,102,AquaHideout_B2F_Text_OurBossGotThroughHisPreparations
dlg_b13c4d9e2a1feba7,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/AquaHideout_B2F/scripts.inc,107,AquaHideout_B2F_Text_MattPostBattle
dlg_e519e47500866de5,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AquaHideout_B2F/scripts.inc,117,AquaHideout_B2F_Text_Grunt4Intro
dlg_d874cfa407173b0e,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AquaHideout_B2F/scripts.inc,121,AquaHideout_B2F_Text_Grunt4Defeat
dlg_42a69ad295141147,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/AquaHideout_B2F/scripts.inc,125,AquaHideout_B2F_Text_Grunt4PostBattle
dlg_f1c8531ae746bf0a,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AquaHideout_B2F/scripts.inc,129,AquaHideout_B2F_Text_Grunt6Intro
dlg_82d7b18e4c4ff854,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AquaHideout_B2F/scripts.inc,137,AquaHideout_B2F_Text_Grunt6Defeat
dlg_25d46ff126e68da4,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/AquaHideout_B2F/scripts.inc,141,AquaHideout_B2F_Text_Grunt6PostBattle
dlg_bb9a987b3342848c,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AquaHideout_B2F/scripts.inc,147,AquaHideout_B2F_Text_Grunt8Intro
dlg_1913ddf47958e924,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AquaHideout_B2F/scripts.inc,152,AquaHideout_B2F_Text_Grunt8Defeat
dlg_a3fd6103867f76b3,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/AquaHideout_B2F/scripts.inc,156,AquaHideout_B2F_Text_Grunt8PostBattle
dlg_551623782476cdf3,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_BattleArenaBattleRoom/scripts.inc,486,BattleFrontier_BattleArenaBattleRoom_Text_PlayerStepForward
dlg_c83dfbcb25f0c09e,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_BattleArenaBattleRoom/scripts.inc,490,BattleFrontier_BattleArenaBattleRoom_Text_OpponentStepForward
dlg_d881eadf1c4ad276,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_BattleArenaBattleRoom/scripts.inc,494,BattleFrontier_BattleArenaBattleRoom_Text_SetKOTourneyBegin
dlg_2bc39bf606942b2d,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_BattleArenaBattleRoom/scripts.inc,498,BattleFrontier_BattleArenaBattleRoom_Text_WinnerIsPlayer
dlg_cd1f80a32861f491,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_BattleArenaBattleRoom/scripts.inc,501,BattleFrontier_BattleArenaBattleRoom_Text_WinnerIsOpponent
dlg_165386a5a44c08b5,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_BattleArenaBattleRoom/scripts.inc,504,BattleFrontier_BattleArenaBattleRoom_Text_MonsWillBeRestored
dlg_b909ee9db19da8ed,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_BattleArenaBattleRoom/scripts.inc,508,BattleFrontier_BattleArenaBattleRoom_Text_ReadyFor2ndOpponent
dlg_1f44583931411d38,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_BattleArenaBattleRoom/scripts.inc,512,BattleFrontier_BattleArenaBattleRoom_Text_ReadyFor3rdOpponent
dlg_f7de136e1d332f2a,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_BattleArenaBattleRoom/scripts.inc,516,BattleFrontier_BattleArenaBattleRoom_Text_ReadyFor4thOpponent
