species,display_key,thai_name,glyph_count,name_width_px,gender_budget_px,worst_case_total_px,hard_width_px,remaining_without_gender_px,status
SPECIES_MUK,MUK,,8,45,5,50,56,11,PASS
SPECIES_SHELLDER,SHELLDER,,7,38,5,43,56,18,PASS
SPECIES_CLOYSTER,CLOYSTER,,6,35,5,40,56,21,PASS
SPECIES_GASTLY,GASTLY,,3,17,5,22,56,39,PASS
SPECIES_HAUNTER,HAUNTER,,4,24,5,29,56,32,PASS
SPECIES_GENGAR,GENGAR,,6,29,5,34,56,27,PASS
SPECIES_ONIX,ONIX,,5,28,5,33,56,28,PASS
SPECIES_DROWZEE,DROWZEE,,3,19,5,24,56,37,PASS
SPECIES_HYPNO,HYPNO,,6,34,5,39,56,22,PASS
SPECIES_KRABBY,KRABBY,,4,23,5,28,56,33,PASS
SPECIES_KINGLER,KINGLER,,7,38,5,43,56,18,PASS
SPECIES_VOLTORB,VOLTORB,,7,42,5,47,56,14,PASS
SPECIES_ELECTRODE,ELECTRODE,,6,37,5,42,56,19,PASS
SPECIES_EXEGGCUTE,EXEGGCUTE,,8,46,5,51,56,10,PASS
SPECIES_EXEGGUTOR,EXEGGUTOR,,3,21,5,26,56,35,PASS
SPECIES_CUBONE,CUBONE,,8,40,5,45,56,16,PASS
SPECIES_MAROWAK,MAROWAK,,8,38,5,43,56,18,PASS
SPECIES_HITMONLEE,HITMONLEE,,7,37,5,42,56,19,PASS
SPECIES_HITMONCHAN,HITMONCHAN,,7,36,5,41,56,20,PASS
SPECIES_LICKITUNG,LICKITUNG,,8,45,5,50,56,11,PASS
SPECIES_KOFFING,KOFFING,,5,28,5,33,56,28,PASS
SPECIES_WEEZING,WEEZING,,9,50,5,55,56,6,PASS
SPECIES_RHYHORN,RHYHORN,,6,38,5,43,56,18,PASS
SPECIES_RHYDON,RHYDON,,5,34,5,39,56,22,PASS
SPECIES_CHANSEY,CHANSEY,,3,19,5,24,56,37,PASS
SPECIES_TANGELA,TANGELA,,6,34,5,39,56,22,PASS
SPECIES_KANGASKHAN,KANGASKHAN,,6,29,5,34,56,27,PASS
SPECIES_HORSEA,HORSEA,,3,20,5,25,56,36,PASS
SPECIES_SEADRA,SEADRA,,4,23,5,28,56,33,PASS
SPECIES_GOLDEEN,GOLDEEN,,9,55,5,60,56,1,RISK_WITH_GENDER
SPECIES_SEAKING,SEAKING,,7,39,5,44,56,17,PASS
SPECIES_STARYU,STARYU,,7,44,5,49,56,12,PASS
SPECIES_STARMIE,STARMIE,,5,29,5,34,56,27,PASS
SPECIES_MR_MIME,MR_MIME,,7,39,5,44,56,17,PASS
SPECIES_SCYTHER,SCYTHER,,5,31,5,36,56,25,PASS
SPECIES_JYNX,JYNX,,4,20,5,25,56,36,PASS
SPECIES_ELECTABUZZ,ELECTABUZZ,,5,27,5,32,56,29,PASS
SPECIES_MAGMAR,MAGMAR,,3,18,5,23,56,38,PASS
SPECIES_PINSIR,PINSIR,,5,30,5,35,56,26,PASS
SPECIES_TAUROS,TAUROS,,8,47,5,52,56,9,PASS
SPECIES_MAGIKARP,MAGIKARP,,5,30,5,35,56,26,PASS
SPECIES_GYARADOS,GYARADOS,,8,44,5,49,56,12,PASS
SPECIES_LAPRAS,LAPRAS,,6,34,5,39,56,22,PASS
SPECIES_DITTO,DITTO,,7,43,5,48,56,13,PASS
SPECIES_EEVEE,EEVEE,,3,18,5,23,56,38,PASS
SPECIES_VAPOREON,VAPOREON,,8,43,5,48,56,13,PASS
SPECIES_JOLTEON,JOLTEON,,7,43,5,48,56,13,PASS
SPECIES_FLAREON,FLAREON,,6,35,5,40,56,21,PASS
SPECIES_PORYGON,PORYGON,,6,39,5,44,56,17,PASS
SPECIES_OMANYTE,OMANYTE,,6,40,5,45,56,16,PASS
SPECIES_OMASTAR,OMASTAR,,7,41,5,46,56,15,PASS
SPECIES_KABUTO,KABUTO,,6,35,5,40,56,21,PASS
SPECIES_KABUTOPS,KABUTOPS,,7,44,5,49,56,12,PASS
SPECIES_AERODACTYL,AERODACTYL,,5,28,5,33,56,28,PASS
SPECIES_SNORLAX,SNORLAX,,6,38,5,43,56,18,PASS
SPECIES_ARTICUNO,ARTICUNO,,6,36,5,41,56,20,PASS
SPECIES_ZAPDOS,ZAPDOS,,6,37,5,42,56,19,PASS
SPECIES_MOLTRES,MOLTRES,,6,35,5,40,56,21,PASS
SPECIES_DRATINI,DRATINI,,4,27,5,32,56,29,PASS
SPECIES_DRAGONAIR,DRAGONAIR,,5,29,5,34,56,27,PASS
SPECIES_DRAGONITE,DRAGONITE,,4,25,5,30,56,31,PASS
SPECIES_MEWTWO,MEWTWO,,3,20,5,25,56,36,PASS
SPECIES_MEW,MEW,,2,13,5,18,56,43,PASS
SPECIES_CHIKORITA,CHIKORITA,,6,35,5,40,56,21,PASS
SPECIES_BAYLEEF,BAYLEEF,,5,31,5,36,56,25,PASS
SPECIES_MEGANIUM,MEGANIUM,,8,46,5,51,56,10,PASS
SPECIES_CYNDAQUIL,CYNDAQUIL,,8,44,5,49,56,12,PASS
SPECIES_QUILAVA,QUILAVA,,7,39,5,44,56,17,PASS
SPECIES_TYPHLOSION,TYPHLOSION,,5,34,5,39,56,22,PASS
SPECIES_TOTODILE,TOTODILE,,8,47,5,52,56,9,PASS
SPECIES_CROCONAW,CROCONAW,,7,39,5,44,56,17,PASS
SPECIES_FERALIGATR,FERALIGATR,,5,31,5,36,56,25,PASS
SPECIES_SENTRET,SENTRET,,5,28,5,33,56,28,PASS
SPECIES_FURRET,FURRET,,7,39,5,44,56,17,PASS
SPECIES_HOOTHOOT,HOOTHOOT,,4,22,5,27,56,34,PASS
SPECIES_NOCTOWL,NOCTOWL,,8,48,5,53,56,8,PASS
SPECIES_LEDYBA,LEDYBA,,5,27,5,32,56,29,PASS
SPECIES_LEDIAN,LEDIAN,,6,34,5,39,56,22,PASS
SPECIES_SPINARAK,SPINARAK,,6,34,5,39,56,22,PASS
SPECIES_ARIADOS,ARIADOS,,8,45,5,50,56,11,PASS
SPECIES_CROBAT,CROBAT,,6,38,5,43,56,18,PASS
SPECIES_CHINCHOU,CHINCHOU,,4,26,5,31,56,30,PASS
SPECIES_LANTURN,LANTURN,,7,45,5,50,56,11,PASS
SPECIES_PICHU,PICHU,,2,14,5,19,56,42,PASS
SPECIES_CLEFFA,CLEFFA,,1,8,5,13,56,48,PASS
SPECIES_IGGLYBUFF,IGGLYBUFF,,4,30,5,35,56,26,PASS
SPECIES_TOGEPI,TOGEPI,,5,29,5,34,56,27,PASS
SPECIES_TOGETIC,TOGETIC,,6,34,5,39,56,22,PASS
SPECIES_NATU,NATU,,3,19,5,24,56,37,PASS
SPECIES_XATU,XATU,,5,30,5,35,56,26,PASS
SPECIES_MAREEP,MAREEP,,4,24,5,29,56,32,PASS
SPECIES_FLAAFFY,FLAAFFY,,6,36,5,41,56,20,PASS
SPECIES_AMPHAROS,AMPHAROS,,5,31,5,36,56,25,PASS
SPECIES_BELLOSSOM,BELLOSSOM,,7,39,5,44,56,17,PASS
SPECIES_MARILL,MARILL,,4,23,5,28,56,33,PASS
SPECIES_AZUMARILL,AZUMARILL,,5,29,5,34,56,27,PASS
SPECIES_SUDOWOODO,SUDOWOODO,,4,25,5,30,56,31,PASS
SPECIES_POLITOED,POLITOED,,11,64,5,69,56,-8,OVERFLOW
SPECIES_HOPPIP,HOPPIP,,8,44,5,49,56,12,PASS
SPECIES_SKIPLOOM,SKIPLOOM,,8,46,5,51,56,10,PASS
SPECIES_JUMPLUFF,JUMPLUFF,,7,39,5,44,56,17,PASS
SPECIES_AIPOM,AIPOM,,5,28,5,33,56,28,PASS
SPECIES_SUNKERN,SUNKERN,,6,39,5,44,56,17,PASS
SPECIES_SUNFLORA,SUNFLORA,,6,34,5,39,56,22,PASS
SPECIES_YANMA,YANMA,,6,39,5,44,56,17,PASS
SPECIES_WOOPER,WOOPER,,3,17,5,22,56,39,PASS
SPECIES_QUAGSIRE,QUAGSIRE,,3,19,5,24,56,37,PASS
SPECIES_ESPEON,ESPEON,,3,18,5,23,56,38,PASS
SPECIES_UMBREON,UMBREON,,5,32,5,37,56,24,PASS
SPECIES_MURKROW,MURKROW,,8,43,5,48,56,13,PASS
SPECIES_SLOWKING,SLOWKING,,6,33,5,38,56,23,PASS
SPECIES_MISDREAVUS,MISDREAVUS,,3,18,5,23,56,38,PASS
SPECIES_UNOWN,UNOWN,,5,35,5,40,56,21,PASS
SPECIES_WOBBUFFET,WOBBUFFET,,5,35,5,40,56,21,PASS
SPECIES_GIRAFARIG,GIRAFARIG,,5,33,5,38,56,23,PASS
SPECIES_PINECO,PINECO,,7,44,5,49,56,12,PASS
SPECIES_FORRETRESS,FORRETRESS,,7,42,5,47,56,14,PASS
SPECIES_DUNSPARCE,DUNSPARCE,,4,26,5,31,56,30,PASS
SPECIES_GLIGAR,GLIGAR,,7,38,5,43,56,18,PASS
SPECIES_STEELIX,STEELIX,,7,38,5,43,56,18,PASS
SPECIES_SNUBBULL,SNUBBULL,,2,13,5,18,56,43,PASS
SPECIES_GRANBULL,GRANBULL,,6,39,5,44,56,17,PASS
SPECIES_QWILFISH,QWILFISH,,6,35,5,40,56,21,PASS
SPECIES_SCIZOR,SCIZOR,,4,26,5,31,56,30,PASS
SPECIES_SHUCKLE,SHUCKLE,,7,41,5,46,56,15,PASS
SPECIES_HERACROSS,HERACROSS,,8,43,5,48,56,13,PASS
SPECIES_SNEASEL,SNEASEL,,4,23,5,28,56,33,PASS
SPECIES_TEDDIURSA,TEDDIURSA,,6,35,5,40,56,21,PASS
SPECIES_URSARING,URSARING,,5,28,5,33,56,28,PASS
SPECIES_SLUGMA,SLUGMA,,6,40,5,45,56,16,PASS
SPECIES_MAGCARGO,MAGCARGO,,8,47,5,52,56,9,PASS
SPECIES_SWINUB,SWINUB,,3,19,5,24,56,37,PASS
SPECIES_PILOSWINE,PILOSWINE,,4,26,5,31,56,30,PASS
SPECIES_CORSOLA,CORSOLA,,5,34,5,39,56,22,PASS
SPECIES_REMORAID,REMORAID,,7,41,5,46,56,15,PASS
SPECIES_OCTILLERY,OCTILLERY,,5,33,5,38,56,23,PASS
SPECIES_DELIBIRD,DELIBIRD,,7,40,5,45,56,16,PASS
SPECIES_MANTINE,MANTINE,,6,43,5,48,56,13,PASS
SPECIES_SKARMORY,SKARMORY,,6,37,5,42,56,19,PASS
SPECIES_HOUNDOUR,HOUNDOUR,,5,29,5,34,56,27,PASS
SPECIES_HOUNDOOM,HOUNDOOM,,6,31,5,36,56,25,PASS
SPECIES_KINGDRA,KINGDRA,,5,27,5,32,56,29,PASS
SPECIES_PHANPY,PHANPY,,6,34,5,39,56,22,PASS
SPECIES_DONPHAN,DONPHAN,,6,44,5,49,56,12,PASS
SPECIES_PORYGON2,PORYGON2,,6,39,5,44,56,17,PASS
SPECIES_STANTLER,STANTLER,,6,35,5,40,56,21,PASS
SPECIES_SMEARGLE,SMEARGLE,,5,29,5,34,56,27,PASS
SPECIES_TYROGUE,TYROGUE,,3,21,5,26,56,35,PASS
SPECIES_HITMONTOP,HITMONTOP,,8,42,5,47,56,14,PASS
SPECIES_SMOOCHUM,SMOOCHUM,,3,18,5,23,56,38,PASS
SPECIES_ELEKID,ELEKID,,6,34,5,39,56,22,PASS
SPECIES_MAGBY,MAGBY,,2,14,5,19,56,42,PASS
SPECIES_MILTANK,MILTANK,,6,37,5,42,56,19,PASS
SPECIES_BLISSEY,BLISSEY,,6,38,5,43,56,18,PASS
SPECIES_RAIKOU,RAIKOU,,4,23,5,28,56,33,PASS
SPECIES_ENTEI,ENTEI,,5,31,5,36,56,25,PASS
SPECIES_SUICUNE,SUICUNE,,4,28,5,33,56,28,PASS
SPECIES_LARVITAR,LARVITAR,,6,32,5,37,56,24,PASS
SPECIES_PUPITAR,PUPITAR,,8,44,5,49,56,12,PASS
SPECIES_TYRANITAR,TYRANITAR,,6,34,5,39,56,22,PASS
SPECIES_LUGIA,LUGIA,,4,22,5,27,56,34,PASS
SPECIES_HO_OH,HO_OH,,4,22,5,27,56,34,PASS
SPECIES_CELEBI,CELEBI,,5,27,5,32,56,29,PASS
SPECIES_TREECKO,TREECKO,,4,25,5,30,56,31,PASS
SPECIES_GROVYLE,GROVYLE,,5,30,5,35,56,26,PASS
SPECIES_SCEPTILE,SCEPTILE,,4,27,5,32,56,29,PASS
SPECIES_TORCHIC,TORCHIC,,6,32,5,37,56,24,PASS
SPECIES_COMBUSKEN,COMBUSKEN,,8,43,5,48,56,13,PASS
SPECIES_BLAZIKEN,BLAZIKEN,,6,33,5,38,56,23,PASS
SPECIES_MUDKIP,MUDKIP,,6,35,5,40,56,21,PASS
SPECIES_MARSHTOMP,MARSHTOMP,,6,36,5,41,56,20,PASS
SPECIES_SWAMPERT,SWAMPERT,,6,32,5,37,56,24,PASS
SPECIES_POOCHYENA,POOCHYENA,,7,41,5,46,56,15,PASS
SPECIES_MIGHTYENA,MIGHTYENA,,7,37,5,42,56,19,PASS
SPECIES_ZIGZAGOON,ZIGZAGOON,,7,41,5,46,56,15,PASS
SPECIES_LINOONE,LINOONE,,6,37,5,42,56,19,PASS
SPECIES_WURMPLE,WURMPLE,,6,36,5,41,56,20,PASS
SPECIES_SILCOON,SILCOON,,8,43,5,48,56,13,PASS
SPECIES_BEAUTIFLY,BEAUTIFLY,,7,41,5,46,56,15,PASS
SPECIES_CASCOON,CASCOON,,5,30,5,35,56,26,PASS
SPECIES_DUSTOX,DUSTOX,,6,36,5,41,56,20,PASS
SPECIES_LOTAD,LOTAD,,4,24,5,29,56,32,PASS
SPECIES_LOMBRE,LOMBRE,,7,38,5,43,56,18,PASS
SPECIES_LUDICOLO,LUDICOLO,,6,39,5,44,56,17,PASS
SPECIES_SEEDOT,SEEDOT,,6,35,5,40,56,21,PASS
SPECIES_NUZLEAF,NUZLEAF,,8,48,5,53,56,8,PASS
SPECIES_SHIFTRY,SHIFTRY,,6,32,5,37,56,24,PASS
SPECIES_NINCADA,NINCADA,,4,28,5,33,56,28,PASS
SPECIES_NINJASK,NINJASK,,7,44,5,49,56,12,PASS
SPECIES_SHEDINJA,SHEDINJA,,5,35,5,40,56,21,PASS
SPECIES_TAILLOW,TAILLOW,,6,34,5,39,56,22,PASS
SPECIES_SWELLOW,SWELLOW,,10,56,5,61,56,0,RISK_WITH_GENDER
SPECIES_SHROOMISH,SHROOMISH,,7,44,5,49,56,12,PASS
SPECIES_BRELOOM,BRELOOM,,7,44,5,49,56,12,PASS
SPECIES_SPINDA,SPINDA,,4,26,5,31,56,30,PASS
SPECIES_WINGULL,WINGULL,,7,39,5,44,56,17,PASS
SPECIES_PELIPPER,PELIPPER,,8,47,5,52,56,9,PASS
SPECIES_SURSKIT,SURSKIT,,9,49,5,54,56,7,PASS
SPECIES_MASQUERAIN,MASQUERAIN,,8,45,5,50,56,11,PASS
SPECIES_WAILMER,WAILMER,,8,43,5,48,56,13,PASS
SPECIES_WAILORD,WAILORD,,7,38,5,43,56,18,PASS
SPECIES_SKITTY,SKITTY,,7,38,5,43,56,18,PASS
SPECIES_DELCATTY,DELCATTY,,10,54,5,59,56,2,RISK_WITH_GENDER
SPECIES_KECLEON,KECLEON,,8,47,5,52,56,9,PASS
SPECIES_BALTOY,BALTOY,,6,35,5,40,56,21,PASS
SPECIES_CLAYDOL,CLAYDOL,,6,39,5,44,56,17,PASS
SPECIES_NOSEPASS,NOSEPASS,,6,38,5,43,56,18,PASS
SPECIES_TORKOAL,TORKOAL,,4,25,5,30,56,31,PASS
SPECIES_SABLEYE,SABLEYE,,6,33,5,38,56,23,PASS
SPECIES_BARBOACH,BARBOACH,,6,35,5,40,56,21,PASS
SPECIES_WHISCASH,WHISCASH,,6,38,5,43,56,18,PASS
SPECIES_LUVDISC,LUVDISC,,5,31,5,36,56,25,PASS
SPECIES_CORPHISH,CORPHISH,,5,28,5,33,56,28,PASS
SPECIES_CRAWDAUNT,CRAWDAUNT,,8,44,5,49,56,12,PASS
SPECIES_FEEBAS,FEEBAS,,4,29,5,34,56,27,PASS
SPECIES_MILOTIC,MILOTIC,,8,46,5,51,56,10,PASS
SPECIES_CARVANHA,CARVANHA,,6,36,5,41,56,20,PASS
SPECIES_SHARPEDO,SHARPEDO,,8,43,5,48,56,13,PASS
SPECIES_TRAPINCH,TRAPINCH,,5,32,5,37,56,24,PASS
SPECIES_VIBRAVA,VIBRAVA,,6,34,5,39,56,22,PASS
SPECIES_FLYGON,FLYGON,,7,44,5,49,56,12,PASS
SPECIES_MAKUHITA,MAKUHITA,,8,49,5,54,56,7,PASS
SPECIES_HARIYAMA,HARIYAMA,,9,49,5,54,56,7,PASS
SPECIES_ELECTRIKE,ELECTRIKE,,5,27,5,32,56,29,PASS
SPECIES_MANECTRIC,MANECTRIC,,6,36,5,41,56,20,PASS
SPECIES_NUMEL,NUMEL,,6,38,5,43,56,18,PASS
SPECIES_CAMERUPT,CAMERUPT,,5,29,5,34,56,27,PASS
SPECIES_SPHEAL,SPHEAL,,9,48,5,53,56,8,PASS
SPECIES_SEALEO,SEALEO,,7,39,5,44,56,17,PASS
SPECIES_WALREIN,WALREIN,,9,50,5,55,56,6,PASS
SPECIES_CACNEA,CACNEA,,7,41,5,46,56,15,PASS
SPECIES_CACTURNE,CACTURNE,,5,33,5,38,56,23,PASS
SPECIES_SNORUNT,SNORUNT,,7,37,5,42,56,19,PASS
SPECIES_GLALIE,GLALIE,,6,36,5,41,56,20,PASS
SPECIES_LUNATONE,LUNATONE,,6,38,5,43,56,18,PASS
SPECIES_SOLROCK,SOLROCK,,6,36,5,41,56,20,PASS
SPECIES_AZURILL,AZURILL,,3,17,5,22,56,39,PASS
SPECIES_SPOINK,SPOINK,,5,30,5,35,56,26,PASS
SPECIES_GRUMPIG,GRUMPIG,,3,21,5,26,56,35,PASS
SPECIES_PLUSLE,PLUSLE,,6,37,5,42,56,19,PASS
SPECIES_MINUN,MINUN,,4,30,5,35,56,26,PASS
SPECIES_MAWILE,MAWILE,,3,20,5,25,56,36,PASS
SPECIES_MEDITITE,MEDITITE,,6,38,5,43,56,18,PASS
SPECIES_MEDICHAM,MEDICHAM,,5,26,5,31,56,30,PASS
SPECIES_SWABLU,SWABLU,,6,35,5,40,56,21,PASS
SPECIES_ALTARIA,ALTARIA,,6,34,5,39,56,22,PASS
SPECIES_WYNAUT,WYNAUT,,7,42,5,47,56,14,PASS
SPECIES_DUSKULL,DUSKULL,,7,37,5,42,56,19,PASS
SPECIES_DUSCLOPS,DUSCLOPS,,7,39,5,44,56,17,PASS
SPECIES_ROSELIA,ROSELIA,,7,37,5,42,56,19,PASS
SPECIES_SLAKOTH,SLAKOTH,,8,44,5,49,56,12,PASS
SPECIES_VIGOROTH,VIGOROTH,,9,51,5,56,56,5,PASS
SPECIES_SLAKING,SLAKING,,5,28,5,33,56,28,PASS
SPECIES_GULPIN,GULPIN,,5,32,5,37,56,24,PASS
SPECIES_SWALOT,SWALOT,,6,36,5,41,56,20,PASS
SPECIES_TROPIUS,TROPIUS,,7,40,5,45,56,16,PASS
SPECIES_WHISMUR,WHISMUR,,10,59,5,64,56,-3,OVERFLOW
SPECIES_LOUDRED,LOUDRED,,5,30,5,35,56,26,PASS
SPECIES_EXPLOUD,EXPLOUD,,5,28,5,33,56,28,PASS
SPECIES_CLAMPERL,CLAMPERL,,5,29,5,34,56,27,PASS
SPECIES_HUNTAIL,HUNTAIL,,5,31,5,36,56,25,PASS
SPECIES_GOREBYSS,GOREBYSS,,7,39,5,44,56,17,PASS
SPECIES_ABSOL,ABSOL,,6,38,5,43,56,18,PASS
SPECIES_SHUPPET,SHUPPET,,7,38,5,43,56,18,PASS
SPECIES_BANETTE,BANETTE,,6,37,5,42,56,19,PASS
SPECIES_SEVIPER,SEVIPER,,6,35,5,40,56,21,PASS
SPECIES_ZANGOOSE,ZANGOOSE,,4,23,5,28,56,33,PASS
SPECIES_RELICANTH,RELICANTH,,5,32,5,37,56,24,PASS
SPECIES_ARON,ARON,,8,45,5,50,56,11,PASS
SPECIES_LAIRON,LAIRON,,6,33,5,38,56,23,PASS
SPECIES_AGGRON,AGGRON,,9,51,5,56,56,5,PASS
SPECIES_CASTFORM,CASTFORM,,6,36,5,41,56,20,PASS
SPECIES_VOLBEAT,VOLBEAT,,4,29,5,34,56,27,PASS
SPECIES_ILLUMISE,ILLUMISE,,7,41,5,46,56,15,PASS
SPECIES_LILEEP,LILEEP,,4,21,5,26,56,35,PASS
SPECIES_CRADILY,CRADILY,,6,34,5,39,56,22,PASS
SPECIES_ANORITH,ANORITH,,6,36,5,41,56,20,PASS
SPECIES_ARMALDO,ARMALDO,,8,44,5,49,56,12,PASS
SPECIES_RALTS,RALTS,,6,34,5,39,56,22,PASS
SPECIES_KIRLIA,KIRLIA,,5,28,5,33,56,28,PASS
SPECIES_GARDEVOIR,GARDEVOIR,,5,32,5,37,56,24,PASS
SPECIES_BAGON,BAGON,,5,31,5,36,56,25,PASS
