species_index,species_constant,english_name,japanese_name,thai_name,reference_status,review_required
100,SPECIES_VOLTORB,VOLTORB,ビリリダマ,บิริริดามะ,LOCKED_GLOSSARY,NO
101,SPECIES_ELECTRODE,ELECTRODE,マルマイン,มารุไมน์,TRANSLATED_DRAFT,NO
102,SPECIES_EXEGGCUTE,EXEGGCUTE,タマタマ,ทามะทามะ,TRANSLATED_DRAFT,NO
103,SPECIES_EXEGGUTOR,EXEGGUTOR,ナッシー,นัชชี,TRANSLATED_DRAFT,NO
104,SPECIES_CUBONE,CUBONE,カラカラ,คาราคารา,LOCKED_GLOSSARY,NO
105,SPECIES_MAROWAK,MAROWAK,ガラガラ,การาการา,LOCKED_GLOSSARY,NO
106,SPECIES_HITMONLEE,HITMONLEE,サワムラー,ซาวามูรา,LOCKED_GLOSSARY,NO
107,SPECIES_HITMONCHAN,HITMONCHAN,エビワラー,เอบิวารา,LOCKED_GLOSSARY,NO
108,SPECIES_LICKITUNG,LICKITUNG,ベロリンガ,เบโรรินกา,TRANSLATED_DRAFT,NO
109,SPECIES_KOFFING,KOFFING,ドガース,โดกาส,LOCKED_GLOSSARY,NO
110,SPECIES_WEEZING,WEEZING,マタドガス,มาตาโดกาส,TRANSLATED_DRAFT,NO
111,SPECIES_RHYHORN,RHYHORN,サイホーン,ไซฮอร์น,TRANSLATED_DRAFT,NO
112,SPECIES_RHYDON,RHYDON,サイドン,ไซดอน,TRANSLATED_DRAFT,NO
113,SPECIES_CHANSEY,CHANSEY,ラッキー,ลัคกี,LOCKED_GLOSSARY,NO
114,SPECIES_TANGELA,TANGELA,モンジャラ,มนจารา,TRANSLATED_DRAFT,NO
115,SPECIES_KANGASKHAN,KANGASKHAN,ガルーラ,การ์รูรา,LOCKED_GLOSSARY,NO
116,SPECIES_HORSEA,HORSEA,タッツー,ทัตสึ,TRANSLATED_DRAFT,NO
117,SPECIES_SEADRA,SEADRA,シードラ,ซีดรา,TRANSLATED_DRAFT,NO
118,SPECIES_GOLDEEN,GOLDEEN,トサキント,โทซาคินโตะ,TRANSLATED_DRAFT,NO
119,SPECIES_SEAKING,SEAKING,アズマオウ,อาซูมาโอ,TRANSLATED_DRAFT,NO
120,SPECIES_STARYU,STARYU,ヒトデマン,ฮิโตเดมัน,TRANSLATED_DRAFT,NO
121,SPECIES_STARMIE,STARMIE,スターミー,สตาร์มี,TRANSLATED_DRAFT,NO
122,SPECIES_MR_MIME,MR. MIME,バリヤード,บารียาร์ด,TRANSLATED_DRAFT,NO
123,SPECIES_SCYTHER,SCYTHER,ストライク,สไตรค์,TRANSLATED_DRAFT,NO
124,SPECIES_JYNX,JYNX,ルージュラ,รูจูรา,TRANSLATED_DRAFT,NO
125,SPECIES_ELECTABUZZ,ELECTABUZZ,エレブー,เอเลบู,TRANSLATED_DRAFT,NO
126,SPECIES_MAGMAR,MAGMAR,ブーバー,บูบา,TRANSLATED_DRAFT,NO
127,SPECIES_PINSIR,PINSIR,カイロス,ไครอส,TRANSLATED_DRAFT,NO
128,SPECIES_TAUROS,TAUROS,ケンタロス,เคนทารอส,TRANSLATED_DRAFT,NO
129,SPECIES_MAGIKARP,MAGIKARP,コイキング,คอยคิง,LOCKED_GLOSSARY,NO
130,SPECIES_GYARADOS,GYARADOS,ギャラドス,เกียราดอส,TRANSLATED_DRAFT,NO
131,SPECIES_LAPRAS,LAPRAS,ラプラス,ลาพลาส,LOCKED_GLOSSARY,NO
132,SPECIES_DITTO,DITTO,メタモン,เมตามอน,TRANSLATED_DRAFT,NO
133,SPECIES_EEVEE,EEVEE,イーブイ,อีวุย,LOCKED_GLOSSARY,NO
134,SPECIES_VAPOREON,VAPOREON,シャワーズ,ชาวเวอร์ส,LOCKED_GLOSSARY,NO
135,SPECIES_JOLTEON,JOLTEON,サンダース,ซันเดอร์ส,TRANSLATED_DRAFT,NO
136,SPECIES_FLAREON,FLAREON,ブースター,บูสเตอร์,LOCKED_GLOSSARY,NO
137,SPECIES_PORYGON,PORYGON,ポリゴン,โพรีกอน,LOCKED_GLOSSARY,NO
138,SPECIES_OMANYTE,OMANYTE,オムナイト,ออมไนต์,LOCKED_GLOSSARY,NO
139,SPECIES_OMASTAR,OMASTAR,オムスター,ออมสตาร์,TRANSLATED_DRAFT,NO
140,SPECIES_KABUTO,KABUTO,カブト,คาบูโตะ,LOCKED_GLOSSARY,NO
141,SPECIES_KABUTOPS,KABUTOPS,カブトプス,คาบูท็อปส์,LOCKED_GLOSSARY,NO
142,SPECIES_AERODACTYL,AERODACTYL,プテラ,พูเทรา,LOCKED_GLOSSARY,NO
143,SPECIES_SNORLAX,SNORLAX,カビゴン,คาบิกอน,LOCKED_GLOSSARY,NO
144,SPECIES_ARTICUNO,ARTICUNO,フリーザー,ฟรีเซอร์,LOCKED_GLOSSARY,NO
145,SPECIES_ZAPDOS,ZAPDOS,サンダー,ซันเดอร์,LOCKED_GLOSSARY,NO
146,SPECIES_MOLTRES,MOLTRES,ファイヤー,ไฟเยอร์,LOCKED_GLOSSARY,NO
147,SPECIES_DRATINI,DRATINI,ミニリュウ,มินิริว,TRANSLATED_DRAFT,NO
148,SPECIES_DRAGONAIR,DRAGONAIR,ハクリュー,ฮาคุริว,TRANSLATED_DRAFT,NO
149,SPECIES_DRAGONITE,DRAGONITE,カイリュー,ไคริว,TRANSLATED_DRAFT,NO
150,SPECIES_MEWTWO,MEWTWO,ミュウツー,มิวทู,LOCKED_GLOSSARY,NO
151,SPECIES_MEW,MEW,ミュウ,มิว,LOCKED_GLOSSARY,NO
152,SPECIES_CHIKORITA,CHIKORITA,チコリータ,ชิโคริตา,TRANSLATED_DRAFT,NO
153,SPECIES_BAYLEEF,BAYLEEF,ベイリーフ,เบย์ลีฟ,TRANSLATED_DRAFT,NO
154,SPECIES_MEGANIUM,MEGANIUM,メガニウム,เมกาเนียม,TRANSLATED_DRAFT,NO
155,SPECIES_CYNDAQUIL,CYNDAQUIL,ヒノアラシ,ฮิโนอาราชิ,TRANSLATED_DRAFT,NO
156,SPECIES_QUILAVA,QUILAVA,マグマラシ,มักมาราชิ,TRANSLATED_DRAFT,NO
157,SPECIES_TYPHLOSION,TYPHLOSION,バクフーン,บาคุฟูน,TRANSLATED_DRAFT,NO
158,SPECIES_TOTODILE,TOTODILE,ワニノコ,วานิโนโกะ,TRANSLATED_DRAFT,NO
159,SPECIES_CROCONAW,CROCONAW,アリゲイツ,อาริเกตส์,TRANSLATED_DRAFT,NO
160,SPECIES_FERALIGATR,FERALIGATR,オーダイル,ออไดล์,TRANSLATED_DRAFT,NO
161,SPECIES_SENTRET,SENTRET,オタチ,โอตาจิ,TRANSLATED_DRAFT,NO
162,SPECIES_FURRET,FURRET,オオタチ,โอโอทาจิ,TRANSLATED_DRAFT,NO
163,SPECIES_HOOTHOOT,HOOTHOOT,ホーホー,โฮโฮ,TRANSLATED_DRAFT,NO
164,SPECIES_NOCTOWL,NOCTOWL,ヨルノズク,โยรุโนะซึคุ,TRANSLATED_DRAFT,NO
165,SPECIES_LEDYBA,LEDYBA,レディバ,เรดิบา,TRANSLATED_DRAFT,NO
166,SPECIES_LEDIAN,LEDIAN,レディアン,เรเดียน,TRANSLATED_DRAFT,NO
167,SPECIES_SPINARAK,SPINARAK,イトマル,อิโตมารุ,TRANSLATED_DRAFT,NO
168,SPECIES_ARIADOS,ARIADOS,アリアドス,อาเรียดอส,TRANSLATED_DRAFT,NO
169,SPECIES_CROBAT,CROBAT,クロバット,โครแบต,TRANSLATED_DRAFT,NO
170,SPECIES_CHINCHOU,CHINCHOU,チョンチー,จอนชี,TRANSLATED_DRAFT,NO
171,SPECIES_LANTURN,LANTURN,ランターン,แลนเทิร์น,TRANSLATED_DRAFT,NO
172,SPECIES_PICHU,PICHU,ピチュー,พิชู,TRANSLATED_DRAFT,NO
173,SPECIES_CLEFFA,CLEFFA,ピィ,พี,TRANSLATED_DRAFT,NO
174,SPECIES_IGGLYBUFF,IGGLYBUFF,ププリン,พูพูริน,TRANSLATED_DRAFT,NO
175,SPECIES_TOGEPI,TOGEPI,トゲピー,โทเกปี,TRANSLATED_DRAFT,NO
176,SPECIES_TOGETIC,TOGETIC,トゲチック,โทเกชิก,TRANSLATED_DRAFT,NO
177,SPECIES_NATU,NATU,ネイティ,เนที,TRANSLATED_DRAFT,NO
178,SPECIES_XATU,XATU,ネイティオ,เนทีโอ,TRANSLATED_DRAFT,NO
179,SPECIES_MAREEP,MAREEP,メリープ,เมรีป,TRANSLATED_DRAFT,NO
180,SPECIES_FLAAFFY,FLAAFFY,モココ,โมโคโค,TRANSLATED_DRAFT,NO
181,SPECIES_AMPHAROS,AMPHAROS,デンリュウ,เดนริว,TRANSLATED_DRAFT,NO
182,SPECIES_BELLOSSOM,BELLOSSOM,キレイハナ,คิเรฮานะ,TRANSLATED_DRAFT,NO
183,SPECIES_MARILL,MARILL,マリル,มาริล,TRANSLATED_DRAFT,NO
184,SPECIES_AZUMARILL,AZUMARILL,マリルリ,มาริลริ,TRANSLATED_DRAFT,NO
185,SPECIES_SUDOWOODO,SUDOWOODO,ウソッキー,อุซกกี,TRANSLATED_DRAFT,NO
186,SPECIES_POLITOED,POLITOED,ニョロトノ,เนียวโรโทโนะ,TRANSLATED_DRAFT,NO
187,SPECIES_HOPPIP,HOPPIP,ハネッコ,ฮาเนกโกะ,TRANSLATED_DRAFT,NO
188,SPECIES_SKIPLOOM,SKIPLOOM,ポポッコ,โปโปกโกะ,TRANSLATED_DRAFT,NO
189,SPECIES_JUMPLUFF,JUMPLUFF,ワタッコ,วาตักโกะ,TRANSLATED_DRAFT,NO
190,SPECIES_AIPOM,AIPOM,エイパム,เอปาม,TRANSLATED_DRAFT,NO
191,SPECIES_SUNKERN,SUNKERN,ヒマナッツ,ฮิมานัตสึ,TRANSLATED_DRAFT,NO
192,SPECIES_SUNFLORA,SUNFLORA,キマワリ,คิมาวาริ,TRANSLATED_DRAFT,NO
193,SPECIES_YANMA,YANMA,ヤンヤンマ,ยันยันมา,TRANSLATED_DRAFT,NO
194,SPECIES_WOOPER,WOOPER,ウパー,อูปา,TRANSLATED_DRAFT,NO
195,SPECIES_QUAGSIRE,QUAGSIRE,ヌオー,นูโอ,TRANSLATED_DRAFT,NO
196,SPECIES_ESPEON,ESPEON,エーフィ,เอฟี,TRANSLATED_DRAFT,NO
197,SPECIES_UMBREON,UMBREON,ブラッキー,แบล็กกี,TRANSLATED_DRAFT,NO
198,SPECIES_MURKROW,MURKROW,ヤミカラス,ยามิคาราสึ,TRANSLATED_DRAFT,NO
199,SPECIES_SLOWKING,SLOWKING,ヤドキング,ยาโดคิง,TRANSLATED_DRAFT,NO
200,SPECIES_MISDREAVUS,MISDREAVUS,ムウマ,มูมา,TRANSLATED_DRAFT,NO
201,SPECIES_UNOWN,UNOWN,アンノーン,อันโนน,TRANSLATED_DRAFT,NO
202,SPECIES_WOBBUFFET,WOBBUFFET,ソーナンス,โซนันส์,TRANSLATED_DRAFT,NO
203,SPECIES_GIRAFARIG,GIRAFARIG,キリンリキ,คิรินริกิ,TRANSLATED_DRAFT,NO
204,SPECIES_PINECO,PINECO,クヌギダマ,คุนุกิดามะ,TRANSLATED_DRAFT,NO
205,SPECIES_FORRETRESS,FORRETRESS,フォレトス,ฟอเรทอส,TRANSLATED_DRAFT,NO
206,SPECIES_DUNSPARCE,DUNSPARCE,ノコッチ,โนคจิ,TRANSLATED_DRAFT,NO
207,SPECIES_GLIGAR,GLIGAR,グライガー,ไกรเกอร์,TRANSLATED_DRAFT,NO
208,SPECIES_STEELIX,STEELIX,ハガネール,ฮากาเนล,TRANSLATED_DRAFT,NO
209,SPECIES_SNUBBULL,SNUBBULL,ブルー,บูล,TRANSLATED_DRAFT,NO
210,SPECIES_GRANBULL,GRANBULL,グランブル,แกรนบูล,TRANSLATED_DRAFT,NO
211,SPECIES_QWILFISH,QWILFISH,ハリーセン,ฮารีเซน,TRANSLATED_DRAFT,NO
212,SPECIES_SCIZOR,SCIZOR,ハッサム,ฮัสซัม,TRANSLATED_DRAFT,NO
213,SPECIES_SHUCKLE,SHUCKLE,ツボツボ,สึโบสึโบะ,TRANSLATED_DRAFT,NO
214,SPECIES_HERACROSS,HERACROSS,ヘラクロス,เฮราครอส,LOCKED_GLOSSARY,NO
215,SPECIES_SNEASEL,SNEASEL,ニューラ,นิวรา,TRANSLATED_DRAFT,NO
216,SPECIES_TEDDIURSA,TEDDIURSA,ヒメグマ,ฮิเมกุมะ,TRANSLATED_DRAFT,NO
217,SPECIES_URSARING,URSARING,リングマ,ริงกุมะ,TRANSLATED_DRAFT,NO
218,SPECIES_SLUGMA,SLUGMA,マグマッグ,แม็กแม็ก,TRANSLATED_DRAFT,NO
219,SPECIES_MAGCARGO,MAGCARGO,マグカルゴ,แม็กคาร์โก,TRANSLATED_DRAFT,NO
220,SPECIES_SWINUB,SWINUB,ウリムー,อูริมู,TRANSLATED_DRAFT,NO
221,SPECIES_PILOSWINE,PILOSWINE,イノムー,อิโนมู,TRANSLATED_DRAFT,NO
222,SPECIES_CORSOLA,CORSOLA,サニーゴ,ซันนีโก,TRANSLATED_DRAFT,NO
223,SPECIES_REMORAID,REMORAID,テッポウオ,เทปโปโอ,TRANSLATED_DRAFT,NO
224,SPECIES_OCTILLERY,OCTILLERY,オクタン,ออกตัน,TRANSLATED_DRAFT,NO
225,SPECIES_DELIBIRD,DELIBIRD,デリバード,เดลิเบิร์ด,TRANSLATED_DRAFT,NO
226,SPECIES_MANTINE,MANTINE,マンタイン,แมนไทน์,TRANSLATED_DRAFT,NO
227,SPECIES_SKARMORY,SKARMORY,エアームド,แอร์มูโด,TRANSLATED_DRAFT,NO
228,SPECIES_HOUNDOUR,HOUNDOUR,デルビル,เดลวิล,TRANSLATED_DRAFT,NO
229,SPECIES_HOUNDOOM,HOUNDOOM,ヘルガー,เฮลการ์,TRANSLATED_DRAFT,NO
230,SPECIES_KINGDRA,KINGDRA,キングドラ,คิงดรา,TRANSLATED_DRAFT,NO
231,SPECIES_PHANPY,PHANPY,ゴマゾウ,โกมาโซ,TRANSLATED_DRAFT,NO
232,SPECIES_DONPHAN,DONPHAN,ドンファン,ดอนแฟน,TRANSLATED_DRAFT,NO
233,SPECIES_PORYGON2,PORYGON2,ポリゴン2,โพรีกอน2,TRANSLATED_DRAFT,NO
234,SPECIES_STANTLER,STANTLER,オドシシ,โอโดชิชิ,TRANSLATED_DRAFT,NO
235,SPECIES_SMEARGLE,SMEARGLE,ドーブル,โดเบิล,TRANSLATED_DRAFT,NO
236,SPECIES_TYROGUE,TYROGUE,バルキー,บัลกี,TRANSLATED_DRAFT,NO
237,SPECIES_HITMONTOP,HITMONTOP,カポエラー,คาโปเอรา,TRANSLATED_DRAFT,NO
238,SPECIES_SMOOCHUM,SMOOCHUM,ムチュール,มูจูรู,TRANSLATED_DRAFT,NO
239,SPECIES_ELEKID,ELEKID,エレキッド,เอเลคิด,TRANSLATED_DRAFT,NO
240,SPECIES_MAGBY,MAGBY,ブビィ,บูบี,TRANSLATED_DRAFT,NO
241,SPECIES_MILTANK,MILTANK,ミルタンク,มิลแทงก์,TRANSLATED_DRAFT,NO
242,SPECIES_BLISSEY,BLISSEY,ハピナス,ฮัปปินาส,TRANSLATED_DRAFT,NO
243,SPECIES_RAIKOU,RAIKOU,ライコウ,ไรโค,TRANSLATED_DRAFT,NO
244,SPECIES_ENTEI,ENTEI,エンテイ,เอนไต,TRANSLATED_DRAFT,NO
245,SPECIES_SUICUNE,SUICUNE,スイクン,ซุยคุน,TRANSLATED_DRAFT,NO
246,SPECIES_LARVITAR,LARVITAR,ヨーギラス,โยกิราส,TRANSLATED_DRAFT,NO
247,SPECIES_PUPITAR,PUPITAR,サナギラス,ซานากิราส,TRANSLATED_DRAFT,NO
248,SPECIES_TYRANITAR,TYRANITAR,バンギラス,บังกิราส,TRANSLATED_DRAFT,NO
249,SPECIES_LUGIA,LUGIA,ルギア,ลูเกีย,TRANSLATED_DRAFT,NO
250,SPECIES_HO_OH,HO-OH,ホウオウ,โฮโอ,TRANSLATED_DRAFT,NO
251,SPECIES_CELEBI,CELEBI,セレビィ,เซเรบี,TRANSLATED_DRAFT,NO
277,SPECIES_TREECKO,TREECKO,キモリ,คิโมริ,TRANSLATED_DRAFT,NO
278,SPECIES_GROVYLE,GROVYLE,ジュプトル,จูปโตรุ,TRANSLATED_DRAFT,NO
279,SPECIES_SCEPTILE,SCEPTILE,ジュカイン,จูไคน์,TRANSLATED_DRAFT,NO
280,SPECIES_TORCHIC,TORCHIC,アチャモ,อาจาโม,TRANSLATED_DRAFT,NO
281,SPECIES_COMBUSKEN,COMBUSKEN,ワカシャモ,วาคาชาโม,TRANSLATED_DRAFT,NO
282,SPECIES_BLAZIKEN,BLAZIKEN,バシャーモ,บาชาโม,TRANSLATED_DRAFT,NO
283,SPECIES_MUDKIP,MUDKIP,ミズゴロウ,มิซึโกโร,TRANSLATED_DRAFT,NO
284,SPECIES_MARSHTOMP,MARSHTOMP,ヌマクロー,นูมาโคร,TRANSLATED_DRAFT,NO
