table,index,source_offset_hex,entry_size,source_hex,source_jp,translation_th,status,compiled_length_current_pipeline,max_width_estimate_px,glyph_pages,fits_fixed_entry_current_pipeline,compile_status,translator_note
SPECIES,23,0x00203D42,6,51 AE 9A FF 00 00,アーボ,อาโบ,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,24,0x00203D48,6,51 AE 9A A0 58 FF,アーボック,อาโบก,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,25,0x00203D4E,6,9C 56 61 85 53 FF,ピカチュウ,พิคาชู,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,26,0x00203D54,6,77 52 61 85 53 FF,ライチュウ,ไรชู,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,27,0x00203D5A,6,5B 7E 95 FF 00 00,サンド,แซนด์,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,28,0x00203D60,6,5B 7E 95 9B 7E FF,サンドパン,แซนด์แพน,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,29,0x00203D66,6,66 95 77 7E B6 FF,ニドラン♀,นิโดรัน♀,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,30,0x00203D6C,6,66 95 78 AE 65 FF,ニドリーナ,นิโดรีนา,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,31,0x00203D72,6,66 95 58 52 7E FF,ニドクイン,นิโดควีน,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,32,0x00203D78,6,66 95 77 7E B5 FF,ニドラン♂,นิโดรัน♂,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,33,0x00203D7E,6,66 95 78 AE 69 FF,ニドリーノ,นิโดริโน,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,34,0x00203D84,6,66 95 57 7E 89 FF,ニドキング,นิโดคิง,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,35,0x00203D8A,6,9C A0 9C FF 00 00,ピッピ,ปิปปี,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,36,0x00203D90,6,9C 58 5C AE FF 00,ピクシー,พิคซี,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,37,0x00203D96,6,7B 5A 7E FF 00 00,ロコン,โรคอน,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,38,0x00203D9C,6,57 85 53 5A 7E FF,キュウコン,คิวคอน,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,39,0x00203DA2,6,9D 78 7E FF 00 00,プリン,พูริน,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,40,0x00203DA8,6,9D 58 78 7E FF 00,プクリン,พุคุริน,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,41,0x00203DAE,6,8E 96 A0 64 FF 00,ズバット,ซูแบต,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,42,0x00203DB4,6,8B 79 96 A0 64 FF,ゴルバット,โกลแบต,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,43,0x00203DBA,6,65 90 69 58 5B FF,ナゾノクサ,นาโซโนะคุสะ,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,44,0x00203DC0,6,58 5B 52 6A 65 FF,クサイハナ,คุไซฮานะ,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,45,0x00203DC6,6,77 6C 7A 5C 51 FF,ラフレシア,ราเฟรเซีย,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,46,0x00203DCC,6,9B 77 5D FF 00 00,パラス,พารัส,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,47,0x00203DD2,6,9B 77 5E 58 64 FF,パラセクト,พาราเซคท์,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,48,0x00203DD8,6,5A 7E 9B 7E FF 00,コンパン,คอมปัง,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,49,0x00203DDE,6,73 79 6C 83 7E FF,モルフォン,มอร์ฟอน,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,50,0x00203DE4,6,94 80 89 91 FF 00,ディグダ,ดิกดา,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,51,0x00203DEA,6,91 89 64 78 55 FF,ダグトリオ,ดักทริโอ,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,52,0x00203DF0,6,66 84 AE 5D FF 00,ニャース,เนียส,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,53,0x00203DF6,6,9E 79 5C 51 7E FF,ペルシアン,เปอร์เซียน,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,54,0x00203DFC,6,5A 91 A0 58 FF 00,コダック,โคดัก,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,55,0x00203E02,6,8B 79 91 A0 58 FF,ゴルダック,โกลดัก,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,56,0x00203E08,6,6F 7E 57 AE FF 00,マンキー,แมนคี,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,57,0x00203E0E,6,55 5A 78 8C 79 FF,オコリザル,โอโคริซารุ,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,58,0x00203E14,6,87 AE 94 80 FF 00,ガーディ,การ์ดี,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,59,0x00203E1A,6,53 52 7E 94 80 FF,ウインディ,วินดี,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,60,0x00203E20,6,66 86 7B 73 FF 00,ニョロモ,เนียวโรโมะ,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,61,0x00203E26,6,66 86 7B 90 FF 00,ニョロゾ,เนียวโรโซ,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,62,0x00203E2C,6,66 86 7B 9A 7E FF,ニョロボン,เนียวโรบง,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,63,0x00203E32,6,59 AE 5C 80 FF 00,ケーシィ,เคซี,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,64,0x00203E38,6,75 7E 8A 77 AE FF,ユンゲラー,ยุงเกรา,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,65,0x00203E3E,6,6C AE 94 80 7E FF,フーディン,ฟูดิน,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,66,0x00203E44,6,7C 7E 78 57 AE FF,ワンリキー,วันริกี,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,67,0x00203E4A,6,8B AE 78 57 AE FF,ゴーリキー,โกริกี,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,68,0x00203E50,6,56 52 78 57 AE FF,カイリキー,ไคริกี,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,69,0x00203E56,6,6F 91 62 9A 70 FF,マダツボミ,มาดัตสึโบมิ,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,70,0x00203E5C,6,53 62 95 7E FF 00,ウツドン,อุตสึดง,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,71,0x00203E62,6,53 62 9A A0 64 FF,ウツボット,อุตสึบ็อต,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,72,0x00203E68,6,72 69 58 77 8A FF,メノクラゲ,เมโนคุราเกะ,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,73,0x00203E6E,6,95 58 58 77 8A FF,ドククラゲ,โดคุคุราเกะ,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,74,0x00203E74,6,52 5C 62 98 63 FF,イシツブテ,อิชิสึบูเตะ,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,75,0x00203E7A,6,8B 7B AE 7E FF 00,ゴローン,โกรอน,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,76,0x00203E80,6,8B 7B AE 66 84 FF,ゴローニャ,โกโรเนีย,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,77,0x00203E86,6,9F 66 AE 60 FF 00,ポニータ,โพนีตา,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,78,0x00203E8C,6,88 84 7B A0 9D FF,ギャロップ,แกลล็อป,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,79,0x00203E92,6,74 95 7E FF 00 00,ヤドン,ยาดง,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,80,0x00203E98,6,74 95 77 7E FF 00,ヤドラン,ยาโดรัน,NEEDS_REVIEW_GLOSSARY_CHANGE,,,,NO,PENDING_POINTER_HOOK,คำเดิม: ยาดง | คำร่างใหม่: ยาโดรัน
SPECIES,81,0x00203E9E,6,5A 52 79 FF 00 00,コイル,คอยล์,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,82,0x00203EA4,6,7A 51 5A 52 79 FF,レアコイル,แรร์คอยล์,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,83,0x00203EAA,6,56 73 68 88 FF 00,カモネギ,คาโมเนงิ,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,84,0x00203EB0,6,95 AE 95 AE FF 00,ドードー,โดโด,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,85,0x00203EB6,6,95 AE 95 78 55 FF,ドードリオ,โดโดริโอ,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,86,0x00203EBC,6,9B 53 7C 53 FF 00,パウワウ,พาววาว,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,87,0x00203EC2,6,8D 85 8B 7E FF 00,ジュゴン,จูกอน,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,88,0x00203EC8,6,99 64 99 60 AE FF,ベトベター,เบโตเบตา,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,89,0x00203ECE,6,99 64 99 64 7E FF,ベトベトン,เบโตเบตง,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,90,0x00203ED4,6,5C 82 79 91 AE FF,シェルダー,เชลเดอร์,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,91,0x00203EDA,6,9B 79 5C 82 7E FF,パルシェン,พาร์เชน,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,92,0x00203EE0,6,8B AE 5D FF 00 00,ゴース,โกส,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,93,0x00203EE6,6,8B AE 5D 64 FF 00,ゴースト,โกสต์,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,94,0x00203EEC,6,8A 7E 87 AE FF 00,ゲンガー,เกงการ์,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,95,0x00203EF2,6,52 7C AE 58 FF 00,イワーク,อิวาร์ค,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,96,0x00203EF8,6,5D 78 AE 9D FF 00,スリープ,สลีป,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,97,0x00203EFE,6,5D 78 AE 9B AE FF,スリーパー,สลีเปอร์,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,98,0x00203F04,6,58 77 98 FF 00 00,クラブ,คราบ,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,99,0x00203F0A,6,57 7E 89 77 AE FF,キングラー,คิงเกลอร์,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,100,0x00203F10,6,97 78 78 91 6F FF,ビリリダマ,บิริริดามะ,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,101,0x00203F16,6,6F 79 6F 52 7E FF,マルマイン,มารุไมน์,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,102,0x00203F1C,6,60 6F 60 6F FF 00,タマタマ,ทามะทามะ,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,103,0x00203F22,6,65 A0 5C AE FF 00,ナッシー,นัชชี,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,104,0x00203F28,6,56 77 56 77 FF 00,カラカラ,คาราคารา,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,105,0x00203F2E,6,87 77 87 77 FF 00,ガラガラ,การาการา,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
